Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,454.6,459.0,453.2,456.25,456.55,4267.0,19.45
2016-06-16,455.45,457.5,453.05,454.25,455.85,8391.0,38.21
2016-06-15,456.25,460.0,454.3,455.5,456.85,9490.0,43.3
2016-06-14,456.1,463.65,453.05,458.0,458.35,7742.0,35.45
2016-06-13,454.5,457.55,450.05,455.95,456.05,12750.0,57.69
2016-06-10,456.8,461.9,455.1,456.0,457.8,6562.0,30.12
2016-06-09,460.05,463.65,456.15,459.95,459.95,7612.0,35.0
2016-06-08,454.15,460.7,454.15,459.5,458.6,4804.0,21.99
2016-06-07,454.05,460.0,453.0,457.6,456.7,7838.0,35.85
2016-06-06,460.05,464.9,453.05,453.05,455.05,15350.0,70.2
2016-06-03,459.4,468.95,459.0,460.0,460.0,7509.0,34.79
2016-06-02,463.9,467.9,458.6,467.0,465.8,3842.0,17.8
2016-06-01,463.35,466.0,457.7,465.0,463.85,8320.0,38.53
2016-05-31,461.35,467.85,461.35,462.4,463.1,4884.0,22.64
2016-05-30,462.15,486.6,460.0,460.0,462.1,10065.0,47.05
2016-05-27,458.05,473.85,458.05,467.0,468.95,11140.0,52.16
2016-05-26,467.95,470.5,457.55,458.55,459.65,13038.0,60.08
2016-05-25,465.5,469.5,461.1,461.85,462.8,6339.0,29.47
2016-05-24,471.95,478.85,461.05,463.0,463.25,8625.0,40.44
2016-05-23,481.75,481.75,459.0,472.35,474.9,17238.0,81.18
2016-05-20,475.2,485.0,472.0,483.0,481.7,8112.0,38.95
2016-05-19,496.9,496.9,473.0,476.0,477.15,9068.0,43.99
2016-05-18,469.85,498.9,457.6,493.1,493.05,65206.0,317.58
2016-05-17,465.35,467.0,458.8,461.05,462.95,15027.0,69.41
2016-05-16,456.65,468.85,455.1,462.0,461.55,15171.0,70.01
2016-05-13,458.35,460.0,455.0,456.0,456.65,8509.0,38.97
2016-05-12,459.05,463.0,456.05,456.05,457.7,7615.0,34.99
2016-05-11,454.0,466.15,450.0,458.0,458.95,9259.0,42.54
2016-05-10,460.1,465.0,456.0,465.0,460.5,12789.0,58.81
2016-05-09,461.05,472.5,458.0,459.8,459.1,15843.0,73.48
2016-05-06,481.2,481.2,461.6,462.0,464.45,38656.0,180.96
2016-05-05,469.0,511.5,463.2,487.0,487.25,120978.0,598.19
2016-05-04,463.0,469.5,462.05,465.0,465.3,4843.0,22.55
2016-05-03,458.1,471.95,458.1,470.0,469.4,7878.0,36.83
2016-05-02,470.1,475.0,453.05,458.5,458.2,11589.0,53.5
2016-04-29,479.45,479.45,468.0,468.0,470.55,4840.0,22.74
2016-04-28,469.0,471.0,466.5,467.5,468.05,7297.0,34.25
2016-04-27,466.05,472.0,466.05,470.9,470.4,5953.0,27.98
2016-04-26,479.0,479.0,468.55,470.0,470.3,6504.0,30.62
