Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,235.1,237.2,234.0,235.1,235.9,978870.0,2304.95
2016-06-16,238.4,239.35,233.9,234.5,234.5,1589162.0,3739.7
2016-06-15,234.6,239.45,233.9,238.75,238.6,2439469.0,5762.13
2016-06-14,237.3,238.1,233.45,233.9,233.9,2441739.0,5736.7
2016-06-13,232.0,238.8,231.5,237.3,237.35,7155871.0,16823.66
2016-06-10,231.0,235.9,230.9,235.5,235.3,4770107.0,11203.76
2016-06-09,239.05,239.9,231.55,232.0,231.9,1986233.0,4644.54
2016-06-08,235.35,239.0,233.2,239.0,238.2,2491761.0,5900.23
2016-06-07,230.0,235.0,228.65,234.75,234.25,2061597.0,4780.84
2016-06-06,228.7,231.75,228.05,229.25,228.9,1874667.0,4302.0
2016-06-03,230.15,233.75,228.1,228.3,228.65,2388282.0,5497.38
2016-06-02,231.35,231.35,229.0,230.0,229.75,1578557.0,3629.11
2016-06-01,229.0,232.8,228.55,232.1,231.35,5666522.0,13029.73
2016-05-31,228.5,232.85,227.25,228.0,228.4,4144610.0,9505.41
2016-05-30,232.0,232.6,228.1,228.45,229.15,1338209.0,3075.14
2016-05-27,226.0,232.0,226.0,231.05,230.25,5155370.0,11770.16
2016-05-26,223.0,229.5,223.0,225.25,224.6,8149868.0,18530.53
2016-05-25,217.25,223.25,216.2,222.7,222.4,2306509.0,5092.29
2016-05-24,213.6,216.8,212.0,215.9,215.45,2405753.0,5160.5
2016-05-23,210.3,213.45,208.85,212.4,212.6,1347184.0,2857.31
2016-05-20,213.85,214.9,207.55,208.3,208.85,1384674.0,2942.91
2016-05-19,217.0,217.0,212.15,212.75,213.65,1695453.0,3632.26
2016-05-18,216.2,217.25,214.35,216.35,216.65,816161.0,1763.44
2016-05-17,218.0,218.85,215.0,216.8,216.9,2549385.0,5503.37
2016-05-16,217.75,219.0,215.2,217.0,217.25,965999.0,2098.13
2016-05-13,220.0,221.7,216.9,217.0,217.25,1070227.0,2343.73
2016-05-12,220.3,222.6,219.15,221.1,221.0,702627.0,1554.41
2016-05-11,218.25,221.85,217.0,220.4,220.55,1385627.0,3053.35
2016-05-10,219.25,222.75,217.5,221.2,220.4,2697582.0,5920.0
2016-05-09,221.25,222.5,219.6,220.5,220.3,2535941.0,5595.68
2016-05-06,216.95,221.05,215.5,221.0,219.95,2109197.0,4610.4
2016-05-05,214.75,217.4,212.75,215.3,215.85,1192764.0,2568.96
2016-05-04,217.9,218.45,214.05,214.5,214.9,1684800.0,3646.86
2016-05-03,224.35,225.95,217.8,218.0,218.6,2144066.0,4745.5
2016-05-02,221.05,224.35,218.95,223.55,223.8,1083922.0,2407.26
2016-04-29,223.0,224.4,219.55,220.85,221.0,2815037.0,6232.42
2016-04-28,225.8,228.7,219.1,220.9,219.85,2041651.0,4534.42
2016-04-27,225.6,227.7,224.05,225.7,225.3,1052496.0,2380.04
2016-04-26,224.9,226.5,222.25,224.2,224.45,1853159.0,4161.22
2016-04-25,223.0,224.4,221.35,224.2,223.35,1167120.0,2599.3
2016-04-22,219.75,222.25,216.5,220.9,220.9,2644190.0,5798.39
2016-04-21,228.1,228.4,220.1,220.6,221.15,1539176.0,3439.43
2016-04-20,228.7,231.45,225.55,226.25,226.25,2229815.0,5078.43
2016-04-18,234.65,234.65,227.9,227.9,228.6,2161949.0,4968.79
2016-04-13,227.0,232.5,226.05,231.6,231.1,4045604.0,9300.41
2016-04-12,224.55,226.35,221.5,224.0,223.75,1992521.0,4459.69
2016-04-11,226.95,227.65,221.5,223.9,224.55,1953589.0,4375.5
2016-04-08,225.7,231.35,223.05,225.95,225.75,2292188.0,5216.88
2016-04-07,229.05,230.3,225.1,225.55,226.45,1036460.0,2360.11
2016-04-06,226.85,231.0,225.75,229.2,229.05,1630990.0,3734.91
2016-04-05,230.0,231.1,225.25,226.85,226.1,2201058.0,5023.58
2016-04-04,236.35,236.9,230.55,231.5,231.2,1587549.0,3692.03
2016-04-01,231.9,236.4,229.15,236.0,235.35,1438907.0,3351.0
2016-03-31,231.7,234.0,229.7,233.0,232.55,3951966.0,9176.26
2016-03-30,231.75,234.6,230.1,231.3,231.4,2195098.0,5107.08
2016-03-29,231.0,233.5,226.3,230.75,230.9,2206647.0,5077.74
2016-03-28,228.0,235.65,225.15,230.25,229.7,4176299.0,9646.41
2016-03-23,229.8,232.9,226.25,227.9,228.25,2525210.0,5770.78
2016-03-22,231.25,231.9,224.4,229.35,229.85,4129162.0,9409.14
2016-03-21,222.3,233.95,221.5,231.7,231.95,5598530.0,12856.88
2016-03-18,219.0,223.15,216.65,223.0,222.05,2980833.0,6564.0
2016-03-17,207.5,219.9,207.5,217.7,218.15,4253989.0,9204.33
2016-03-16,205.0,207.7,203.15,206.4,206.2,2060089.0,4233.84
2016-03-15,204.05,206.4,202.55,204.75,204.9,2283229.0,4669.93
2016-03-14,201.9,206.0,201.9,203.1,203.7,2540418.0,5177.72
2016-03-11,200.0,202.65,199.65,200.4,200.7,3751968.0,7542.65
2016-03-10,204.4,204.6,200.75,200.8,201.5,5056909.0,10218.48
2016-03-09,201.8,205.35,201.5,203.75,204.35,4723889.0,9586.92
2016-03-08,202.0,204.45,199.75,202.0,201.65,3088272.0,6243.45
2016-03-04,201.8,203.2,199.55,202.35,202.4,1767133.0,3565.42
2016-03-03,197.9,200.7,195.8,199.4,199.65,2223554.0,4403.24
2016-03-02,193.0,197.0,191.65,196.7,195.65,1346291.0,2613.25
2016-03-01,189.25,191.45,188.2,190.9,190.4,1759654.0,3337.74
2016-02-29,190.0,192.0,185.0,187.6,187.95,2396243.0,4528.94
2016-02-26,190.9,192.35,186.4,189.0,189.0,1864015.0,3522.8
2016-02-25,190.85,192.65,187.9,189.95,188.8,2832446.0,5379.83
