Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,213.0,216.4,196.15,205.3,205.55,164664.0,342.28
2016-06-16,215.0,228.0,207.2,207.2,209.95,556095.0,1203.83
2016-06-15,172.9,203.4,172.9,203.4,203.4,396477.0,765.46
2016-06-14,157.6,174.2,156.25,169.2,169.5,125289.0,209.58
2016-06-13,159.0,159.0,153.6,156.0,155.75,24466.0,38.11
2016-06-10,155.1,163.8,155.1,158.0,158.05,37969.0,60.9
2016-06-09,151.4,160.4,151.4,157.0,157.0,49459.0,77.5
2016-06-08,153.6,153.6,151.0,152.5,151.85,10308.0,15.67
2016-06-07,151.15,152.75,149.5,150.7,150.6,7699.0,11.61
2016-06-06,154.45,154.45,149.1,149.5,151.15,5212.0,7.9
2016-06-03,152.9,155.0,150.85,151.4,151.45,16906.0,25.88
2016-06-02,148.5,154.8,147.95,152.5,152.25,28714.0,43.88
2016-06-01,147.3,151.45,147.1,150.0,149.3,22085.0,33.11
2016-05-31,148.6,149.95,146.0,148.5,148.75,10090.0,14.92
2016-05-30,154.95,155.0,148.0,150.0,149.05,19144.0,28.96
2016-05-27,151.5,153.0,148.6,149.0,150.9,10125.0,15.3
2016-05-26,151.0,153.0,148.0,153.0,150.75,20525.0,30.7
2016-05-25,150.0,156.6,144.0,150.2,150.65,163290.0,247.43
2016-05-24,140.9,141.9,133.0,136.5,134.4,3803.0,5.2
2016-05-23,138.0,142.8,138.0,140.75,140.2,1302.0,1.82
2016-05-20,143.0,143.05,137.6,138.5,138.15,3012.0,4.21
2016-05-19,141.85,143.8,141.0,143.0,141.8,3075.0,4.38
2016-05-18,142.0,143.0,140.05,140.85,142.7,1823.0,2.58
2016-05-17,142.3,143.75,141.0,141.0,141.4,1175.0,1.67
2016-05-16,140.25,143.05,140.05,141.2,142.55,3608.0,5.08
2016-05-13,140.0,141.8,140.0,140.8,140.8,3619.0,5.1
2016-05-12,143.8,143.8,140.75,140.75,141.3,3022.0,4.27
2016-05-11,140.0,142.5,139.3,140.5,140.3,2561.0,3.6
2016-05-10,141.75,142.0,141.05,142.0,142.0,557.0,0.79
2016-05-09,144.5,144.5,140.2,141.2,141.7,4179.0,5.92
2016-05-06,140.25,144.45,140.25,140.85,141.4,8558.0,12.21
2016-05-05,138.35,143.05,138.35,142.0,141.15,2543.0,3.6
2016-05-04,141.25,141.75,138.0,139.0,139.65,2914.0,4.09
2016-05-03,140.05,148.0,140.05,142.5,142.65,4978.0,7.22
2016-05-02,143.0,144.0,139.25,144.0,142.4,12476.0,17.65
