Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1010.0,1014.85,994.0,999.75,999.6,365441.0,3665.15
2016-06-16,993.75,1009.0,986.2,1005.5,1006.55,740810.0,7400.95
2016-06-15,986.0,1002.0,986.0,996.0,998.4,731016.0,7272.99
2016-06-14,995.0,999.0,978.6,985.0,986.5,699283.0,6898.55
2016-06-13,987.0,996.5,985.1,995.0,994.9,808571.0,8015.73
2016-06-10,994.95,999.0,989.6,993.45,992.05,1313970.0,13060.24
2016-06-09,1018.0,1019.0,995.7,1001.0,998.8,1024252.0,10280.96
2016-06-08,1029.0,1029.0,1011.25,1019.0,1018.05,933533.0,9497.62
2016-06-07,1025.35,1037.45,1024.6,1031.6,1032.75,755934.0,7797.01
2016-06-06,1017.1,1032.35,1016.6,1030.0,1026.3,1574228.0,16133.45
2016-06-03,1023.5,1032.1,1013.5,1020.0,1025.3,2045789.0,20951.6
2016-06-02,1007.0,1029.0,996.55,1026.0,1024.05,2420319.0,24655.18
2016-06-01,989.05,1025.0,989.05,1024.0,1021.7,2068760.0,20997.25
2016-05-31,988.0,995.5,980.7,988.0,984.85,1151373.0,11354.76
2016-05-30,994.0,1004.25,978.45,988.0,984.9,1487177.0,14700.25
2016-05-27,991.9,1001.8,986.45,996.75,998.25,1105534.0,11013.83
2016-05-26,988.55,999.5,973.45,994.0,991.85,1410903.0,13887.58
2016-05-25,963.15,985.0,962.8,982.05,982.25,815313.0,7950.46
2016-05-24,952.4,962.4,941.7,959.95,956.25,490332.0,4655.3
2016-05-23,959.9,960.0,943.65,949.0,946.6,726047.0,6899.08
2016-05-20,956.0,963.0,950.75,955.15,956.0,972841.0,9310.17
2016-05-19,968.85,968.85,952.05,955.0,956.8,1251713.0,11982.9
2016-05-18,969.0,971.0,952.45,965.0,963.25,1273835.0,12210.29
2016-05-17,953.5,972.0,947.75,970.3,969.65,1770437.0,17069.54
2016-05-16,948.95,957.8,945.0,953.5,952.65,1913343.0,18211.52
2016-05-13,928.75,948.0,927.6,944.3,943.65,2285317.0,21447.63
2016-05-12,920.0,933.9,917.2,929.05,928.8,2382775.0,22076.4
2016-05-11,892.0,919.0,887.5,912.5,907.85,2228431.0,20175.42
2016-05-10,904.95,908.25,893.45,897.4,898.35,1034271.0,9323.03
2016-05-09,894.95,913.9,893.65,903.9,906.6,1355429.0,12279.33
2016-05-06,863.95,890.0,861.5,889.45,889.05,1249025.0,10993.99
2016-05-05,874.1,875.45,862.45,865.0,867.05,402567.0,3497.17
2016-05-04,872.0,879.0,864.0,872.45,873.6,469904.0,4105.34
2016-05-03,869.5,886.9,865.4,873.9,872.0,1073196.0,9420.4
2016-05-02,864.0,867.5,860.65,865.0,864.8,199724.0,1725.9
2016-04-29,873.0,876.0,861.65,868.0,866.25,955985.0,8285.32
2016-04-28,889.85,894.5,870.0,879.65,873.1,1013142.0,8909.26
2016-04-27,875.7,891.0,871.0,888.25,889.85,553126.0,4894.96
2016-04-26,864.2,880.0,859.05,878.5,876.9,694778.0,6068.61
2016-04-25,870.4,870.4,856.0,865.8,861.75,587700.0,5054.19
2016-04-22,885.7,893.7,869.4,870.0,871.55,692414.0,6063.93
2016-04-21,890.0,895.0,885.1,885.7,889.15,702226.0,6260.58
2016-04-20,885.0,887.75,875.25,886.0,885.8,778272.0,6865.24
2016-04-18,884.25,886.55,875.0,882.45,885.2,685762.0,6045.71
2016-04-13,870.5,876.0,866.0,874.75,874.35,692424.0,6033.81
2016-04-12,861.8,870.0,859.5,865.9,866.9,433486.0,3753.55
2016-04-11,850.0,861.9,842.75,861.0,860.0,651373.0,5556.44
2016-04-08,860.0,861.45,849.6,850.85,851.55,448087.0,3821.39
2016-04-07,864.0,869.0,855.05,857.05,858.25,449770.0,3869.19
2016-04-06,869.7,875.0,860.65,863.75,863.3,451307.0,3912.55
2016-04-05,885.4,885.4,862.0,865.5,869.85,762479.0,6647.84
2016-04-04,874.0,888.5,865.25,884.95,886.15,662760.0,5810.06
2016-04-01,871.0,883.95,865.0,868.0,870.0,853331.0,7452.26
2016-03-31,880.5,884.25,865.1,872.0,868.4,1682214.0,14633.05
2016-03-30,864.0,885.0,861.85,879.9,881.85,1470782.0,12823.01
2016-03-29,847.4,860.0,845.0,858.0,856.1,1101097.0,9394.26
2016-03-28,850.0,857.45,842.7,843.2,845.4,1722071.0,14605.81
2016-03-23,853.35,856.9,846.25,849.5,850.0,917099.0,7802.79
2016-03-22,860.0,860.0,846.05,852.5,853.35,1746522.0,14887.41
2016-03-21,873.25,875.0,852.4,858.2,859.65,1484160.0,12723.67
2016-03-18,871.0,877.9,859.95,876.6,875.35,1072444.0,9325.21
2016-03-17,870.0,876.0,865.1,872.4,872.55,965277.0,8408.49
2016-03-16,880.3,882.0,862.1,865.95,864.9,1456263.0,12624.07
2016-03-15,903.0,906.5,876.15,884.55,884.6,954046.0,8469.74
2016-03-14,898.0,903.2,888.6,897.05,899.35,788258.0,7076.84
2016-03-11,900.0,903.7,891.55,898.4,898.35,1043602.0,9384.5
2016-03-10,870.0,896.0,870.0,895.0,894.75,810951.0,7191.91
2016-03-09,876.0,888.8,869.85,875.75,876.2,1401934.0,12360.94
2016-03-08,867.9,881.8,858.05,879.0,875.7,1174011.0,10217.29
2016-03-04,886.6,890.1,858.4,866.0,865.8,1039977.0,9044.7
2016-03-03,874.4,896.5,871.75,878.2,880.25,1061326.0,9378.55
2016-03-02,876.0,880.95,866.5,871.6,871.85,808137.0,7066.59
2016-03-01,852.6,874.65,850.0,869.3,871.95,1161059.0,10046.09
2016-02-29,864.1,868.95,841.6,847.95,846.1,890886.0,7602.22
2016-02-26,868.0,874.0,854.2,864.0,862.55,536753.0,4632.59
2016-02-25,880.5,884.9,858.7,862.55,861.7,1326303.0,11532.52
2016-02-24,879.0,885.75,875.0,880.8,881.8,1289097.0,11358.3
2016-02-23,871.0,879.9,866.15,874.3,877.1,1438921.0,12566.21
2016-02-22,856.0,873.2,854.0,872.15,870.85,609601.0,5278.61
2016-02-19,834.95,856.9,829.0,856.8,854.7,799360.0,6764.23
2016-02-18,862.0,863.8,830.6,835.0,835.25,997874.0,8385.47
2016-02-17,844.0,858.95,827.1,855.5,856.0,1171983.0,9836.88
2016-02-16,855.05,860.15,836.1,839.2,840.3,985215.0,8323.64
2016-02-15,866.0,872.2,853.0,859.0,858.7,703958.0,6054.91
2016-02-12,860.0,873.25,846.5,853.0,854.9,1089266.0,9335.59
2016-02-11,874.75,874.75,852.0,856.2,855.7,1004015.0,8649.07
2016-02-10,888.5,889.0,866.5,877.0,876.55,707101.0,6194.34
2016-02-09,884.9,894.3,878.5,884.8,884.2,636386.0,5636.43
2016-02-08,903.0,907.5,886.0,888.5,888.6,783143.0,7028.8
2016-02-05,889.0,903.45,886.4,897.6,899.25,1739178.0,15601.65
2016-02-04,865.0,895.95,865.0,887.0,889.35,1658831.0,14708.45
2016-02-03,876.2,883.95,859.05,862.0,863.7,540771.0,4718.85
2016-02-02,889.9,894.75,878.0,880.85,882.5,920875.0,8146.4
2016-02-01,874.2,890.0,871.3,885.2,887.4,786217.0,6961.12
2016-01-29,864.0,875.0,859.0,872.2,869.9,1320575.0,11473.24
2016-01-28,854.0,865.0,852.15,857.1,858.95,1392051.0,11958.48
2016-01-27,880.0,881.8,855.15,859.0,858.55,969509.0,8377.79
2016-01-25,870.0,882.0,868.15,879.45,878.6,1794107.0,15772.69
2016-01-22,853.0,873.4,849.2,870.0,869.95,1774017.0,15309.41
2016-01-21,850.0,856.0,841.0,845.95,844.45,1138753.0,9660.16
2016-01-20,834.0,856.0,830.0,835.5,840.35,2247202.0,18934.15
2016-01-19,867.9,868.4,826.0,846.15,845.55,2443365.0,20641.59
2016-01-18,890.0,893.0,841.65,847.0,850.3,2335330.0,20263.73
2016-01-15,893.0,894.95,874.3,882.3,879.25,1301590.0,11500.64
2016-01-14,863.5,897.0,851.1,889.65,889.4,2296682.0,20139.7
2016-01-13,879.95,883.5,850.05,869.8,868.55,901426.0,7832.22
2016-01-12,882.0,885.5,870.2,872.4,872.9,998419.0,8731.25
2016-01-11,870.0,884.0,861.6,873.95,873.85,801102.0,7001.21
2016-01-08,879.0,881.95,866.6,874.0,874.6,886022.0,7739.31
2016-01-07,883.0,891.55,869.0,871.1,872.35,990333.0,8698.98
2016-01-06,904.5,911.9,884.0,885.3,886.4,1716479.0,15398.73
2016-01-05,881.3,905.0,881.3,901.4,900.65,1372748.0,12337.61
2016-01-04,876.2,892.45,871.7,880.5,880.8,709103.0,6254.04
2016-01-01,882.0,885.6,876.9,879.7,878.75,294006.0,2589.02
2015-12-31,879.95,886.95,875.0,882.55,883.55,526825.0,4644.36
2015-12-30,881.15,883.0,875.0,876.0,878.15,450359.0,3951.72
2015-12-29,883.7,885.0,878.6,879.0,880.1,602111.0,5305.84
2015-12-28,882.0,886.25,876.75,880.3,881.05,633270.0,5580.73
2015-12-24,880.5,883.9,873.55,881.75,881.8,403140.0,3546.3
2015-12-23,882.95,883.95,874.75,876.7,878.95,350212.0,3075.12
2015-12-22,874.0,887.0,873.55,881.25,880.95,663204.0,5841.25
2015-12-21,879.0,884.0,866.7,873.0,873.5,896692.0,7832.6
2015-12-18,874.5,885.9,868.0,882.1,879.45,1098597.0,9624.97
2015-12-17,871.5,878.5,864.0,875.1,876.1,716229.0,6254.15
2015-12-16,880.0,883.95,859.1,864.95,866.5,900351.0,7819.23
2015-12-15,878.5,880.0,866.45,876.05,878.55,861784.0,7535.49
2015-12-14,860.0,878.4,853.0,877.75,875.45,889790.0,7732.64
2015-12-11,860.95,863.55,848.75,857.05,858.4,780634.0,6689.61
2015-12-10,844.5,861.2,842.2,859.35,859.2,636140.0,5425.84
2015-12-09,866.45,866.45,836.95,842.8,840.0,751034.0,6370.93
2015-12-08,874.05,877.4,857.2,859.5,860.75,1058074.0,9185.29
2015-12-07,842.0,873.85,841.0,871.65,871.45,1602605.0,13838.16
2015-12-04,841.5,841.5,829.45,835.1,834.7,779530.0,6505.38
2015-12-03,849.0,849.2,839.0,843.5,842.4,540473.0,4554.91
2015-12-02,847.95,867.2,844.8,848.95,848.55,980956.0,8400.18
2015-12-01,843.0,848.0,831.65,847.95,844.6,720255.0,6037.29
2015-11-30,859.0,859.0,834.0,839.95,838.5,1679737.0,14152.04
2015-11-27,862.6,864.0,852.0,863.95,859.1,444323.0,3813.27
2015-11-26,861.0,865.95,851.8,863.35,861.85,678200.0,5820.14
2015-11-24,850.0,861.75,846.2,854.7,856.6,771337.0,6603.74
2015-11-23,838.2,852.0,835.0,850.85,850.3,1475762.0,12492.21
2015-11-20,821.4,831.8,818.55,829.6,829.2,712339.0,5897.3
2015-11-19,827.0,833.8,819.1,823.3,823.7,1038035.0,8583.52
2015-11-18,807.95,824.5,807.0,820.9,821.75,1253226.0,10277.68
2015-11-17,807.45,813.25,800.35,807.95,807.65,500272.0,4037.53
2015-11-16,796.0,809.95,795.2,801.2,800.95,604535.0,4859.06
2015-11-13,807.0,808.0,792.5,800.0,800.4,765985.0,6124.57
2015-11-11,808.0,808.0,802.25,803.55,804.45,93460.0,751.7
2015-11-10,814.7,816.0,796.8,797.5,797.8,751899.0,6033.48
2015-11-09,790.9,818.4,784.25,817.0,816.4,1163084.0,9383.19
2015-11-06,808.55,816.0,800.0,801.25,801.2,918564.0,7425.9
2015-11-05,807.0,811.5,797.15,806.0,805.85,1016171.0,8183.23
2015-11-04,814.5,822.5,800.55,801.5,802.2,1783909.0,14373.88
2015-11-03,832.0,832.7,812.05,814.2,814.2,1599110.0,13068.03
2015-11-02,831.0,837.0,825.5,830.95,830.1,716702.0,5957.49
2015-10-30,835.6,840.0,826.4,831.95,830.65,810491.0,6756.87
2015-10-29,831.0,834.8,820.4,832.0,829.35,1500496.0,12436.44
2015-10-28,829.5,838.0,823.6,826.65,828.35,1108455.0,9203.89
2015-10-27,818.0,829.9,818.0,829.05,827.1,1247705.0,10285.13
2015-10-26,830.05,844.0,811.2,818.95,817.7,3455887.0,28404.03
2015-10-23,863.0,866.1,850.4,858.0,858.6,2540806.0,21794.42
