Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,740.0,742.3,724.5,724.5,727.8,1619698.0,11818.32
2016-06-16,744.85,746.45,724.0,737.0,735.85,1605221.0,11795.02
2016-06-15,754.0,754.65,738.15,740.25,740.65,1390254.0,10334.64
2016-06-14,753.0,757.15,746.0,749.4,750.2,918300.0,6901.08
2016-06-13,740.0,752.65,731.6,751.05,749.15,1721319.0,12784.97
2016-06-10,748.65,754.85,736.15,743.35,743.1,1968390.0,14686.37
2016-06-09,775.0,776.0,744.0,745.95,752.9,1308246.0,9954.75
2016-06-08,775.75,778.7,766.5,773.4,772.6,865612.0,6690.07
2016-06-07,783.0,786.2,768.2,771.9,771.4,1211847.0,9385.08
2016-06-06,790.1,794.35,775.35,778.5,779.15,1203451.0,9413.22
2016-06-03,790.1,798.0,778.0,789.95,789.8,1082278.0,8546.65
2016-06-02,789.0,791.65,777.45,788.0,788.9,953768.0,7479.77
2016-06-01,790.75,802.7,786.0,788.0,788.85,1644105.0,13067.98
2016-05-31,774.0,795.4,760.0,782.05,785.3,4146659.0,32400.06
2016-05-30,769.95,775.0,750.0,750.7,754.45,1371735.0,10471.13
2016-05-27,746.9,771.5,741.5,763.3,763.1,1396088.0,10669.8
2016-05-26,744.9,748.0,736.0,745.0,744.55,1494282.0,11098.49
2016-05-25,733.2,744.85,722.0,742.2,742.4,1374525.0,10124.14
2016-05-24,759.8,759.8,712.5,729.95,727.8,2271995.0,16630.35
2016-05-23,776.0,780.0,754.0,754.0,759.7,1214979.0,9373.67
2016-05-20,771.0,774.95,761.5,770.1,770.1,928412.0,7133.92
2016-05-19,782.8,788.0,766.25,768.2,769.2,1321063.0,10272.13
2016-05-18,772.8,785.0,768.95,781.1,782.7,1218412.0,9487.35
2016-05-17,791.75,794.3,773.15,774.0,776.35,2552574.0,19960.39
2016-05-16,785.6,799.5,783.0,785.6,787.8,2192317.0,17285.83
2016-05-13,801.0,808.45,780.1,783.7,784.25,1893294.0,14962.03
2016-05-12,820.5,821.35,797.85,799.9,801.3,1588529.0,12807.45
2016-05-11,809.95,821.0,800.4,820.0,817.45,828883.0,6760.55
2016-05-10,816.2,822.35,810.2,811.95,814.0,1229814.0,10044.5
2016-05-09,800.8,818.0,797.65,815.1,816.4,1195267.0,9677.34
2016-05-06,806.0,807.45,795.0,799.0,799.8,1185539.0,9504.58
2016-05-05,819.9,819.9,802.05,803.1,804.95,1167335.0,9447.84
2016-05-04,806.0,815.0,803.0,815.0,812.0,1875445.0,15202.9
2016-05-03,783.3,811.0,777.3,801.75,803.25,3770519.0,30213.9
2016-05-02,764.0,774.0,761.2,772.9,769.85,1064606.0,8177.86
2016-04-29,769.0,775.0,755.4,757.25,759.95,2040012.0,15564.71
2016-04-28,763.5,779.1,758.45,772.2,764.35,2106231.0,16184.32
2016-04-27,775.75,775.75,761.0,761.75,764.9,1457480.0,11210.9
2016-04-26,759.7,778.0,758.2,772.55,775.6,1209831.0,9349.33
2016-04-25,782.95,786.1,761.0,765.5,764.0,1021744.0,7870.51
2016-04-22,766.65,789.0,758.2,777.35,779.2,2156267.0,16788.54
2016-04-21,775.0,778.75,760.05,762.8,766.65,1363197.0,10476.35
2016-04-20,784.0,794.5,765.4,767.8,770.1,2107567.0,16437.06
2016-04-18,784.1,789.05,777.0,784.1,782.8,1109883.0,8694.57
2016-04-13,791.0,796.0,782.2,784.3,785.1,1452494.0,11446.88
2016-04-12,774.0,789.65,772.4,785.55,784.3,1612101.0,12623.54
2016-04-11,757.2,773.4,751.25,771.3,771.1,1174584.0,8954.65
