Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,526.9,533.9,524.7,526.35,526.9,7201452.0,38175.4
2016-06-16,528.0,528.3,516.0,522.7,523.45,5375177.0,28079.54
2016-06-15,531.9,533.4,522.65,529.25,528.8,7836638.0,41354.48
2016-06-14,535.8,535.8,525.5,529.2,529.65,8234417.0,43564.3
2016-06-13,529.8,534.6,524.0,531.5,531.15,6788154.0,35884.9
2016-06-10,540.0,549.15,538.3,541.9,541.05,6382258.0,34679.96
2016-06-09,542.95,545.9,537.1,541.35,542.6,7019405.0,38046.99
2016-06-08,536.4,541.45,530.8,540.75,539.0,6988719.0,37581.84
2016-06-07,539.1,539.1,526.75,533.75,534.4,11455340.0,61044.16
2016-06-06,542.1,545.0,530.3,533.6,532.85,9416306.0,50390.03
2016-06-03,527.15,544.95,527.0,542.25,542.65,13581215.0,73386.61
2016-06-02,510.5,525.0,506.75,524.7,524.35,7013241.0,36214.62
2016-06-01,524.85,529.45,510.0,512.15,511.95,9559476.0,49668.1
2016-05-31,515.0,518.7,510.7,515.4,515.2,5706744.0,29373.26
2016-05-30,513.95,522.05,512.5,512.75,513.7,4892196.0,25312.14
2016-05-27,520.25,525.0,509.0,514.0,512.4,7699491.0,39738.69
2016-05-26,502.5,523.0,500.25,521.05,519.0,11207975.0,57249.63
2016-05-25,494.0,503.0,493.35,502.0,502.15,7144175.0,35732.88
2016-05-24,483.25,490.95,482.0,489.65,488.95,4838908.0,23577.94
2016-05-23,495.4,495.4,485.0,485.7,486.5,4700955.0,23071.88
2016-05-20,493.95,495.7,488.1,490.8,490.6,5012902.0,24641.03
2016-05-19,501.75,501.75,489.0,490.1,490.5,5989236.0,29634.18
2016-05-18,498.5,503.0,495.25,500.0,501.1,8241793.0,41145.55
2016-05-17,490.7,505.5,490.3,502.75,503.35,8982435.0,45006.82
2016-05-16,492.0,493.65,477.25,488.7,486.45,5809867.0,28145.64
2016-05-13,493.7,496.2,486.5,491.15,490.65,7426191.0,36413.77
2016-05-12,498.6,506.9,490.6,494.0,492.55,13528266.0,67488.89
2016-05-11,482.6,499.35,480.25,497.8,498.2,21878712.0,108398.73
2016-05-10,479.0,489.0,478.15,487.0,487.95,12131886.0,58721.37
2016-05-09,465.8,478.0,461.65,477.5,477.1,10228014.0,48110.35
2016-05-06,461.0,464.05,459.0,461.95,461.45,4804806.0,22153.48
2016-05-05,463.0,467.3,458.45,461.35,461.05,8736141.0,40339.66
2016-05-04,466.0,470.0,460.25,464.95,462.45,8777977.0,40697.65
2016-05-03,473.9,475.0,466.3,470.5,470.55,8097969.0,38161.11
2016-05-02,474.35,479.0,468.45,472.1,471.8,9439328.0,44596.06
2016-04-29,466.75,477.45,465.05,471.0,472.4,10883473.0,51382.27
2016-04-28,463.0,471.85,461.55,466.15,468.05,16457436.0,76843.11
2016-04-27,461.3,473.5,458.05,464.25,465.5,29544825.0,138096.91
2016-04-26,470.1,484.9,463.65,477.8,480.2,12685893.0,60082.75
2016-04-25,474.0,477.35,465.0,472.2,469.9,7474910.0,35084.57
2016-04-22,465.6,478.5,462.1,474.8,475.85,7323373.0,34517.59
2016-04-21,463.8,472.75,463.0,465.85,467.95,11717618.0,54958.19
2016-04-20,446.1,460.65,444.35,458.85,459.1,10775664.0,48998.72
2016-04-18,444.95,446.05,437.4,445.3,445.25,6674315.0,29534.98
2016-04-13,440.05,445.3,438.1,439.5,440.5,9091282.0,40190.23
2016-04-12,430.5,436.45,429.4,434.6,434.05,5586212.0,24213.65
2016-04-11,423.9,431.9,417.5,430.1,429.8,6221772.0,26454.77
2016-04-08,426.7,427.35,420.05,422.65,421.6,6881318.0,29044.95
2016-04-07,427.75,431.8,424.9,426.05,426.65,5374072.0,23043.56
2016-04-06,433.3,436.3,423.1,427.0,424.65,7457831.0,31874.02
2016-04-05,443.4,449.5,431.0,431.3,432.6,12100258.0,53204.88
2016-04-04,451.5,451.55,442.1,445.2,444.75,5347581.0,23842.98
2016-04-01,440.9,452.0,440.05,449.6,449.9,8827751.0,39501.77
2016-03-31,443.7,449.0,438.2,445.5,444.15,12671936.0,56246.01
2016-03-30,433.3,445.7,432.1,444.0,444.25,9551121.0,41980.56
2016-03-29,423.9,432.9,422.4,429.0,429.45,6674980.0,28608.49
2016-03-28,437.85,438.6,419.8,425.5,422.9,9200929.0,39526.6
2016-03-23,439.25,441.25,435.1,437.85,437.5,5018310.0,21957.5
2016-03-22,447.0,447.6,434.3,440.8,441.25,8004834.0,35360.79
2016-03-21,439.0,445.5,437.9,444.55,444.5,8910574.0,39412.93
2016-03-18,429.95,437.6,429.1,436.85,436.1,6675930.0,28914.06
2016-03-17,430.0,435.0,425.5,426.65,428.15,11080947.0,47693.12
2016-03-16,419.0,426.35,411.0,425.9,424.6,8290044.0,34694.21
2016-03-15,417.5,421.75,416.1,418.8,418.85,8188560.0,34318.8
2016-03-14,417.6,422.25,413.1,416.5,415.45,6963673.0,29060.85
2016-03-11,413.85,421.95,408.25,412.9,412.8,8348484.0,34648.93
2016-03-10,417.5,420.0,410.6,412.55,413.0,5631550.0,23328.63
2016-03-09,409.0,418.2,407.5,416.5,416.85,8437253.0,35042.79
2016-03-08,415.6,423.05,408.8,411.3,411.75,6921273.0,28715.96
2016-03-04,418.15,418.15,409.25,417.5,416.05,8992492.0,37252.24
2016-03-03,411.35,419.0,407.1,415.9,417.15,14677533.0,60481.37
2016-03-02,400.0,411.8,400.0,407.0,407.25,15332044.0,62499.0
2016-03-01,380.1,393.2,380.1,392.0,392.0,12822550.0,49755.03
2016-02-29,387.0,391.65,374.0,376.8,375.75,82022905.0,312103.62
2016-02-26,385.0,390.3,382.15,386.4,386.35,9588881.0,37077.62
2016-02-25,386.1,387.8,377.45,380.0,378.2,9491615.0,36302.92
2016-02-24,385.0,391.0,377.25,388.0,386.65,11983475.0,46109.21
2016-02-23,397.9,397.9,383.25,384.9,385.15,9955791.0,38739.54
2016-02-22,395.0,398.75,391.05,396.35,397.15,10284642.0,40700.31
2016-02-19,395.6,396.9,390.0,392.2,392.5,12915275.0,50705.95
2016-02-18,410.2,412.1,391.6,397.2,398.05,12069460.0,48572.87
