Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,408.45,412.35,405.0,406.05,406.2,15139.0,61.69
2016-06-16,405.55,408.2,396.6,404.0,404.25,31810.0,127.58
2016-06-15,403.0,415.0,403.0,407.0,408.1,29267.0,119.81
2016-06-14,413.0,417.3,402.0,404.0,403.8,34418.0,140.51
2016-06-13,393.0,423.9,390.45,412.2,412.8,117347.0,484.17
2016-06-10,395.05,413.6,395.05,398.4,399.35,45809.0,185.05
2016-06-09,401.5,407.95,392.35,396.1,396.75,28201.0,112.72
2016-06-08,383.95,399.7,380.0,397.95,395.65,46218.0,181.64
2016-06-07,380.0,388.0,378.4,383.0,383.0,13404.0,51.27
2016-06-06,382.3,384.0,378.0,380.6,380.7,21087.0,80.19
2016-06-03,383.25,384.8,380.0,380.2,380.6,5877.0,22.41
2016-06-02,380.1,385.5,376.6,381.0,380.65,27847.0,105.99
2016-06-01,378.95,387.9,376.0,380.7,381.1,18745.0,71.76
2016-05-31,377.0,379.95,374.1,376.9,375.35,14244.0,53.72
2016-05-30,370.05,388.0,366.8,375.1,375.25,37532.0,141.57
2016-05-27,369.0,379.7,363.0,375.7,376.2,39887.0,149.1
2016-05-26,369.7,371.4,365.0,367.5,366.85,16230.0,59.8
2016-05-25,363.05,374.0,362.15,367.5,367.35,29942.0,110.34
2016-05-24,361.0,375.0,352.8,360.0,356.45,58701.0,212.14
2016-05-23,403.55,403.55,355.55,366.5,365.35,78345.0,297.17
2016-05-20,413.95,419.0,399.55,407.5,407.95,37018.0,151.35
2016-05-19,419.5,422.0,410.0,415.1,413.95,23538.0,98.13
2016-05-18,424.9,426.15,414.6,418.0,417.9,17428.0,73.29
2016-05-17,416.5,437.4,414.0,422.9,422.3,136807.0,584.71
2016-05-16,418.95,419.3,408.25,415.6,415.85,13411.0,55.53
2016-05-13,414.0,419.4,408.3,415.0,415.1,32739.0,135.67
2016-05-12,397.0,417.8,397.0,415.0,415.0,80274.0,329.21
2016-05-11,388.0,403.8,388.0,397.0,396.65,21751.0,86.42
2016-05-10,401.95,402.5,394.8,395.5,395.85,12341.0,49.16
2016-05-09,392.5,401.0,391.0,400.9,397.45,26709.0,105.67
2016-05-06,390.0,396.55,385.0,393.0,391.2,9004.0,35.3
2016-05-05,395.0,398.75,386.2,389.0,388.15,22445.0,88.17
2016-05-04,399.0,406.5,390.3,393.5,392.85,19717.0,78.85
2016-05-03,404.5,415.0,400.1,402.65,403.25,30882.0,126.42
2016-05-02,401.0,416.65,399.5,405.6,403.65,48272.0,197.63
2016-04-29,404.3,412.0,399.05,402.1,403.2,15608.0,63.13
2016-04-28,404.0,423.9,403.65,406.0,405.6,51264.0,211.84
2016-04-27,400.0,411.85,399.0,404.8,405.4,30368.0,123.85
2016-04-26,400.0,407.5,390.0,399.55,400.05,17948.0,72.15
2016-04-25,406.0,406.0,395.0,397.95,397.2,9591.0,38.23
2016-04-22,405.9,409.05,400.5,401.9,401.45,11889.0,48.1
2016-04-21,414.95,417.0,400.0,402.3,402.15,29149.0,118.5
2016-04-20,413.5,416.85,406.0,411.0,412.0,27118.0,111.54
2016-04-18,413.0,419.4,400.0,413.0,413.05,52089.0,213.91
2016-04-13,396.75,425.5,392.0,409.0,409.75,166772.0,685.12
2016-04-12,376.05,394.8,376.05,391.2,392.25,67805.0,265.57
2016-04-11,383.5,383.5,374.1,378.0,377.8,14696.0,55.45
2016-04-08,381.0,387.0,374.05,381.8,379.5,12932.0,49.21
2016-04-07,384.25,387.0,375.3,377.3,379.0,15952.0,60.82
2016-04-06,387.0,387.0,380.0,384.95,384.0,15028.0,57.75
2016-04-05,381.4,394.0,381.4,384.0,385.25,26997.0,104.92
2016-04-04,378.9,391.0,373.0,391.0,383.35,32696.0,124.77
2016-04-01,366.0,382.3,364.2,376.0,376.1,34033.0,127.77
2016-03-31,375.3,377.95,364.0,369.95,366.8,34660.0,128.08
2016-03-30,369.9,381.25,366.2,371.9,372.6,42630.0,160.04
2016-03-29,372.65,376.0,360.0,363.0,362.95,28531.0,104.76
2016-03-28,386.35,386.35,367.7,367.7,370.0,23578.0,88.42
2016-03-23,372.5,386.1,366.5,382.0,383.1,104442.0,397.79
2016-03-22,372.5,377.85,368.0,372.5,372.25,26364.0,98.27
2016-03-21,364.85,382.5,361.95,368.25,369.0,54166.0,202.35
2016-03-18,364.5,369.9,358.0,359.75,361.95,17788.0,64.53
2016-03-17,373.8,378.4,361.0,365.5,365.55,18418.0,67.72
2016-03-16,371.95,375.0,357.2,367.95,366.05,24103.0,87.72
2016-03-15,380.0,392.0,367.5,368.0,368.65,58283.0,222.63
2016-03-14,380.0,394.9,377.0,383.85,384.35,96112.0,370.26
2016-03-11,360.9,375.0,360.9,369.8,367.4,9385.0,34.79
2016-03-10,366.75,374.85,364.0,365.4,365.9,10324.0,38.12
2016-03-09,358.0,368.05,356.5,364.45,366.75,20740.0,75.79
2016-03-08,373.0,375.0,358.0,362.0,360.9,30607.0,111.8
2016-03-04,359.9,379.9,356.0,374.0,373.2,41968.0,156.37
2016-03-03,354.75,359.95,350.15,356.65,354.25,97723.0,346.38
2016-03-02,348.0,358.0,345.0,349.0,349.55,23845.0,83.86
2016-03-01,334.0,349.0,327.3,345.25,343.0,18972.0,64.92
2016-02-29,335.8,342.0,327.2,329.55,330.2,10876.0,36.37
2016-02-26,330.15,338.6,325.45,335.6,335.55,7407.0,24.75
2016-02-25,339.0,347.7,325.0,327.5,328.65,15152.0,50.53
2016-02-24,340.0,342.9,333.1,337.4,337.15,17810.0,60.09
2016-02-23,364.4,364.7,343.0,344.0,346.1,13102.0,46.14
2016-02-22,351.0,367.85,345.7,360.0,361.5,35196.0,126.23
2016-02-19,340.0,355.4,332.0,354.0,352.7,15187.0,52.87
2016-02-18,330.5,344.7,330.5,342.6,340.4,10578.0,35.95
2016-02-17,331.0,337.8,318.0,333.1,333.2,15969.0,52.05
2016-02-16,349.0,357.9,329.7,329.7,331.65,11831.0,40.0
2016-02-15,324.05,359.2,324.05,348.05,347.95,30576.0,105.94
2016-02-12,339.8,344.0,310.0,320.15,320.7,24952.0,80.29
2016-02-11,377.0,377.0,330.5,335.0,335.85,52947.0,185.93
2016-02-10,399.0,400.0,368.95,377.0,375.05,41028.0,156.24
2016-02-09,395.05,402.05,389.0,390.55,391.45,13174.0,51.98
2016-02-08,409.25,421.3,398.75,401.25,402.45,27202.0,112.28
2016-02-05,409.85,413.0,402.35,406.1,407.8,5941.0,24.28
2016-02-04,410.1,418.0,402.0,409.0,408.45,11913.0,49.0
2016-02-03,412.0,416.0,405.2,406.5,406.6,15352.0,62.9
2016-02-02,415.3,433.9,415.3,415.9,417.55,30259.0,128.37
2016-02-01,410.0,427.4,408.5,417.25,418.7,28288.0,118.67
2016-01-29,404.95,414.0,401.0,409.8,407.05,13564.0,55.33
2016-01-28,408.35,409.9,400.1,402.1,401.85,7010.0,28.35
2016-01-27,408.8,414.0,404.15,406.2,406.25,6865.0,27.99
2016-01-25,409.55,411.0,401.0,403.0,403.6,11653.0,47.44
2016-01-22,400.15,409.95,397.0,403.5,403.5,19773.0,80.09
2016-01-21,404.0,412.85,386.0,396.6,395.0,32309.0,129.09
2016-01-20,412.0,412.0,391.0,398.5,396.2,72888.0,291.53
2016-01-19,414.0,419.7,407.1,414.35,414.2,55141.0,227.57
2016-01-18,420.05,422.6,401.0,410.0,410.1,83686.0,343.47
2016-01-15,445.8,497.0,416.5,423.2,425.3,58942.0,260.24
2016-01-14,438.95,449.9,430.3,441.1,441.25,14596.0,64.34
2016-01-13,466.7,469.95,431.1,442.5,444.35,31257.0,140.74
2016-01-12,470.0,475.0,460.25,460.5,461.85,20110.0,93.92
2016-01-11,466.55,473.0,461.0,467.0,466.95,17417.0,81.39
2016-01-08,468.0,484.9,468.0,470.15,471.3,35574.0,169.18
2016-01-07,488.0,488.0,467.0,467.2,469.0,30524.0,144.47
2016-01-06,494.6,497.75,482.0,488.2,489.45,33777.0,165.46
2016-01-05,486.95,496.45,482.0,491.2,492.25,47581.0,233.43
2016-01-04,492.7,497.0,479.0,482.0,482.95,26667.0,129.95
2016-01-01,500.95,506.4,488.1,491.5,492.75,28281.0,140.45
2015-12-31,495.8,501.7,487.0,500.8,498.0,42814.0,212.53
2015-12-30,486.0,499.0,486.0,493.0,491.2,85895.0,423.39
2015-12-29,478.5,489.0,475.0,483.1,485.15,77108.0,373.24
2015-12-28,471.25,481.55,471.25,478.9,475.8,26891.0,128.1
2015-12-24,475.0,479.3,468.9,469.75,471.25,25146.0,119.04
2015-12-23,475.8,482.0,471.0,472.85,473.2,28596.0,135.94
2015-12-22,463.0,484.7,462.1,472.0,471.05,62285.0,295.37
2015-12-21,458.0,469.75,458.0,462.0,461.85,16998.0,78.77
2015-12-18,467.95,476.8,460.55,462.9,462.4,37188.0,173.62
2015-12-17,451.95,472.2,444.0,468.0,467.55,105275.0,485.75
2015-12-16,448.5,458.0,443.1,444.0,444.8,36648.0,164.91
2015-12-15,445.0,446.1,430.2,444.0,443.5,26305.0,115.95
2015-12-14,438.2,445.5,430.1,443.85,441.65,52896.0,232.72
2015-12-11,452.0,457.0,433.0,439.7,438.2,39506.0,174.27
2015-12-10,453.0,454.7,437.0,454.0,449.05,53577.0,238.3
2015-12-09,468.95,469.05,442.1,449.0,448.15,86684.0,392.85
