Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,348.0,358.9,344.45,357.8,357.0,5039991.0,17795.51
2016-06-16,351.55,351.95,341.25,346.05,346.5,2355893.0,8138.42
2016-06-15,348.0,352.85,347.0,351.55,351.9,2937711.0,10317.46
2016-06-14,343.2,344.5,337.35,342.65,342.65,3026950.0,10309.79
2016-06-13,348.3,350.5,341.55,342.05,342.4,1965043.0,6780.61
2016-06-10,349.7,353.55,347.6,351.0,351.1,1965285.0,6902.78
2016-06-09,355.5,356.4,349.8,350.5,351.25,1396930.0,4926.32
2016-06-08,355.6,358.25,351.6,352.5,352.65,2391937.0,8494.1
2016-06-07,348.75,352.1,347.3,349.55,349.15,4022603.0,14066.13
2016-06-06,357.0,359.05,347.2,348.6,348.75,4744743.0,16669.46
2016-06-03,365.0,365.7,355.35,356.95,358.15,3314283.0,11914.7
2016-06-02,361.35,368.0,359.8,365.5,366.2,2347471.0,8576.25
2016-06-01,353.55,364.35,352.3,363.95,363.25,2777337.0,9979.84
2016-05-31,356.9,357.0,347.15,354.1,351.4,21884214.0,76936.52
2016-05-30,353.1,357.2,352.25,356.3,355.9,2564704.0,9105.01
2016-05-27,352.95,357.6,349.55,353.0,351.25,2772151.0,9795.33
2016-05-26,352.0,356.0,347.75,350.75,352.85,4752719.0,16788.33
2016-05-25,347.1,352.5,347.0,351.7,351.65,1944422.0,6819.69
2016-05-24,345.9,346.95,341.8,345.6,345.15,2067119.0,7120.47
2016-05-23,346.7,348.75,341.5,346.0,345.85,1660748.0,5743.61
2016-05-20,345.9,346.5,339.3,342.15,341.95,3784752.0,12964.0
2016-05-19,351.25,352.8,343.4,345.0,344.8,2470460.0,8552.41
2016-05-18,350.0,352.6,347.25,350.95,351.25,2182531.0,7636.65
2016-05-17,356.0,359.0,348.6,351.55,351.2,2478092.0,8749.93
2016-05-16,355.0,356.15,342.85,355.2,353.45,2700321.0,9414.66
2016-05-13,362.0,362.0,353.0,355.5,354.9,3610466.0,12823.1
2016-05-12,363.0,363.55,355.7,362.7,362.1,2905943.0,10479.37
2016-05-11,364.5,377.45,357.0,359.15,358.9,4791361.0,17522.67
2016-05-10,367.5,369.3,360.35,369.0,368.85,2642844.0,9671.73
2016-05-09,360.25,367.9,358.2,367.5,366.8,1866271.0,6789.16
2016-05-06,357.0,364.45,354.4,359.5,359.1,2880488.0,10364.73
2016-05-05,362.5,366.0,351.65,354.85,354.4,2140529.0,7642.39
