Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,122.8,123.9,121.4,121.9,122.35,5327548.0,6526.55
2016-06-16,122.0,122.7,119.8,121.25,121.4,3244806.0,3932.02
2016-06-15,121.65,123.2,121.25,122.45,122.55,3344170.0,4090.44
2016-06-14,120.8,121.9,120.3,121.25,121.4,4746428.0,5746.11
2016-06-13,122.25,122.25,119.3,120.45,120.35,4532427.0,5456.04
2016-06-10,122.0,126.5,121.95,123.6,123.75,12843461.0,16000.35
2016-06-09,121.8,122.9,120.2,121.2,121.2,4107824.0,4993.36
2016-06-08,119.25,122.5,118.75,121.4,121.4,6363716.0,7718.64
2016-06-07,119.5,120.8,117.7,119.1,119.3,6238164.0,7430.01
2016-06-06,118.4,119.4,117.0,118.15,118.1,4918899.0,5808.39
2016-06-03,121.0,121.0,117.7,118.05,118.0,4950995.0,5881.91
2016-06-02,118.5,120.5,117.05,119.85,120.05,5495133.0,6533.47
2016-06-01,122.0,122.0,117.5,118.65,118.35,6600275.0,7889.74
2016-05-31,121.0,123.3,119.5,120.45,120.5,8657827.0,10479.35
2016-05-30,122.9,125.8,120.2,120.55,120.7,11684836.0,14356.78
2016-05-27,129.0,132.2,126.6,128.1,128.1,10522598.0,13594.9
2016-05-26,123.75,129.25,123.7,128.75,128.6,10357586.0,13072.82
2016-05-25,119.05,123.05,118.9,122.8,122.55,6518606.0,7890.68
2016-05-24,118.5,118.8,115.65,118.2,117.7,4383914.0,5138.37
2016-05-23,120.0,120.25,118.1,118.5,118.75,2957391.0,3517.11
2016-05-20,119.95,120.75,119.0,119.35,119.3,3575818.0,4283.52
2016-05-19,120.2,121.95,118.5,119.25,119.25,6289413.0,7559.53
2016-05-18,120.0,120.3,118.0,119.7,119.55,5203161.0,6195.02
2016-05-17,122.7,123.3,120.6,120.95,121.0,4205486.0,5128.69
2016-05-16,123.6,124.3,119.8,121.2,121.25,5571860.0,6774.44
2016-05-13,125.2,126.0,122.5,122.7,122.75,3876552.0,4791.39
2016-05-12,126.0,128.15,125.1,125.85,125.6,4006383.0,5060.34
2016-05-11,126.65,128.0,125.0,126.25,126.3,4163357.0,5266.13
2016-05-10,127.6,130.4,126.05,129.0,128.65,5714654.0,7359.69
2016-05-09,127.25,128.9,125.6,127.3,127.25,4770214.0,6065.21
2016-05-06,122.5,127.45,120.6,126.4,126.75,5465916.0,6779.5
2016-05-05,119.9,123.5,119.5,123.3,122.75,5097347.0,6216.28
2016-05-04,124.0,124.65,119.05,119.55,119.75,5197582.0,6336.7
2016-05-03,128.5,129.7,123.9,124.3,124.45,5158577.0,6555.97
2016-05-02,125.0,129.0,123.65,127.75,127.7,5083590.0,6443.66
2016-04-29,125.0,126.8,123.15,125.45,125.4,4281485.0,5352.35
2016-04-28,127.8,128.65,123.8,125.2,125.0,7587794.0,9507.46
2016-04-27,129.65,131.3,127.1,127.9,127.75,5482386.0,7081.99
2016-04-26,126.0,130.85,125.0,128.9,129.15,8074208.0,10375.69
2016-04-25,125.0,127.7,124.25,125.75,125.65,5108786.0,6418.28
2016-04-22,128.75,128.75,126.3,127.45,127.55,6782693.0,8645.73
2016-04-21,134.45,135.0,127.9,128.8,128.9,8736518.0,11379.8
2016-04-20,132.45,134.25,131.8,132.9,132.95,5417293.0,7205.55
2016-04-18,134.8,134.8,131.35,132.2,132.2,7049320.0,9344.91
2016-04-13,128.2,135.45,128.2,133.2,133.65,12061103.0,15927.44
2016-04-12,127.7,129.0,126.1,126.95,127.3,7586758.0,9676.52
2016-04-11,123.6,128.2,123.0,127.8,127.45,15478217.0,19451.08
2016-04-08,119.0,123.35,117.8,122.8,122.8,21997293.0,26641.94
2016-04-07,115.0,121.45,112.7,118.4,119.25,37822652.0,44581.3
2016-04-06,114.55,115.8,112.65,114.35,113.9,7010382.0,7987.64
2016-04-05,116.7,117.9,112.35,113.0,112.85,6495212.0,7471.44
2016-04-04,117.5,118.8,114.7,117.15,116.85,6485269.0,7548.86
2016-04-01,113.8,120.7,113.35,116.0,116.45,19232274.0,22675.36
2016-03-31,114.1,115.7,113.0,113.8,113.85,6793939.0,7741.6
2016-03-30,112.4,115.85,111.3,114.85,114.85,5766549.0,6549.9
2016-03-29,112.95,114.2,110.45,110.7,110.95,5273523.0,5912.29
2016-03-28,117.3,117.7,112.35,113.05,113.15,4997836.0,5748.96
2016-03-23,117.5,117.8,115.85,116.15,116.4,6089881.0,7109.66
2016-03-22,113.0,117.3,112.4,116.6,116.7,14725101.0,17080.18
2016-03-21,113.4,113.8,111.0,111.95,111.95,6184534.0,6938.09
2016-03-18,111.75,114.2,111.2,113.3,113.4,8802918.0,9920.84
2016-03-17,107.55,112.2,106.85,109.7,110.9,11431544.0,12565.71
2016-03-16,107.5,108.5,105.05,106.4,106.4,6181495.0,6595.18
2016-03-15,105.9,107.05,105.15,106.2,106.15,4257585.0,4516.53
2016-03-14,104.8,106.85,102.65,105.6,105.95,7566328.0,7988.23
2016-03-11,104.4,105.2,102.75,103.75,103.7,6744572.0,7008.27
2016-03-10,107.75,107.75,103.6,104.35,104.4,8003391.0,8421.08
2016-03-09,106.0,108.0,103.6,107.75,107.65,6838482.0,7277.6
2016-03-08,108.0,111.15,104.75,106.15,106.0,8827275.0,9535.66
2016-03-04,104.1,108.2,102.05,107.7,107.6,13089003.0,13896.42
2016-03-03,98.0,103.85,97.15,103.25,103.3,16552822.0,16805.35
2016-03-02,96.8,101.95,95.8,97.2,97.1,19480054.0,19175.94
2016-03-01,91.45,93.6,90.75,92.7,92.8,10852973.0,9971.43
2016-02-29,95.8,96.5,90.15,90.45,90.85,10835867.0,10128.07
2016-02-26,95.45,96.8,93.8,95.25,95.1,6325805.0,6022.61
2016-02-25,94.5,94.85,91.35,94.65,94.35,12827544.0,12003.09
2016-02-24,98.3,98.3,92.9,93.4,93.45,11200072.0,10681.25
2016-02-23,102.7,102.7,98.0,98.35,98.45,10411949.0,10398.76
2016-02-22,103.0,103.2,100.4,101.05,101.0,8219843.0,8342.3
2016-02-19,100.0,105.3,98.65,101.7,101.75,14383794.0,14703.26
2016-02-18,108.0,108.5,101.2,103.3,103.7,10123889.0,10550.61
2016-02-17,103.7,106.5,100.1,105.8,105.75,9166083.0,9516.02
2016-02-16,109.0,109.95,101.6,102.7,103.25,7996775.0,8487.34
2016-02-15,106.7,109.5,101.9,107.8,107.95,14192124.0,15140.71
2016-02-12,114.0,115.65,102.25,103.0,104.45,20437859.0,21752.99
2016-02-11,127.0,129.25,119.15,119.4,120.25,5380147.0,6616.46
2016-02-10,130.95,131.25,126.65,128.1,128.0,2600282.0,3351.67
2016-02-09,131.75,133.4,129.95,131.25,131.4,2666447.0,3510.11
2016-02-08,132.95,137.9,131.5,132.3,132.3,3386918.0,4569.16
2016-02-05,129.9,133.45,128.45,133.2,132.8,3341057.0,4392.75
2016-02-04,129.25,131.45,127.2,129.65,129.5,3684409.0,4769.64
2016-02-03,133.0,133.3,127.8,128.35,128.2,4342371.0,5620.61
2016-02-02,140.55,140.7,134.3,134.7,134.8,3840720.0,5279.55
2016-02-01,139.7,144.8,136.5,139.4,140.25,6689556.0,9413.55
2016-01-29,137.75,139.65,136.5,138.45,138.7,3217191.0,4453.92
2016-01-28,139.6,140.5,136.05,137.0,136.9,9550024.0,13116.03
2016-01-27,145.5,146.0,139.15,139.35,139.6,3944535.0,5570.06
2016-01-25,148.35,151.45,144.3,145.05,145.25,3053843.0,4517.43
