Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1016.75,1019.75,1001.0,1002.95,1004.95,877044.0,8850.33
2016-06-16,1014.2,1020.0,1000.6,1011.65,1011.5,1099536.0,11099.8
2016-06-15,995.25,1013.8,995.25,1012.0,1011.0,838890.0,8437.09
2016-06-14,1016.0,1017.0,988.15,991.5,991.15,1075595.0,10724.89
2016-06-13,982.25,1012.95,980.0,1011.0,1008.65,1244700.0,12445.42
2016-06-10,999.0,1004.35,984.55,990.0,986.85,846443.0,8412.68
2016-06-09,990.3,1005.8,987.0,998.8,997.45,1317036.0,13134.3
2016-06-08,972.25,985.4,969.15,980.1,980.15,1022941.0,9999.34
2016-06-07,1002.0,1002.25,973.4,975.3,976.25,1173538.0,11558.55
2016-06-06,1006.4,1009.3,990.0,995.0,994.25,1281976.0,12803.63
2016-06-03,1012.0,1033.95,1003.85,1015.5,1012.5,1860398.0,18969.21
2016-06-02,986.7,1006.5,978.7,1004.0,1003.1,1443266.0,14390.48
2016-06-01,995.0,996.0,982.1,988.4,987.1,1074066.0,10621.92
2016-05-31,999.45,1007.95,973.95,978.55,980.5,2332266.0,23026.05
2016-05-30,1020.0,1023.95,993.6,999.7,999.45,1310193.0,13129.59
2016-05-27,951.0,1024.7,947.45,1005.4,1012.0,5884920.0,59028.02
2016-05-26,921.0,931.0,907.1,926.1,926.8,1207274.0,11114.33
2016-05-25,904.5,940.7,881.15,920.2,917.4,789549.0,7133.56
2016-05-24,916.0,925.15,890.6,898.0,895.95,1032991.0,9331.32
2016-05-23,926.8,932.1,911.0,917.5,921.9,732070.0,6759.76
2016-05-20,944.3,947.25,918.0,921.3,920.5,795486.0,7361.86
2016-05-19,931.8,949.5,931.0,942.0,943.25,1020972.0,9641.43
2016-05-18,942.1,958.1,930.45,932.2,933.1,1463205.0,13768.67
2016-05-17,930.15,948.55,930.0,944.8,945.3,1024766.0,9656.84
2016-05-16,928.0,930.9,915.55,922.55,922.7,682740.0,6290.79
2016-05-13,924.25,935.0,919.45,926.2,927.8,545702.0,5063.15
2016-05-12,917.1,933.35,917.1,925.35,926.45,668835.0,6197.09
2016-05-11,918.55,927.55,908.5,919.3,919.55,1049546.0,9619.49
2016-05-10,941.2,942.9,925.1,927.5,927.35,1055780.0,9831.54
2016-05-09,943.0,950.0,932.6,944.9,937.0,937147.0,8818.78
2016-05-06,933.0,945.0,927.7,942.5,939.2,1213242.0,11363.09
2016-05-05,949.0,951.2,929.15,940.0,938.8,702255.0,6584.43
2016-05-04,947.25,962.0,943.3,949.1,947.05,700497.0,6677.89
