Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,487.0,490.0,484.05,484.15,486.45,593507.0,2891.36
2016-06-16,487.8,488.85,479.35,485.5,486.65,1239939.0,6006.39
2016-06-15,485.9,492.55,483.8,488.0,490.05,1860880.0,9094.47
2016-06-14,470.1,484.0,469.55,483.0,482.7,2522251.0,12063.98
2016-06-13,474.95,479.9,465.55,468.4,468.7,1271568.0,5981.68
2016-06-10,475.0,486.6,474.5,477.9,476.45,1704257.0,8194.23
2016-06-09,473.55,481.95,469.1,479.95,479.1,1695845.0,8095.49
2016-06-08,471.85,474.0,468.0,473.0,472.15,811331.0,3825.84
2016-06-07,466.65,471.9,466.65,468.05,468.35,1797918.0,8438.31
2016-06-06,468.95,471.5,465.4,467.0,466.65,1409144.0,6604.0
2016-06-03,470.5,473.95,462.3,463.9,465.2,1318109.0,6181.65
2016-06-02,464.45,470.0,459.0,467.65,468.1,1354914.0,6302.94
2016-06-01,474.7,474.7,462.75,463.0,464.9,1247617.0,5861.92
2016-05-31,475.4,479.25,471.0,472.45,472.65,2368362.0,11228.91
2016-05-30,476.95,478.5,470.0,473.6,473.55,1183625.0,5617.25
2016-05-27,470.9,478.5,469.1,473.45,473.45,2638981.0,12502.95
2016-05-26,472.7,473.9,466.0,468.85,467.95,4432025.0,20774.9
2016-05-25,480.0,480.0,457.45,472.2,469.8,15183389.0,71096.05
2016-05-24,499.95,505.2,491.55,495.0,494.05,2526624.0,12593.56
2016-05-23,510.0,510.0,494.8,495.1,497.4,2021694.0,10141.9
2016-05-20,514.3,515.25,501.2,506.8,507.1,1700932.0,8610.52
2016-05-19,524.1,525.9,510.2,512.05,512.7,1062398.0,5488.71
2016-05-18,522.55,526.75,520.05,524.15,524.55,653047.0,3415.84
2016-05-17,523.0,528.65,522.5,524.0,523.75,679688.0,3568.43
2016-05-16,533.85,533.85,520.35,521.9,521.8,883516.0,4636.41
2016-05-13,534.45,538.7,530.05,530.2,531.7,891484.0,4748.95
2016-05-12,536.95,542.45,534.35,535.2,536.3,670055.0,3609.7
2016-05-11,532.0,539.5,530.75,535.15,536.6,943441.0,5058.86
2016-05-10,537.0,539.5,532.75,535.7,537.05,669096.0,3586.11
2016-05-09,538.3,540.2,533.25,536.45,536.55,727957.0,3905.54
2016-05-06,540.0,542.75,535.1,537.3,537.35,511789.0,2751.78
2016-05-05,535.5,544.0,533.5,543.05,541.8,1025103.0,5530.04
2016-05-04,534.0,541.35,529.0,532.2,533.2,785756.0,4210.08
2016-05-03,540.0,547.0,526.55,536.05,536.85,1524809.0,8224.23
2016-05-02,536.95,544.6,535.0,538.95,540.65,1336667.0,7238.57
2016-04-29,527.2,538.4,527.1,537.5,537.0,932705.0,4989.99
