Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,308.0,314.5,308.0,312.1,313.2,3608513.0,11282.52
2016-06-16,309.05,309.5,305.5,306.95,307.55,1665463.0,5114.2
2016-06-15,309.15,310.8,304.85,309.05,309.75,2353608.0,7238.55
2016-06-14,310.0,310.35,306.65,307.65,308.85,2102212.0,6479.64
2016-06-13,305.0,310.45,304.55,308.25,308.5,2418196.0,7464.79
2016-06-10,313.7,315.9,306.15,306.75,306.65,2251748.0,6993.02
2016-06-09,306.8,314.4,305.4,314.15,313.0,2240051.0,6945.8
2016-06-08,307.55,307.95,304.0,306.95,306.8,1673081.0,5119.01
2016-06-07,307.1,309.5,305.05,306.7,307.8,2708323.0,8321.47
2016-06-06,308.1,308.5,304.0,306.25,305.8,5184081.0,15854.1
2016-06-03,310.0,311.9,308.05,308.65,308.95,6459723.0,20026.29
2016-06-02,297.8,309.5,296.7,306.8,307.35,9888554.0,30210.78
2016-06-01,292.05,299.5,289.05,297.95,297.2,5843470.0,17176.62
2016-05-31,293.9,295.25,287.9,291.6,291.4,7041001.0,20563.5
2016-05-30,289.25,295.95,288.5,292.3,292.55,17863356.0,52297.23
2016-05-27,282.25,284.5,280.2,281.5,281.3,4543846.0,12811.19
2016-05-26,281.0,281.7,278.75,281.0,280.85,4619836.0,12953.77
2016-05-25,280.4,281.5,277.7,281.5,281.0,2075737.0,5817.3
2016-05-24,281.4,281.4,278.0,279.05,279.55,2073509.0,5792.09
2016-05-23,281.0,281.5,278.2,281.45,280.5,2035863.0,5702.99
2016-05-20,280.6,281.1,278.05,279.5,279.0,4355684.0,12177.25
2016-05-19,284.0,284.4,279.4,280.05,280.3,1489126.0,4192.58
2016-05-18,285.3,285.3,281.2,284.8,283.95,2782932.0,7889.32
2016-05-17,283.75,284.9,281.8,284.2,283.85,1736009.0,4924.24
2016-05-16,281.9,283.9,279.65,283.0,282.85,4442240.0,12525.18
2016-05-13,283.6,283.6,278.55,281.6,281.45,2846180.0,8000.18
2016-05-12,284.05,284.85,282.0,284.0,283.85,3368917.0,9553.0
