Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,3081.0,3094.9,2999.8,3000.0,3002.95,1066355.0,32602.02
2016-06-16,3086.75,3089.0,3032.0,3042.0,3048.25,1081548.0,33226.1
2016-06-15,3095.0,3095.0,3077.4,3088.0,3086.75,217791.0,6720.11
2016-06-14,3088.0,3109.2,3080.0,3099.0,3097.3,269932.0,8347.47
2016-06-13,3069.0,3102.25,3068.0,3100.0,3088.25,396694.0,12234.61
2016-06-10,3055.25,3093.05,3050.0,3067.0,3065.8,296281.0,9088.1
2016-06-09,3098.7,3099.0,3062.25,3075.2,3070.95,570485.0,17532.72
2016-06-08,3149.0,3165.8,3135.0,3135.1,3137.95,236533.0,7447.12
2016-06-07,3140.15,3183.0,3132.0,3158.0,3155.95,599266.0,18897.87
2016-06-06,3156.4,3169.0,3126.3,3157.75,3151.2,398816.0,12557.76
2016-06-03,3187.0,3196.95,3142.3,3165.0,3160.1,338635.0,10704.88
2016-06-02,3172.0,3198.75,3166.7,3181.5,3177.05,238424.0,7574.08
2016-06-01,3190.0,3219.9,3172.1,3183.0,3183.15,194240.0,6191.06
2016-05-31,3173.55,3198.7,3160.0,3194.0,3183.1,556364.0,17695.14
2016-05-30,3112.0,3176.35,3112.0,3172.0,3170.25,275475.0,8709.7
2016-05-27,3084.0,3138.0,3075.15,3111.0,3116.05,181796.0,5664.38
2016-05-26,3062.4,3110.0,3060.05,3090.0,3090.7,281507.0,8690.18
2016-05-25,3020.0,3075.0,3020.0,3059.1,3051.55,209454.0,6391.85
2016-05-24,3025.0,3040.0,3015.1,3027.0,3025.15,176991.0,5352.65
2016-05-23,3020.0,3047.3,3019.05,3034.0,3029.8,239049.0,7246.05
2016-05-20,3040.0,3045.0,3022.0,3039.95,3033.8,227540.0,6896.72
2016-05-19,3049.5,3049.5,3015.0,3025.0,3025.6,362518.0,10962.35
2016-05-18,3015.5,3045.0,3000.0,3028.0,3025.3,251459.0,7599.79
2016-05-17,3012.95,3037.0,3009.1,3020.0,3017.75,307133.0,9274.82
2016-05-16,2926.8,3028.0,2926.8,2991.05,3002.4,726130.0,21826.48
2016-05-13,2899.9,2943.7,2884.7,2920.0,2917.2,675622.0,19738.26
2016-05-12,2871.0,2988.0,2844.05,2975.0,2971.45,1731193.0,50622.23
2016-05-11,2913.6,2913.6,2855.05,2868.0,2868.7,363176.0,10465.97
2016-05-10,2864.0,2962.0,2850.25,2927.9,2924.45,447419.0,13056.18
2016-05-09,2851.0,2869.85,2822.0,2840.0,2840.05,393782.0,11202.1
2016-05-06,2919.95,2919.95,2859.95,2861.95,2866.3,244112.0,7027.68
2016-05-05,2939.0,2952.0,2911.0,2935.0,2929.55,201887.0,5924.49
2016-05-04,2949.0,2959.0,2920.0,2940.25,2933.3,234042.0,6873.68
2016-05-03,3009.0,3028.0,2951.5,2952.0,2959.35,348671.0,10401.9
2016-05-02,3080.95,3080.95,3005.0,3009.5,3011.8,213113.0,6452.97
2016-04-29,3100.0,3108.0,3067.0,3086.0,3088.7,387595.0,11968.28
2016-04-28,3129.9,3144.0,3071.6,3071.95,3083.35,328312.0,10195.35
2016-04-27,3099.8,3135.0,3086.0,3130.0,3130.75,193289.0,6020.02
2016-04-26,3117.0,3134.85,3100.5,3120.0,3120.25,177384.0,5531.3
2016-04-25,3158.45,3168.9,3097.55,3110.0,3116.15,180448.0,5631.83
2016-04-22,3117.9,3160.0,3117.9,3131.05,3141.95,242973.0,7641.82
2016-04-21,3119.0,3139.9,3108.75,3131.75,3131.2,307712.0,9622.27
2016-04-20,3116.0,3130.0,3099.35,3103.1,3108.75,355057.0,11062.36
2016-04-18,3104.0,3109.0,3021.9,3080.0,3091.05,452004.0,13910.44
2016-04-13,3100.0,3122.7,3085.05,3104.0,3099.5,363972.0,11294.31
2016-04-12,3050.0,3098.0,3050.0,3083.0,3082.75,287065.0,8844.17
2016-04-11,3029.15,3035.0,2995.0,3021.65,3029.25,228551.0,6890.68
2016-04-08,3050.0,3089.45,3030.3,3031.0,3039.15,220953.0,6759.2
2016-04-07,3005.0,3075.0,3005.0,3021.1,3035.75,358564.0,10918.23
2016-04-06,3009.0,3040.0,2970.1,3001.0,3001.45,229608.0,6892.19
2016-04-05,3005.0,3040.0,2992.1,3002.0,2999.9,283750.0,8548.17
2016-04-04,3008.0,3044.3,2997.0,3010.25,3011.75,306428.0,9247.95
2016-04-01,3020.2,3026.15,2965.15,2978.3,2979.95,317123.0,9477.81
2016-03-31,3022.0,3063.0,3003.5,3045.0,3035.2,662246.0,20091.59
2016-03-30,2971.1,3026.3,2925.45,3022.0,3015.65,361113.0,10763.8
2016-03-29,3030.0,3030.0,2887.15,2938.0,2941.3,506798.0,14966.38
2016-03-28,3038.0,3074.55,3014.1,3047.55,3035.65,380473.0,11582.79
2016-03-23,3060.0,3078.75,3031.0,3041.0,3047.9,404981.0,12370.87
2016-03-22,3180.0,3199.9,3045.0,3050.05,3057.95,1035503.0,32049.55
2016-03-21,3157.0,3199.0,3126.55,3180.0,3182.25,324841.0,10260.91
2016-03-18,3108.0,3178.0,3086.4,3164.0,3171.3,380871.0,11936.73
2016-03-17,3164.4,3165.1,3105.35,3117.0,3125.5,296397.0,9297.88
2016-03-16,3111.0,3163.7,3066.25,3156.65,3154.3,291791.0,9081.59
2016-03-15,3233.0,3233.0,3109.0,3133.0,3133.35,214848.0,6818.63
2016-03-14,3210.0,3247.0,3182.2,3228.9,3233.65,337823.0,10895.99
2016-03-11,3180.0,3222.2,3178.0,3216.9,3210.85,308167.0,9876.94
2016-03-10,3235.5,3235.5,3160.0,3175.85,3184.25,254726.0,8118.44
2016-03-09,3221.0,3226.1,3174.4,3219.0,3219.95,350396.0,11201.09
2016-03-08,3260.0,3270.0,3188.0,3222.25,3219.55,300671.0,9701.16
2016-03-04,3213.95,3283.0,3200.0,3250.0,3252.75,592633.0,19249.92
2016-03-03,3062.0,3201.0,3062.0,3178.5,3188.15,890037.0,27947.53
2016-03-02,3049.9,3074.9,3006.0,3018.9,3015.25,368531.0,11199.26
2016-03-01,3040.0,3049.45,3000.0,3029.0,3024.55,319452.0,9662.85
2016-02-29,2980.6,3076.0,2978.05,3039.5,3036.25,501895.0,15236.44
2016-02-26,3020.0,3029.8,2956.2,3010.05,2994.05,243075.0,7267.54
2016-02-25,3010.9,3022.75,2985.0,3000.0,2994.45,559966.0,16784.95
2016-02-24,3074.7,3074.7,3000.0,3014.9,3013.2,397286.0,12051.2
2016-02-23,3120.0,3149.0,3066.0,3070.55,3080.9,346246.0,10753.85
2016-02-22,3070.0,3117.8,3067.4,3110.3,3108.0,287606.0,8918.63
2016-02-19,3105.0,3105.0,3045.7,3053.35,3058.8,385596.0,11825.24
2016-02-18,3050.0,3154.4,3020.0,3092.0,3103.6,1131720.0,35036.62
2016-02-17,2879.1,2989.0,2879.1,2978.9,2960.7,727660.0,21311.32
2016-02-16,2862.2,2923.5,2845.15,2866.0,2855.65,330903.0,9510.14
2016-02-15,2872.3,2896.9,2813.05,2861.15,2859.05,380782.0,10895.01
2016-02-12,2914.9,2934.15,2825.3,2844.0,2847.45,508339.0,14564.62
2016-02-11,2900.0,2977.55,2852.0,2888.0,2885.35,786110.0,22960.81
2016-02-10,2900.0,2937.65,2825.0,2895.5,2885.05,639905.0,18372.88
2016-02-09,3058.0,3115.0,2948.0,2952.0,2959.6,1121969.0,34018.72
2016-02-08,3099.0,3124.0,3032.0,3063.1,3070.35,340587.0,10469.23
2016-02-05,3014.1,3124.0,2993.4,3105.5,3109.1,440268.0,13486.02
2016-02-04,3049.0,3049.0,2970.0,3011.65,3008.65,338121.0,10167.35
2016-02-03,3037.9,3037.9,2997.3,3023.1,3008.3,341917.0,10295.36
2016-02-02,3060.0,3107.6,3041.0,3054.9,3048.5,409389.0,12587.21
2016-02-01,3085.0,3138.0,3041.25,3049.95,3050.5,565741.0,17483.96
2016-01-29,2997.95,3119.95,2971.0,3111.0,3105.4,869984.0,26676.47
2016-01-28,2973.6,3029.8,2965.0,2997.85,3011.2,610150.0,18373.47
2016-01-27,2918.0,2982.0,2900.0,2966.35,2973.0,427213.0,12582.05
2016-01-25,2910.0,2926.0,2880.4,2903.0,2903.25,188627.0,5479.78
2016-01-22,2784.0,2911.85,2779.05,2879.0,2882.35,384416.0,10968.01
2016-01-21,2894.0,2894.0,2750.05,2759.0,2757.1,623985.0,17429.63
2016-01-20,2893.0,2903.0,2857.9,2871.05,2870.1,395332.0,11380.85
2016-01-19,2897.9,2945.7,2841.65,2919.1,2915.5,245196.0,7103.49
