Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,201.9,202.8,199.5,199.8,200.9,730458.0,1471.83
2016-06-16,196.9,204.05,194.6,200.35,200.7,1590425.0,3168.91
2016-06-15,194.0,198.8,193.25,195.8,196.85,838125.0,1645.51
2016-06-14,191.7,195.85,191.0,193.65,194.15,481398.0,933.38
2016-06-13,191.0,193.3,189.15,190.75,191.4,336879.0,642.92
2016-06-10,193.0,195.9,192.0,192.55,192.65,477388.0,924.41
2016-06-09,194.65,198.95,190.5,193.0,193.0,742473.0,1447.36
2016-06-08,194.5,196.0,192.4,193.5,194.0,734488.0,1426.95
2016-06-07,190.75,196.2,187.15,193.6,193.25,1392463.0,2673.1
2016-06-06,192.9,192.9,188.8,189.45,189.65,324645.0,618.6
2016-06-03,195.45,196.65,191.5,191.75,192.2,1043997.0,2026.5
2016-06-02,183.5,196.7,181.05,195.1,195.25,2358190.0,4510.99
2016-06-01,182.0,184.9,180.4,183.95,183.2,485692.0,887.71
2016-05-31,181.15,181.45,177.15,179.6,179.35,6191713.0,11072.66
2016-05-30,180.3,184.9,178.4,181.2,181.7,564633.0,1025.62
2016-05-27,181.3,182.15,178.7,180.5,180.45,379565.0,684.17
2016-05-26,175.05,184.0,171.1,181.0,182.1,1776182.0,3177.47
2016-05-25,177.1,180.35,174.55,178.5,178.5,688354.0,1223.86
2016-05-24,176.4,178.6,174.35,176.2,176.7,391462.0,690.53
2016-05-23,178.05,180.0,175.15,176.1,176.25,294229.0,520.34
2016-05-20,180.6,183.0,177.0,177.05,177.6,289088.0,520.9
2016-05-19,182.6,185.95,179.0,179.6,180.75,449498.0,820.82
2016-05-18,183.5,183.5,180.6,181.95,182.05,281632.0,512.68
2016-05-17,177.1,184.45,177.0,183.3,182.7,564743.0,1025.46
2016-05-16,179.2,180.25,174.7,176.8,176.85,329327.0,584.32
2016-05-13,185.5,186.8,178.0,178.95,178.65,463157.0,841.69
2016-05-12,184.0,187.65,183.0,185.8,185.95,537102.0,998.25
2016-05-11,180.0,185.35,177.0,184.45,184.25,835085.0,1528.74
2016-05-10,174.9,182.1,174.15,181.95,181.55,567484.0,1016.5
2016-05-09,174.15,176.0,172.65,174.6,174.05,459356.0,801.97
2016-05-06,173.6,174.4,169.25,174.0,173.65,524711.0,904.07
2016-05-05,173.05,174.7,168.5,174.0,173.4,690088.0,1192.24
