Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,274.05,279.0,267.05,271.15,272.85,2055.0,5.62
2016-06-16,278.95,282.75,269.05,269.2,270.55,3493.0,9.53
2016-06-15,274.05,285.0,266.15,285.0,274.9,6844.0,18.74
2016-06-14,273.95,276.8,270.55,274.0,272.95,5361.0,14.6
2016-06-13,276.4,278.0,271.0,274.0,273.95,8730.0,23.81
2016-06-10,283.0,284.7,275.0,278.0,278.7,10820.0,30.21
2016-06-09,287.0,287.0,281.2,282.25,282.4,7545.0,21.34
2016-06-08,283.45,288.05,280.0,285.0,284.2,18739.0,53.24
2016-06-07,287.95,290.0,280.1,283.1,283.8,7217.0,20.49
2016-06-06,286.0,295.0,276.1,288.0,284.95,11972.0,34.02
2016-06-03,278.1,284.9,276.05,277.1,278.0,3640.0,10.14
2016-06-02,277.95,281.0,277.5,279.9,279.9,8414.0,23.54
2016-06-01,278.2,281.05,277.3,278.0,278.45,3842.0,10.71
2016-05-31,283.5,284.95,278.15,278.3,279.45,4694.0,13.14
2016-05-30,288.05,294.2,278.6,279.85,279.9,9574.0,26.88
2016-05-27,281.0,283.5,278.1,279.5,280.15,7451.0,20.88
2016-05-26,282.0,284.4,276.35,281.8,279.15,2836.0,7.93
2016-05-25,280.05,292.0,276.0,280.0,279.9,15828.0,44.95
2016-05-24,286.05,286.5,275.3,281.0,277.3,2969.0,8.31
2016-05-23,280.05,286.05,280.0,281.9,281.9,4796.0,13.53
2016-05-20,284.0,284.0,276.15,280.0,280.2,4076.0,11.41
2016-05-19,282.85,287.8,279.65,280.0,281.5,3822.0,10.77
2016-05-18,284.1,285.5,277.6,282.0,282.0,3694.0,10.39
2016-05-17,276.6,285.0,276.05,280.7,282.15,11519.0,32.27
2016-05-16,273.55,276.75,272.95,276.7,275.7,24422.0,66.94
2016-05-13,275.0,277.0,273.5,273.5,273.6,18896.0,51.73
2016-05-12,278.45,279.0,273.0,273.0,273.25,1956.0,5.38
2016-05-11,273.05,276.85,272.95,274.0,273.5,11912.0,32.58
2016-05-10,273.35,279.0,273.3,274.0,274.0,13564.0,37.19
2016-05-09,273.5,275.0,271.25,273.95,273.3,4487.0,12.25
2016-05-06,274.05,275.0,271.1,271.1,271.7,4268.0,11.68
2016-05-05,275.25,275.35,273.3,273.5,273.55,3468.0,9.5
2016-05-04,276.05,276.05,273.0,274.8,274.05,8205.0,22.42
2016-05-03,270.0,277.7,270.0,275.0,273.35,5963.0,16.33
2016-05-02,274.2,274.2,270.0,274.0,273.0,68912.0,187.53
2016-04-29,270.9,274.0,270.25,270.25,271.6,47967.0,130.28
2016-04-28,272.55,273.85,269.05,271.0,270.95,34610.0,93.77
2016-04-27,275.05,276.0,270.25,271.0,270.6,7757.0,21.04
2016-04-26,274.55,276.0,270.5,275.0,274.5,8388.0,23.0
2016-04-25,277.95,277.95,271.15,275.95,275.0,9891.0,27.09
2016-04-22,270.0,278.2,270.0,274.1,274.7,7105.0,19.51
2016-04-21,271.6,275.9,268.5,275.0,274.75,17875.0,49.0
2016-04-20,264.2,280.0,264.2,276.0,275.05,53879.0,147.57
2016-04-18,270.0,270.0,263.55,265.35,265.55,8070.0,21.45
2016-04-13,263.05,269.0,263.05,265.15,267.25,12188.0,32.54
2016-04-12,267.0,271.95,260.0,262.5,262.1,33515.0,88.34
2016-04-11,268.0,273.0,265.5,268.5,268.85,32564.0,87.7
2016-04-08,261.3,269.6,258.0,267.75,266.7,19215.0,51.03
2016-04-07,264.0,271.75,256.75,263.0,261.3,18236.0,47.91
2016-04-06,255.05,274.0,255.0,271.0,269.9,140256.0,377.62
2016-04-05,258.0,268.45,252.0,255.0,255.4,65685.0,170.85
2016-04-04,221.6,264.7,217.05,259.5,258.65,235341.0,591.3
2016-04-01,217.85,227.9,217.1,224.5,223.4,32347.0,71.88
2016-03-31,228.0,228.0,216.0,216.1,216.7,27090.0,59.78
2016-03-30,228.65,229.0,220.0,223.95,224.15,63493.0,141.95
2016-03-29,211.7,233.85,211.7,223.9,228.65,436410.0,985.99
2016-03-28,198.0,206.0,198.0,202.0,201.0,38034.0,76.66
