Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,385.5,388.1,383.5,387.0,387.25,2306705.0,8911.54
2016-06-16,376.5,383.6,375.05,382.2,382.35,2377578.0,9069.11
2016-06-15,375.15,379.5,373.65,378.0,377.25,1433992.0,5388.35
2016-06-14,376.0,378.0,370.85,372.35,373.1,1515889.0,5678.33
2016-06-13,365.45,376.2,364.05,371.0,371.45,1541799.0,5716.01
2016-06-10,376.45,380.6,366.8,367.5,368.95,1420507.0,5320.51
2016-06-09,374.95,379.45,372.95,375.45,375.95,1301086.0,4896.76
2016-06-08,374.45,378.8,371.15,374.15,374.7,724693.0,2720.08
2016-06-07,375.35,377.55,372.4,373.75,374.45,1216901.0,4567.95
2016-06-06,368.25,377.7,368.25,373.25,374.45,1682809.0,6312.27
2016-06-03,374.95,377.7,368.8,370.6,370.25,1714813.0,6376.8
2016-06-02,369.5,377.35,366.15,376.4,375.7,999792.0,3727.01
2016-06-01,370.45,375.0,368.6,372.0,372.5,1082885.0,4026.95
2016-05-31,380.05,380.5,367.45,372.25,370.45,8064911.0,29877.82
2016-05-30,382.45,384.8,377.1,378.65,379.85,2122343.0,8066.03
2016-05-27,381.7,385.95,377.8,378.65,379.3,1299281.0,4980.54
2016-05-26,385.4,389.85,378.3,380.35,380.2,2974437.0,11388.35
2016-05-25,373.0,384.0,373.0,380.15,381.55,1722833.0,6517.63
2016-05-24,370.75,376.0,365.7,370.0,370.9,1392293.0,5151.43
2016-05-23,374.65,380.0,368.0,370.45,370.75,804519.0,2996.74
2016-05-20,374.0,377.1,370.0,372.8,371.55,777215.0,2903.21
2016-05-19,381.9,382.3,370.0,372.0,372.4,1089173.0,4101.19
2016-05-18,382.0,388.0,378.0,382.55,382.35,1008515.0,3857.04
2016-05-17,380.0,387.0,377.9,384.0,383.9,1270894.0,4885.63
2016-05-16,380.1,382.4,371.1,377.25,377.35,820853.0,3094.27
2016-05-13,386.0,387.3,375.3,379.05,379.6,1011529.0,3845.11
2016-05-12,385.0,394.6,385.0,389.0,387.85,842712.0,3285.53
2016-05-11,387.9,390.0,383.25,387.05,387.0,1070124.0,4139.64
2016-05-10,387.0,394.4,380.4,391.1,391.5,1261675.0,4900.57
2016-05-09,386.95,389.4,384.6,385.55,385.95,1845461.0,7148.39
2016-05-06,363.75,386.9,362.25,383.6,383.85,3299433.0,12486.1
2016-05-05,365.95,370.0,363.0,364.3,365.75,803806.0,2943.46
2016-05-04,363.0,371.6,361.45,365.3,365.95,1253684.0,4599.82
2016-05-03,368.0,369.9,362.0,364.0,364.3,1266214.0,4631.28
2016-05-02,360.0,369.7,356.55,367.9,367.6,1051980.0,3828.93
2016-04-29,363.2,366.5,355.45,358.5,360.35,715106.0,2576.92
