Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,619.0,625.0,610.7,620.0,616.8,22964.0,141.75
2016-06-16,620.0,633.15,611.2,613.0,615.55,40236.0,250.09
2016-06-15,633.6,640.8,620.25,626.0,625.9,27685.0,174.44
2016-06-14,629.0,648.9,624.1,630.0,629.1,67749.0,430.67
2016-06-13,630.0,641.75,620.25,625.0,626.15,40314.0,253.59
2016-06-10,646.65,651.0,631.0,636.0,636.2,32369.0,207.06
2016-06-09,648.0,659.9,638.25,640.25,641.95,42650.0,276.56
2016-06-08,652.1,673.9,644.05,653.0,650.8,93927.0,621.77
2016-06-07,626.6,681.9,626.6,650.0,651.1,238034.0,1578.29
2016-06-06,650.0,657.3,603.0,629.0,621.8,53592.0,334.47
2016-06-03,667.8,685.2,644.0,651.9,649.45,84524.0,556.81
2016-06-02,698.5,698.5,658.7,662.1,663.2,151557.0,1016.76
2016-06-01,626.0,726.0,625.0,694.0,702.5,601602.0,4104.63
2016-05-31,618.0,620.0,597.0,619.0,610.95,29691.0,180.1
2016-05-30,609.0,631.45,595.0,615.5,614.4,77005.0,478.08
2016-05-27,719.0,727.3,705.0,711.0,710.6,50885.0,364.7
2016-05-26,714.0,720.0,705.0,709.85,709.7,19706.0,140.24
2016-05-25,710.0,719.0,704.4,708.45,708.5,16816.0,119.36
2016-05-24,720.0,724.9,697.25,704.9,701.3,20695.0,146.57
2016-05-23,709.0,750.0,702.2,720.0,714.45,89327.0,646.08
2016-05-20,706.0,724.0,691.0,705.4,701.75,48005.0,339.7
2016-05-19,705.0,710.9,691.1,697.7,696.7,28072.0,196.87
2016-05-18,701.0,711.85,692.5,699.0,698.75,17959.0,125.83
2016-05-17,700.0,722.2,680.1,701.5,702.35,39035.0,275.73
2016-05-16,709.95,710.0,690.0,694.0,692.05,20853.0,145.54
2016-05-13,718.9,722.0,700.35,705.0,704.1,22030.0,156.14
2016-05-12,735.0,735.05,711.0,711.0,713.8,28550.0,206.11
2016-05-11,739.7,748.0,725.5,728.15,730.75,38763.0,285.25
2016-05-10,718.0,751.75,706.4,749.0,745.5,122738.0,908.11
2016-05-09,724.6,732.0,708.0,714.95,714.75,33017.0,238.53
2016-05-06,700.3,734.9,686.0,715.0,717.55,80633.0,576.06
2016-05-05,717.85,725.0,696.3,702.0,700.4,30679.0,217.26
2016-05-04,720.05,734.0,710.0,711.5,714.0,24207.0,174.85
2016-05-03,741.3,754.0,725.0,726.0,728.4,46544.0,344.24
2016-05-02,745.4,762.9,726.0,739.0,737.6,44945.0,335.18
