Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,4302.0,4350.0,4302.0,4310.1,4326.4,82973.0,3582.26
2016-06-16,4319.0,4319.0,4270.05,4292.2,4289.45,26624.0,1142.18
2016-06-15,4287.25,4325.0,4282.85,4310.0,4315.6,29119.0,1254.86
2016-06-14,4313.0,4313.0,4255.2,4298.7,4271.7,51825.0,2212.84
2016-06-13,4305.0,4333.7,4280.75,4302.3,4311.9,111465.0,4813.94
2016-06-10,4298.8,4345.45,4251.9,4327.95,4311.2,35560.0,1534.82
2016-06-09,4336.0,4357.0,4285.0,4303.0,4304.75,25109.0,1086.65
2016-06-08,4340.0,4359.0,4308.9,4335.35,4332.1,36657.0,1589.88
2016-06-07,4326.2,4382.3,4315.15,4320.0,4326.95,117643.0,5119.32
2016-06-06,4301.25,4344.0,4301.25,4314.0,4318.65,19450.0,841.48
2016-06-03,4341.0,4369.65,4310.15,4315.0,4318.75,19141.0,829.06
2016-06-02,4355.0,4357.65,4325.0,4349.95,4341.4,65333.0,2829.87
2016-06-01,4357.1,4390.0,4332.05,4357.0,4356.0,46639.0,2035.73
2016-05-31,4330.0,4380.0,4315.75,4346.7,4356.95,89581.0,3898.27
2016-05-30,4372.25,4404.35,4341.0,4341.0,4351.75,37665.0,1642.43
2016-05-27,4335.0,4385.0,4330.1,4360.0,4361.25,51052.0,2227.71
2016-05-26,4343.45,4360.0,4295.0,4331.1,4331.0,61538.0,2660.11
2016-05-25,4316.0,4354.95,4294.0,4320.0,4343.45,68797.0,2980.77
2016-05-24,4211.0,4318.9,4192.9,4311.0,4290.35,28345.0,1206.83
2016-05-23,4224.8,4259.0,4191.3,4206.15,4211.15,27189.0,1147.28
2016-05-20,4245.0,4250.0,4200.0,4205.0,4206.75,22667.0,957.58
2016-05-19,4266.0,4278.05,4215.15,4235.0,4252.25,53030.0,2254.51
2016-05-18,4275.0,4275.0,4249.7,4259.9,4265.65,22504.0,959.38
2016-05-17,4270.2,4310.0,4256.0,4281.15,4282.45,42080.0,1805.13
2016-05-16,4259.7,4275.0,4222.1,4266.3,4267.55,27513.0,1170.43
2016-05-13,4249.7,4262.9,4163.0,4250.0,4251.75,58232.0,2455.43
2016-05-12,4270.0,4285.0,4220.2,4258.0,4258.9,42666.0,1813.97
2016-05-11,4218.05,4299.95,4188.5,4260.0,4264.5,154650.0,6595.62
2016-05-10,4134.15,4280.0,4100.0,4278.3,4215.8,76805.0,3193.24
2016-05-09,4135.0,4167.8,4085.1,4133.0,4134.15,113669.0,4693.74
2016-05-06,4104.9,4129.95,4081.35,4110.0,4112.05,33170.0,1362.39
2016-05-05,4164.0,4164.0,4095.9,4108.0,4115.25,29511.0,1215.78
2016-05-04,4138.0,4157.9,4098.15,4135.0,4144.2,53036.0,2194.81
2016-05-03,4091.0,4178.9,4065.0,4130.0,4142.45,104297.0,4323.54
2016-05-02,4075.0,4100.0,4050.0,4078.05,4070.75,16180.0,658.52
2016-04-29,4121.95,4132.0,4054.5,4084.65,4086.75,27328.0,1118.74
2016-04-28,4120.0,4135.0,4085.0,4125.0,4117.7,74105.0,3044.23
2016-04-27,4087.0,4147.0,4070.0,4130.0,4131.4,79226.0,3268.48
2016-04-26,4030.0,4110.0,4020.0,4091.0,4087.3,63899.0,2599.48
2016-04-25,4016.0,4055.0,3990.0,4034.55,4038.7,45371.0,1828.52
2016-04-22,3983.0,4046.7,3967.65,4010.25,4013.0,61090.0,2449.36
2016-04-21,4102.1,4122.2,3988.0,3998.7,4002.5,49018.0,1987.17
2016-04-20,4095.0,4139.0,4058.75,4090.0,4093.05,67576.0,2772.17
2016-04-18,4074.0,4110.0,4013.05,4090.0,4090.65,95890.0,3897.76
2016-04-13,4045.0,4119.2,4032.85,4078.0,4073.55,66709.0,2725.81
2016-04-12,4001.0,4050.9,3980.7,4044.8,4041.95,88368.0,3549.71
2016-04-11,3992.8,4028.5,3914.4,4010.0,4006.95,99377.0,3940.43
2016-04-08,3901.5,3992.0,3875.0,3982.05,3982.55,117147.0,4641.21
2016-04-07,3934.95,3934.95,3900.0,3912.65,3909.9,74116.0,2898.83
2016-04-06,3844.55,3920.0,3830.05,3916.0,3912.6,117733.0,4601.29
2016-04-05,3868.9,3886.75,3822.95,3826.0,3835.35,63828.0,2457.61
2016-04-04,3887.0,3890.0,3852.0,3858.35,3878.2,56585.0,2195.84
