Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1215.0,1235.9,1210.35,1223.0,1227.3,2684017.0,32847.74
2016-06-16,1198.0,1205.8,1182.15,1200.7,1200.95,1840887.0,21992.3
2016-06-15,1206.2,1209.4,1189.25,1205.0,1205.15,2921199.0,35012.07
2016-06-14,1208.3,1209.4,1189.0,1199.8,1198.2,2396987.0,28633.69
2016-06-13,1218.05,1225.0,1201.2,1208.1,1205.35,4888040.0,59104.81
2016-06-10,1233.0,1251.7,1228.0,1231.0,1230.4,2144364.0,26479.62
2016-06-09,1257.0,1258.0,1233.35,1240.0,1237.5,2153365.0,26738.25
2016-06-08,1252.2,1267.0,1247.6,1255.0,1262.5,2594901.0,32745.82
2016-06-07,1256.5,1260.0,1242.8,1250.0,1251.3,2976354.0,37220.33
2016-06-06,1261.0,1264.95,1247.7,1256.0,1251.65,1879964.0,23559.89
2016-06-03,1266.0,1268.8,1246.0,1256.25,1254.9,1801598.0,22614.91
2016-06-02,1236.05,1263.5,1232.55,1258.45,1260.55,1671551.0,20815.36
2016-06-01,1242.15,1248.35,1230.0,1242.65,1243.25,2279936.0,28283.88
2016-05-31,1235.05,1247.8,1222.35,1242.15,1237.7,5155776.0,63692.96
2016-05-30,1255.2,1259.0,1212.35,1235.0,1233.95,2889133.0,35598.2
2016-05-27,1230.0,1268.4,1218.35,1250.0,1255.55,3246784.0,40429.43
2016-05-26,1210.4,1235.0,1191.7,1229.25,1228.25,2940863.0,35772.26
2016-05-25,1186.0,1212.45,1182.2,1208.0,1207.05,2675175.0,32194.78
2016-05-24,1163.9,1177.9,1159.15,1175.0,1172.75,1650889.0,19274.62
2016-05-23,1184.0,1187.25,1158.4,1162.15,1160.25,1882187.0,21956.97
2016-05-20,1178.1,1193.8,1172.15,1180.0,1179.55,3001619.0,35589.51
2016-05-19,1208.5,1208.55,1173.3,1175.0,1175.85,2454891.0,29073.62
2016-05-18,1205.25,1214.3,1196.4,1208.0,1208.2,4337073.0,52302.61
2016-05-17,1197.5,1230.0,1191.25,1215.0,1217.85,3760375.0,45777.24
2016-05-16,1164.4,1191.0,1160.5,1186.65,1186.45,2309079.0,27055.43
2016-05-13,1192.0,1203.1,1158.65,1165.2,1166.0,2819653.0,33051.8
2016-05-12,1204.0,1212.45,1190.0,1196.1,1195.85,1850802.0,22208.77
2016-05-11,1207.5,1221.5,1200.2,1204.0,1203.8,3080420.0,37276.89
2016-05-10,1202.2,1220.45,1197.0,1215.05,1218.55,2687851.0,32561.98
2016-05-09,1168.1,1207.0,1168.1,1206.15,1203.6,2462695.0,29437.43
2016-05-06,1161.0,1173.95,1149.1,1167.3,1167.8,2591447.0,30121.84
2016-05-05,1137.0,1176.2,1135.0,1163.2,1162.65,4663686.0,54184.95
2016-05-04,1099.0,1138.0,1098.0,1130.5,1129.9,4419894.0,49849.53
2016-05-03,1097.0,1116.55,1095.05,1101.9,1099.6,3372825.0,37261.03
2016-05-02,1091.45,1097.0,1078.55,1093.1,1091.9,2394549.0,26071.35
2016-04-29,1084.8,1102.25,1074.2,1090.0,1088.45,4202421.0,45677.09
2016-04-28,1121.0,1126.4,1082.05,1086.55,1085.55,5791623.0,63486.95
2016-04-27,1122.4,1128.5,1113.1,1121.5,1121.5,1866265.0,20894.2
2016-04-26,1104.0,1131.85,1103.05,1129.5,1127.3,2511483.0,28076.63
2016-04-25,1120.0,1127.5,1106.3,1114.0,1112.0,1859499.0,20724.15
2016-04-22,1141.0,1152.05,1121.95,1130.0,1131.9,2628319.0,29772.51
2016-04-21,1145.0,1157.45,1140.2,1149.1,1150.1,6522775.0,75109.93
2016-04-20,1148.7,1158.65,1135.0,1143.0,1140.0,4669646.0,53432.29
2016-04-18,1130.0,1139.4,1093.45,1135.0,1132.4,3916572.0,43913.75
2016-04-13,1098.1,1117.45,1093.65,1115.0,1114.95,3361554.0,37329.23
2016-04-12,1085.0,1091.95,1076.05,1088.6,1090.5,1864121.0,20251.66
2016-04-11,1083.95,1084.7,1060.15,1079.75,1079.8,3737043.0,40122.54
2016-04-08,1071.8,1082.85,1068.15,1077.05,1079.55,1944688.0,20926.26
2016-04-07,1100.0,1100.0,1065.5,1073.0,1070.85,4883634.0,52456.2
2016-04-06,1112.35,1112.35,1091.2,1103.1,1102.05,2913779.0,32039.14
2016-04-05,1102.0,1111.0,1085.5,1098.15,1103.45,4368286.0,48163.86
2016-04-04,1122.5,1124.25,1095.6,1099.5,1103.7,3275522.0,36194.6
2016-04-01,1100.0,1117.8,1092.25,1115.2,1113.4,3894156.0,42952.93
2016-03-31,1111.0,1118.95,1098.0,1107.0,1105.6,9556036.0,105682.19
2016-03-30,1128.25,1131.35,1110.15,1115.5,1115.3,4842266.0,54011.48
2016-03-29,1135.25,1142.0,1120.65,1123.95,1125.75,3752026.0,42424.12
2016-03-28,1154.5,1170.25,1137.3,1143.2,1143.35,3943656.0,45209.77
2016-03-23,1162.1,1167.7,1143.65,1160.0,1162.75,2117350.0,24440.7
2016-03-22,1142.05,1174.0,1136.0,1167.95,1168.1,3440836.0,39571.09
2016-03-21,1130.0,1155.85,1128.05,1150.5,1151.25,3940026.0,45009.04
2016-03-18,1111.4,1133.0,1104.0,1130.25,1129.3,4859516.0,54379.71
2016-03-17,1135.55,1152.0,1104.0,1107.05,1108.05,4138764.0,46453.32
2016-03-16,1101.1,1128.7,1095.5,1128.0,1125.95,3068113.0,34003.66
2016-03-15,1144.0,1148.7,1109.4,1113.15,1111.35,3897662.0,43711.34
2016-03-14,1168.0,1175.0,1146.75,1160.0,1158.7,1239365.0,14384.89
2016-03-11,1159.0,1167.0,1146.5,1161.9,1160.5,2950536.0,34107.0
2016-03-10,1134.8,1157.0,1123.95,1157.0,1153.15,4555206.0,51810.42
2016-03-09,1144.0,1145.0,1106.0,1129.65,1128.65,3962894.0,44469.28
2016-03-08,1120.0,1150.8,1119.0,1149.9,1146.45,3121092.0,35619.69
2016-03-04,1128.0,1134.9,1105.0,1127.85,1129.0,1624796.0,18187.26
2016-03-03,1114.7,1135.8,1107.05,1122.4,1124.15,2754190.0,30857.89
2016-03-02,1081.95,1107.0,1077.0,1103.0,1099.55,4070235.0,44722.35
2016-03-01,1072.0,1073.5,1046.8,1072.4,1069.45,5690459.0,60338.74
2016-02-29,1056.0,1078.5,1022.05,1064.75,1060.3,5507689.0,58283.63
2016-02-26,1056.7,1059.0,1048.35,1054.0,1053.7,4862409.0,51229.1
2016-02-25,1022.0,1049.5,1011.45,1042.0,1042.65,6122303.0,63323.8
2016-02-24,1050.8,1050.8,1018.55,1023.05,1022.1,4731925.0,48833.65
2016-02-23,1062.0,1062.0,1040.0,1048.7,1051.1,3253934.0,34165.18
2016-02-22,1051.0,1063.75,1047.85,1058.8,1058.4,3374621.0,35747.2
2016-02-19,1065.0,1065.4,1046.2,1059.65,1060.85,2939450.0,31044.88
2016-02-18,1086.85,1086.85,1062.7,1065.75,1069.1,3891721.0,41648.5
2016-02-17,1078.0,1085.4,1060.15,1079.85,1076.3,2237100.0,24036.29
2016-02-16,1084.5,1090.45,1063.9,1079.0,1077.15,3312107.0,35574.78
2016-02-15,1093.4,1102.0,1076.0,1082.0,1080.45,4217676.0,45890.54
2016-02-12,1079.0,1097.1,1067.2,1083.65,1083.75,3490711.0,37863.01
2016-02-11,1110.3,1115.1,1058.05,1070.0,1066.65,3006630.0,32828.04
2016-02-10,1155.0,1156.75,1110.5,1118.8,1116.55,2964666.0,33458.92
2016-02-09,1151.1,1168.65,1140.3,1158.0,1159.9,1662393.0,19137.97
2016-02-08,1185.2,1186.0,1158.05,1160.0,1164.1,1497068.0,17545.17
2016-02-05,1169.0,1186.1,1169.0,1183.6,1182.95,1168106.0,13808.51
2016-02-04,1165.25,1177.0,1163.3,1168.0,1168.35,1622222.0,18996.25
2016-02-03,1174.4,1180.85,1158.4,1161.8,1160.95,2896768.0,33827.22
2016-02-02,1177.6,1192.85,1166.5,1180.6,1179.8,2338231.0,27633.59
2016-02-01,1182.4,1193.95,1170.6,1178.15,1180.05,2136935.0,25273.39
2016-01-29,1147.75,1187.75,1145.05,1177.0,1180.0,3136336.0,36872.45
2016-01-28,1150.0,1159.65,1138.0,1151.5,1147.75,4077193.0,46886.53
2016-01-27,1176.4,1188.45,1162.0,1162.5,1169.95,2496568.0,29358.18
2016-01-25,1165.0,1183.4,1155.0,1175.0,1174.6,2457396.0,28891.13
2016-01-22,1140.0,1163.2,1135.2,1159.0,1158.45,2741456.0,31647.13
2016-01-21,1147.05,1147.7,1121.15,1132.0,1131.1,5451792.0,61679.28
2016-01-20,1140.25,1198.1,1129.15,1138.0,1136.65,2585069.0,29370.93
2016-01-19,1132.9,1157.15,1130.9,1151.0,1153.0,1418630.0,16267.95
2016-01-18,1140.0,1157.7,1125.1,1127.95,1131.8,2262744.0,25776.91
2016-01-15,1160.7,1167.3,1143.15,1148.0,1149.8,1890878.0,21844.87
2016-01-14,1154.9,1167.0,1147.15,1162.0,1159.3,3250397.0,37661.94
2016-01-13,1157.0,1173.65,1145.35,1166.0,1167.65,1830178.0,21182.48
2016-01-12,1169.4,1169.4,1146.05,1149.0,1151.85,1942208.0,22392.46
2016-01-11,1165.0,1171.0,1150.1,1162.35,1161.55,2288312.0,26505.97
2016-01-08,1189.85,1230.0,1169.0,1176.45,1174.4,2467149.0,29004.23
2016-01-07,1198.85,1203.55,1175.0,1176.35,1179.45,1780298.0,21120.55
2016-01-06,1209.6,1220.75,1202.4,1207.55,1209.3,2746330.0,33252.86
2016-01-05,1229.9,1233.45,1206.5,1208.15,1209.4,2325929.0,28364.64
2016-01-04,1250.0,1253.9,1212.05,1217.15,1216.7,1995329.0,24493.71
2016-01-01,1261.0,1266.9,1250.65,1257.8,1258.45,676161.0,8508.75
2015-12-31,1233.9,1274.7,1233.9,1263.5,1263.75,3215917.0,40437.06
2015-12-30,1240.0,1244.9,1230.65,1231.55,1233.7,1443470.0,17860.91
2015-12-29,1226.55,1239.9,1225.6,1235.7,1234.3,1716336.0,21151.9
2015-12-28,1229.55,1239.0,1220.2,1228.8,1227.65,1658317.0,20350.7
2015-12-24,1243.0,1245.0,1225.4,1229.5,1229.55,391634.0,4821.98
2015-12-23,1233.0,1242.0,1231.5,1236.05,1239.2,1327248.0,16443.45
2015-12-22,1233.7,1237.0,1221.5,1228.0,1228.25,1549227.0,19056.93
