Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1167.0,1178.0,1165.55,1171.1,1170.0,940413.0,11026.24
2016-06-16,1166.55,1168.85,1155.35,1160.75,1162.15,1181942.0,13743.67
2016-06-15,1155.0,1170.9,1153.2,1168.0,1169.55,761456.0,8851.03
2016-06-14,1155.0,1157.0,1144.25,1152.65,1151.85,957192.0,10993.46
2016-06-13,1154.75,1164.95,1151.05,1153.85,1152.9,830809.0,9604.93
2016-06-10,1158.4,1172.7,1156.2,1160.55,1161.35,1580578.0,18407.75
2016-06-09,1162.5,1164.2,1152.5,1158.8,1159.4,1162046.0,13451.59
2016-06-08,1175.8,1178.0,1161.0,1161.3,1162.6,1185703.0,13810.58
2016-06-07,1176.95,1180.0,1167.65,1174.5,1173.7,1407126.0,16524.39
2016-06-06,1176.0,1182.4,1170.05,1171.0,1171.1,1386827.0,16297.96
2016-06-03,1180.1,1185.0,1169.05,1172.0,1171.75,1131105.0,13289.78
2016-06-02,1174.7,1180.6,1171.0,1173.65,1174.95,1977654.0,23234.42
2016-06-01,1182.95,1182.95,1171.0,1176.0,1175.15,1418908.0,16668.71
2016-05-31,1185.9,1185.9,1177.4,1180.0,1181.9,1378910.0,16280.77
2016-05-30,1187.0,1195.0,1178.1,1179.0,1179.75,953633.0,11289.0
2016-05-27,1183.25,1190.0,1176.7,1181.35,1186.8,1443796.0,17116.93
2016-05-26,1176.1,1188.9,1166.25,1182.85,1183.25,3426390.0,40398.0
2016-05-25,1146.3,1175.95,1146.3,1172.9,1173.3,1441837.0,16777.46
2016-05-24,1138.4,1143.65,1135.55,1143.0,1139.95,814867.0,9283.28
2016-05-23,1141.95,1149.95,1133.2,1134.9,1136.75,865883.0,9878.68
2016-05-20,1139.95,1148.5,1133.6,1137.95,1140.9,504158.0,5758.49
2016-05-19,1140.1,1142.7,1132.0,1137.05,1139.3,963949.0,10964.26
2016-05-18,1151.0,1151.0,1131.5,1141.2,1140.65,1040661.0,11836.37
2016-05-17,1165.05,1169.25,1151.3,1153.05,1153.45,1073856.0,12456.66
2016-05-16,1145.0,1165.9,1132.55,1160.0,1162.8,1129692.0,13014.41
2016-05-13,1148.0,1148.0,1130.0,1140.0,1140.9,1261329.0,14373.26
2016-05-12,1144.0,1152.0,1132.5,1151.7,1149.1,1055422.0,12073.63
2016-05-11,1134.7,1145.0,1129.7,1138.3,1138.8,1536843.0,17470.82
2016-05-10,1143.5,1147.5,1136.1,1145.0,1144.9,1363250.0,15559.55
2016-05-09,1120.0,1144.95,1119.0,1141.5,1141.4,1738295.0,19822.23
2016-05-06,1132.0,1132.25,1117.25,1121.3,1119.65,683288.0,7663.9
2016-05-05,1128.0,1134.75,1122.7,1133.4,1132.3,1303562.0,14729.77
2016-05-04,1117.5,1134.5,1114.25,1126.0,1127.35,1323082.0,14925.7
2016-05-03,1121.9,1135.0,1113.15,1121.35,1118.0,1173824.0,13211.44
2016-05-02,1127.75,1130.0,1116.0,1116.8,1117.65,965679.0,10850.51
2016-04-29,1113.8,1136.0,1106.2,1126.7,1132.35,1402985.0,15744.51
2016-04-28,1124.2,1136.7,1110.35,1112.55,1113.95,2022396.0,22723.66
2016-04-27,1109.85,1125.0,1109.0,1124.15,1124.2,1440909.0,16159.46
2016-04-26,1095.0,1115.0,1092.5,1113.5,1113.85,1763449.0,19543.76
2016-04-25,1100.0,1100.0,1084.5,1094.15,1093.25,1390490.0,15167.24
2016-04-22,1089.5,1100.85,1085.2,1094.3,1092.15,1952330.0,21344.65
2016-04-21,1095.0,1105.15,1089.0,1091.0,1091.15,2047932.0,22493.15
2016-04-20,1091.9,1100.0,1083.55,1099.75,1097.85,955338.0,10450.41
2016-04-18,1083.5,1092.0,1071.6,1087.15,1087.8,1029267.0,11183.08
2016-04-13,1072.0,1084.95,1069.5,1080.0,1081.75,1243651.0,13416.42
2016-04-12,1069.6,1071.0,1059.25,1063.7,1063.0,1235370.0,13138.48
2016-04-11,1060.3,1074.1,1042.85,1068.0,1070.95,1012405.0,10681.56
2016-04-08,1055.0,1063.35,1054.25,1060.0,1059.35,740699.0,7837.68
2016-04-07,1064.0,1064.75,1047.05,1056.0,1055.5,977923.0,10329.91
2016-04-06,1061.0,1066.95,1056.75,1063.1,1061.5,1073844.0,11414.12
2016-04-05,1069.0,1076.9,1055.65,1056.3,1057.45,1665757.0,17726.24
2016-04-04,1065.2,1072.8,1064.0,1068.25,1069.05,1544990.0,16503.46
2016-04-01,1068.8,1076.4,1056.8,1065.05,1064.45,1289662.0,13707.67
2016-03-31,1066.85,1078.9,1065.05,1071.8,1071.15,5020098.0,53863.59
2016-03-30,1058.0,1069.9,1053.9,1066.3,1064.95,1953595.0,20770.49
2016-03-29,1047.5,1059.5,1044.25,1053.0,1053.8,1683488.0,17759.89
2016-03-28,1045.0,1053.0,1041.65,1052.3,1047.5,2817717.0,29547.08
2016-03-23,1053.05,1053.05,1040.55,1049.0,1049.35,2116075.0,22135.4
2016-03-22,1046.5,1056.6,1040.7,1054.0,1053.85,1030066.0,10800.72
2016-03-21,1033.0,1047.35,1032.25,1044.8,1045.6,1329699.0,13828.76
2016-03-18,1022.95,1032.0,1015.35,1028.85,1028.4,1033767.0,10619.65
2016-03-17,1034.95,1039.0,1011.15,1016.75,1018.4,1278371.0,13154.83
2016-03-16,1027.0,1034.25,1018.95,1029.6,1030.45,1200887.0,12306.95
2016-03-15,1027.9,1033.4,1021.65,1026.5,1026.7,1922509.0,19717.38
2016-03-14,1028.0,1037.95,1025.25,1029.8,1027.55,752164.0,7749.96
2016-03-11,1019.9,1030.8,1013.0,1029.75,1028.7,1182714.0,12123.09
2016-03-10,1024.8,1025.75,1010.1,1021.2,1021.25,667848.0,6808.76
2016-03-09,1013.0,1029.9,1006.75,1024.8,1024.8,1632043.0,16614.0
2016-03-08,1024.0,1024.0,1009.5,1015.0,1014.15,478422.0,4858.31
2016-03-04,1015.45,1024.9,993.1,1024.9,1020.55,1426156.0,14405.47
2016-03-03,1010.75,1020.0,1010.0,1014.15,1015.85,1152600.0,11696.11
2016-03-02,998.0,1010.9,995.0,1010.0,1007.2,1589744.0,15968.74
2016-03-01,974.95,986.75,971.85,985.0,984.15,1080640.0,10595.09
2016-02-29,961.1,982.6,928.0,975.15,971.85,2203188.0,21295.98
2016-02-26,950.0,971.0,945.0,963.95,961.0,1552347.0,14915.86
2016-02-25,954.0,957.25,938.2,941.0,942.65,2115799.0,20062.32
2016-02-24,960.0,962.9,946.4,950.0,949.6,1615867.0,15404.85
2016-02-23,984.9,985.5,966.0,970.0,970.05,1519580.0,14770.46
2016-02-22,983.0,996.0,983.0,986.5,988.75,1000599.0,9909.54
2016-02-19,988.75,992.6,973.5,989.95,989.3,832165.0,8176.72
2016-02-18,986.0,991.25,977.0,987.0,989.45,1699964.0,16728.96
2016-02-17,976.9,979.9,959.0,978.7,974.9,1875981.0,18186.55
2016-02-16,981.5,982.0,962.0,975.0,973.45,1784024.0,17329.66
2016-02-15,980.0,988.25,971.1,974.6,973.6,2728240.0,26707.87
2016-02-12,979.0,986.45,966.0,968.8,971.4,3135536.0,30649.58
2016-02-11,1010.0,1013.0,968.2,978.0,975.3,2200900.0,21821.4
2016-02-10,1023.9,1030.15,1010.1,1015.0,1012.95,1920570.0,19549.0
2016-02-09,1026.7,1031.55,1020.65,1026.2,1026.05,1383865.0,14196.27
2016-02-08,1055.0,1058.0,1030.3,1031.7,1035.85,870481.0,9126.2
2016-02-05,1052.8,1063.8,1045.6,1056.0,1055.25,1880976.0,19863.32
2016-02-04,1048.0,1054.9,1045.55,1050.5,1049.2,1418998.0,14910.87
2016-02-03,1044.5,1051.4,1042.0,1046.2,1043.85,1212561.0,12681.67
2016-02-02,1065.0,1065.25,1050.2,1050.2,1053.8,1632157.0,17309.31
2016-02-01,1058.0,1067.0,1053.7,1062.9,1059.75,1152371.0,12225.22
2016-01-29,1035.2,1054.95,1035.2,1050.65,1049.85,1340046.0,14007.11
2016-01-28,1039.0,1046.9,1030.0,1034.15,1031.7,2487993.0,25774.96
2016-01-27,1048.45,1048.7,1033.0,1034.9,1035.65,1009867.0,10497.41
2016-01-25,1039.95,1046.7,1033.05,1040.0,1041.15,2535971.0,26353.75
2016-01-22,1025.7,1044.25,1022.05,1035.8,1030.3,1059071.0,10941.07
2016-01-21,1021.0,1033.25,1013.4,1023.0,1023.0,1575201.0,16088.69
2016-01-20,1025.0,1108.0,1007.9,1018.5,1018.3,2390897.0,24284.31
2016-01-19,1027.2,1037.55,1026.3,1037.25,1035.8,1601303.0,16543.62
2016-01-18,1035.65,1041.45,1021.0,1023.65,1025.85,1623847.0,16772.89
2016-01-15,1048.0,1055.45,1038.1,1041.3,1042.15,1354315.0,14187.63
2016-01-14,1050.15,1057.4,1039.5,1052.0,1049.75,1569796.0,16473.6
2016-01-13,1052.0,1062.75,1037.0,1056.3,1060.15,1128787.0,11838.48
2016-01-12,1063.9,1063.9,1043.5,1046.0,1046.95,1064684.0,11164.91
2016-01-11,1052.05,1061.0,1045.3,1058.5,1058.6,822228.0,8672.77
2016-01-08,1061.95,1064.5,1057.25,1062.0,1062.35,872089.0,9250.29
2016-01-07,1060.1,1064.9,1049.7,1052.55,1056.2,1513857.0,16016.65
2016-01-06,1056.65,1076.75,1056.65,1067.55,1067.1,1041384.0,11131.36
2016-01-05,1070.2,1074.8,1061.35,1062.0,1062.4,790218.0,8424.6
2016-01-04,1084.0,1084.0,1068.1,1068.5,1070.5,1296884.0,13918.87
2016-01-01,1082.4,1090.25,1076.15,1088.7,1088.75,798769.0,8678.17
2015-12-31,1075.0,1084.9,1075.0,1081.65,1082.15,2322502.0,25124.85
2015-12-30,1080.0,1081.95,1072.55,1074.25,1074.3,528140.0,5682.87
2015-12-29,1078.95,1079.85,1071.3,1079.7,1077.95,1057903.0,11396.2
2015-12-28,1074.0,1079.9,1067.75,1078.0,1077.25,1938857.0,20861.08
2015-12-24,1076.2,1076.4,1068.3,1076.0,1074.0,536588.0,5754.0
2015-12-23,1072.6,1077.95,1069.15,1075.3,1074.1,753492.0,8087.09
2015-12-22,1074.5,1076.5,1064.0,1069.9,1066.45,607384.0,6498.88
2015-12-21,1071.75,1079.9,1069.05,1073.65,1075.4,774375.0,8313.72
2015-12-18,1085.0,1085.0,1068.5,1073.0,1073.0,793032.0,8507.47
2015-12-17,1073.9,1084.0,1065.0,1075.0,1080.25,1219503.0,13096.31
