Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,883.95,884.7,872.5,877.45,881.35,849716.0,7470.31
2016-06-16,871.85,880.85,859.15,878.35,879.45,803719.0,6996.42
2016-06-15,868.0,876.6,863.0,875.3,874.65,863255.0,7540.94
2016-06-14,872.1,875.2,860.3,863.55,865.7,826228.0,7152.08
2016-06-13,867.35,880.95,867.35,875.0,874.2,1071858.0,9378.92
2016-06-10,876.0,884.8,871.15,876.9,874.65,793113.0,6960.37
2016-06-09,899.0,899.0,874.45,875.0,876.45,1376923.0,12117.55
2016-06-08,895.0,908.0,891.6,897.5,897.2,1470489.0,13228.5
2016-06-07,884.0,898.8,880.4,894.65,897.05,2185954.0,19524.67
2016-06-06,887.6,892.0,875.05,880.0,879.35,1941227.0,17096.53
2016-06-03,872.0,888.0,869.4,885.6,884.85,1752265.0,15446.42
2016-06-02,855.0,873.95,835.0,871.55,868.2,3409326.0,28985.85
2016-06-01,852.15,863.4,846.05,856.75,855.15,1223721.0,10476.72
2016-05-31,857.8,859.9,845.0,852.1,848.2,12132028.0,102970.14
2016-05-30,864.0,867.2,849.75,853.0,854.35,776274.0,6639.69
2016-05-27,851.35,865.95,850.5,861.0,861.2,1531278.0,13178.89
2016-05-26,840.2,854.0,832.0,850.0,850.35,2479387.0,20994.25
2016-05-25,828.0,841.45,827.05,838.4,840.1,1127694.0,9424.93
2016-05-24,819.0,824.45,815.45,824.0,823.1,946784.0,7779.94
2016-05-23,817.0,825.75,813.05,818.7,819.6,1118741.0,9176.78
2016-05-20,820.0,821.0,806.15,812.55,812.4,1624617.0,13231.89
2016-05-19,826.1,829.85,810.35,811.85,815.1,1866764.0,15316.52
2016-05-18,833.7,834.55,823.0,826.0,825.5,1428456.0,11817.2
2016-05-17,850.0,850.35,831.0,837.3,834.05,1434067.0,11976.27
2016-05-16,833.0,848.5,817.0,845.5,846.25,1940183.0,16143.89
2016-05-13,852.95,852.95,821.95,830.3,831.8,2369627.0,19691.32
2016-05-12,858.4,862.0,849.35,853.3,853.0,730642.0,6233.13
2016-05-11,855.0,866.8,851.1,865.0,862.55,697299.0,6001.46
2016-05-10,848.8,867.9,845.6,862.8,862.45,1523285.0,13130.67
2016-05-09,851.0,869.7,839.2,848.0,845.5,3215773.0,27484.15
2016-05-06,848.0,856.5,846.75,851.7,853.4,411253.0,3504.87
2016-05-05,859.0,861.9,846.8,851.0,850.15,760873.0,6491.95
2016-05-04,850.0,855.9,844.0,855.0,853.4,568460.0,4840.47
2016-05-03,863.95,869.0,848.0,848.6,851.0,1305303.0,11170.56
2016-05-02,867.0,867.0,855.0,863.6,863.95,787156.0,6765.18
2016-04-29,876.0,879.35,859.2,869.0,867.9,1581281.0,13701.8
2016-04-28,893.2,896.8,871.0,875.3,876.25,2715410.0,23870.04
2016-04-27,884.4,894.0,880.9,893.25,892.2,778693.0,6911.08
2016-04-26,881.6,896.0,880.7,883.2,885.75,1214609.0,10786.25
2016-04-25,880.5,889.0,875.5,886.0,884.15,828061.0,7286.06
2016-04-22,897.8,904.3,883.0,883.5,884.2,1078366.0,9642.93
2016-04-21,905.0,906.9,896.0,902.1,904.05,1162870.0,10495.8
2016-04-20,899.1,906.0,893.15,906.0,904.1,1424850.0,12795.17
