Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,22.05,22.8,21.8,21.95,21.95,1268763.0,281.97
2016-06-16,22.25,22.6,21.4,22.4,22.35,1910676.0,421.04
2016-06-15,22.55,23.25,21.6,22.3,22.1,3158266.0,714.15
2016-06-14,21.8,22.65,21.2,22.1,22.25,3175881.0,701.82
2016-06-13,18.5,21.65,18.25,21.65,21.45,4573620.0,927.9
2016-06-10,18.2,18.8,18.0,18.1,18.05,924986.0,169.14
2016-06-09,18.35,18.6,18.15,18.15,18.25,448606.0,82.0
2016-06-08,18.5,18.8,18.2,18.45,18.45,522890.0,96.5
2016-06-07,18.6,18.9,18.15,18.25,18.25,581258.0,107.1
2016-06-06,19.5,19.5,18.1,18.35,18.35,447053.0,83.3
2016-06-03,19.1,19.55,18.9,19.0,19.0,695361.0,133.76
2016-06-02,19.6,19.8,18.9,19.15,19.2,492010.0,94.8
2016-06-01,19.65,20.1,19.5,19.55,19.6,535446.0,105.39
2016-05-31,20.2,20.3,19.35,19.7,19.75,395383.0,77.9
2016-05-30,20.4,20.6,19.65,19.9,19.9,671774.0,134.21
2016-05-27,19.5,20.55,19.25,20.4,20.35,1231411.0,247.68
2016-05-26,19.6,19.75,19.0,19.3,19.3,604998.0,116.94
2016-05-25,18.95,19.9,18.95,19.45,19.4,721223.0,140.51
2016-05-24,19.25,19.45,18.6,18.95,18.9,811233.0,154.09
2016-05-23,19.7,20.65,18.7,19.15,19.05,1506759.0,295.96
2016-05-20,20.05,20.45,19.2,19.55,19.45,1437537.0,284.87
2016-05-19,22.15,22.85,19.9,20.4,20.55,3563862.0,771.99
2016-05-18,20.85,22.1,20.4,22.0,21.9,2873863.0,620.0
2016-05-17,19.2,21.55,19.05,20.65,20.7,3430120.0,710.73
2016-05-16,17.8,19.1,17.4,18.95,18.95,3000753.0,553.24
2016-05-13,17.75,18.1,16.8,17.9,17.85,1747038.0,306.38
2016-05-12,16.0,18.2,16.0,17.55,17.65,2605592.0,445.82
2016-05-11,15.0,16.05,14.95,15.95,16.0,747859.0,117.63
2016-05-10,15.3,15.75,15.25,15.7,15.6,530556.0,82.16
2016-05-09,15.7,15.7,14.25,15.2,15.25,2230902.0,337.55
2016-05-06,16.4,16.7,16.1,16.55,16.55,502732.0,82.62
2016-05-05,16.1,16.9,16.0,16.3,16.25,632882.0,103.81
2016-05-04,16.7,16.75,15.9,16.0,16.0,406340.0,65.8
2016-05-03,16.55,16.85,16.25,16.3,16.35,536500.0,88.76
2016-05-02,17.15,17.15,16.15,16.8,16.75,652181.0,108.06
2016-04-29,17.5,17.65,16.95,17.15,17.1,775227.0,133.78
