Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,241.45,242.2,235.15,238.8,238.45,13773585.0,32857.07
2016-06-16,243.7,243.7,238.05,239.15,239.05,15492747.0,37173.48
2016-06-15,245.5,249.2,241.6,247.5,247.95,14328741.0,35164.06
2016-06-14,247.0,247.45,244.3,245.3,244.95,10898826.0,26765.05
2016-06-13,248.4,248.4,242.45,244.15,243.75,12998064.0,31710.66
2016-06-10,253.0,257.65,251.5,252.8,252.6,12033135.0,30534.28
2016-06-09,257.0,259.25,253.2,254.0,254.55,12533855.0,32122.03
2016-06-08,255.2,261.2,252.8,257.25,257.65,22853993.0,58832.13
2016-06-07,245.5,254.85,244.7,254.5,254.1,23010314.0,57838.46
2016-06-06,243.4,246.0,242.0,243.35,243.5,10538257.0,25682.62
2016-06-03,242.9,246.4,242.0,243.6,243.75,15060651.0,36812.49
2016-06-02,239.1,242.4,237.6,240.95,241.35,13954119.0,33575.07
2016-06-01,243.9,245.45,239.1,240.5,240.05,10784282.0,26120.86
2016-05-31,248.45,249.0,241.3,244.2,244.65,16590218.0,40575.67
2016-05-30,243.25,246.6,238.8,244.25,244.5,14418397.0,35139.09
2016-05-27,239.0,248.2,238.1,241.9,243.15,24166078.0,59025.91
2016-05-26,235.9,243.0,233.0,239.65,241.15,30591612.0,73047.94
2016-05-25,226.95,235.6,226.6,234.8,235.0,18879973.0,43869.89
2016-05-24,222.6,225.2,221.6,225.2,224.55,9915987.0,22188.19
2016-05-23,222.1,223.9,220.35,220.75,221.1,12944977.0,28728.49
2016-05-20,225.5,226.3,219.6,220.05,220.1,13333201.0,29593.04
2016-05-19,226.45,228.5,224.2,225.2,225.55,14929154.0,33807.79
2016-05-18,223.0,227.45,221.8,226.8,226.45,15947154.0,35876.68
2016-05-17,225.35,227.5,222.25,225.85,225.95,17144948.0,38677.7
2016-05-16,227.7,227.7,217.7,224.45,223.75,19577553.0,43364.08
2016-05-13,230.45,230.45,223.4,226.85,226.5,21784805.0,49325.12
2016-05-12,228.5,232.9,228.25,232.85,231.8,21756410.0,50082.59
2016-05-11,220.0,226.55,218.7,224.05,223.95,29528532.0,66031.42
2016-05-10,225.4,227.5,222.6,225.55,225.5,20324707.0,45762.69
2016-05-09,219.6,226.0,219.1,224.95,225.3,17279001.0,38573.49
2016-05-06,214.0,220.25,213.2,218.75,218.6,20241947.0,43966.51
2016-05-05,214.3,219.9,213.75,214.5,214.65,25011531.0,54031.58
2016-05-04,218.45,220.8,213.45,214.25,214.45,33437988.0,72585.2
2016-05-03,225.75,230.0,220.0,221.2,221.1,26641465.0,60198.41
2016-05-02,227.3,230.5,225.4,227.15,226.75,33127770.0,75223.28
2016-04-29,240.75,244.4,231.3,237.6,236.95,64719469.0,153574.6
2016-04-28,245.4,248.0,239.0,240.0,240.1,37624098.0,91018.74
2016-04-27,250.9,251.0,243.25,245.35,244.6,33575262.0,83423.24
2016-04-26,250.85,254.7,246.5,253.5,254.05,27441362.0,68628.07
2016-04-25,253.1,255.35,251.15,253.05,252.95,16474268.0,41699.9
