Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,100.65,101.6,99.85,101.15,101.2,4974522.0,5004.14
2016-06-16,100.6,101.1,99.5,99.8,100.0,5238156.0,5246.1
2016-06-15,100.1,102.15,100.1,100.25,100.5,6559000.0,6629.38
2016-06-14,99.5,100.7,98.55,99.6,99.75,8515654.0,8495.7
2016-06-13,102.25,102.9,99.45,99.8,99.85,10962344.0,11001.55
2016-06-10,104.3,105.35,103.15,103.35,103.5,5493409.0,5730.06
2016-06-09,105.4,105.6,104.15,104.8,104.9,5042688.0,5289.55
2016-06-08,106.5,106.85,104.65,105.15,105.1,7603073.0,8037.98
2016-06-07,106.5,106.9,104.8,105.25,105.35,8311559.0,8806.32
2016-06-06,105.9,106.5,104.0,105.9,106.0,12669539.0,13389.82
2016-06-03,113.3,114.3,104.2,105.25,105.45,209414896.0,229367.58
2016-06-02,115.5,121.8,115.5,117.35,118.55,7531318.0,8996.52
2016-06-01,115.75,118.25,114.45,117.25,117.75,4208360.0,4909.99
2016-05-31,114.45,116.2,111.7,114.95,114.95,12823718.0,14691.11
2016-05-30,112.8,117.35,112.0,113.3,113.45,4894801.0,5607.77
2016-05-27,113.9,115.4,112.0,112.65,113.0,4327367.0,4934.55
2016-05-26,110.0,114.8,110.0,113.2,113.8,7679509.0,8729.11
2016-05-25,105.3,110.6,105.3,108.8,109.55,5384106.0,5862.95
2016-05-24,110.0,110.9,105.35,106.75,107.4,6318776.0,6809.83
2016-05-23,109.75,111.0,108.65,110.0,110.2,3785059.0,4170.82
2016-05-20,108.0,111.4,107.45,109.25,109.15,4363228.0,4784.84
2016-05-19,110.6,110.95,106.75,108.0,107.55,3256014.0,3540.81
2016-05-18,110.5,111.25,109.35,110.1,110.5,2842231.0,3139.01
2016-05-17,112.8,114.65,110.75,111.3,111.2,4272191.0,4816.18
2016-05-16,113.85,114.05,110.5,112.1,112.1,2739691.0,3062.56
2016-05-13,112.45,114.4,111.95,113.45,113.55,4810846.0,5455.05
2016-05-12,111.8,113.25,111.2,111.6,111.95,2993623.0,3352.97
2016-05-11,112.3,117.45,109.8,110.4,110.8,11957350.0,13513.08
2016-05-10,114.1,114.5,112.25,112.65,112.75,3248802.0,3672.04
2016-05-09,114.5,115.45,112.5,113.7,113.45,3561462.0,4056.71
2016-05-06,113.0,114.8,112.05,113.8,114.2,4157214.0,4732.16
2016-05-05,120.8,120.95,111.6,113.0,113.5,6199079.0,7092.75
2016-05-04,118.55,121.05,117.35,120.5,119.85,2419644.0,2881.33
2016-05-03,118.0,121.25,117.0,119.6,119.9,3611075.0,4296.24
2016-05-02,118.0,119.7,116.1,117.5,117.7,3489083.0,4119.78
2016-04-29,122.5,124.8,115.3,118.8,118.55,14291305.0,17042.77
2016-04-28,125.05,128.35,125.05,126.45,126.5,8621945.0,10914.87
