Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1107.0,1107.7,1085.5,1101.75,1099.2,1499517.0,16421.83
2016-06-16,1118.9,1118.9,1086.25,1098.0,1100.25,938648.0,10293.77
2016-06-15,1119.05,1125.6,1110.0,1119.65,1123.55,894254.0,9984.16
2016-06-14,1103.35,1119.9,1099.55,1116.1,1116.75,615029.0,6806.76
2016-06-13,1100.0,1119.9,1100.0,1109.45,1108.45,986935.0,10911.4
2016-06-10,1114.1,1126.25,1108.15,1110.15,1109.9,1033099.0,11555.87
2016-06-09,1114.85,1125.0,1103.35,1118.55,1122.0,862716.0,9644.17
2016-06-08,1113.0,1119.6,1093.2,1117.85,1113.6,644739.0,7133.4
2016-06-07,1126.5,1128.95,1104.45,1108.1,1109.9,886165.0,9936.98
2016-06-06,1124.95,1130.0,1115.55,1121.0,1121.75,453741.0,5097.14
2016-06-03,1130.0,1132.5,1119.1,1119.1,1123.95,771905.0,8685.85
2016-06-02,1105.0,1124.9,1099.15,1124.0,1121.8,1139626.0,12609.47
2016-06-01,1103.0,1107.8,1096.55,1106.3,1103.75,692901.0,7639.47
2016-05-31,1101.1,1107.05,1095.0,1102.2,1102.85,1043245.0,11475.58
2016-05-30,1106.2,1113.55,1096.9,1098.15,1100.3,927569.0,10229.71
2016-05-27,1101.25,1111.85,1099.15,1103.4,1104.1,1377065.0,15203.41
2016-05-26,1095.05,1109.0,1088.0,1099.25,1103.9,1356124.0,14915.16
2016-05-25,1055.25,1098.9,1055.25,1095.75,1096.15,1011656.0,10969.0
2016-05-24,1056.4,1056.4,1039.15,1050.0,1043.65,1287874.0,13479.79
2016-05-23,1072.35,1079.95,1050.3,1053.85,1056.3,1038361.0,11027.78
2016-05-20,1069.0,1076.4,1059.0,1072.8,1070.45,687097.0,7344.46
2016-05-19,1078.0,1081.1,1064.95,1074.0,1072.1,778327.0,8349.33
2016-05-18,1080.0,1086.0,1066.35,1085.6,1083.0,692837.0,7464.39
2016-05-17,1083.0,1099.8,1077.0,1077.6,1084.45,1890354.0,20635.34
2016-05-16,1063.0,1085.0,1058.05,1076.0,1080.8,806795.0,8646.72
2016-05-13,1060.0,1069.0,1055.0,1065.3,1065.2,1078609.0,11451.92
2016-05-12,1052.5,1071.4,1046.25,1065.55,1066.1,1085566.0,11536.77
2016-05-11,1036.1,1059.8,1036.1,1052.5,1053.75,1502284.0,15827.5
2016-05-10,1055.0,1055.0,1047.25,1054.95,1054.7,1037333.0,10917.07
2016-05-09,1042.0,1059.2,1038.9,1054.15,1054.9,2193370.0,23128.98
2016-05-06,1037.85,1044.3,1025.25,1043.0,1042.2,858079.0,8900.47
2016-05-05,1042.0,1044.3,1026.25,1041.0,1037.55,1012279.0,10472.11
2016-05-04,1037.0,1046.95,1029.1,1042.55,1042.0,1490442.0,15490.66
2016-05-03,1045.0,1057.25,1032.55,1041.5,1037.8,993373.0,10366.56
2016-05-02,1043.0,1055.0,1040.4,1043.5,1045.05,1190614.0,12496.24
2016-04-29,1032.1,1053.5,1027.15,1048.0,1048.85,922119.0,9583.58
2016-04-28,1039.7,1048.6,1029.0,1038.45,1035.0,1892339.0,19613.47
2016-04-27,1021.9,1042.0,1020.0,1039.5,1040.0,3437073.0,35487.84
2016-04-26,982.0,1025.0,975.0,1022.3,1021.4,3199405.0,32302.11
2016-04-25,982.4,987.0,974.15,986.0,982.35,904348.0,8861.21
2016-04-22,974.7,989.0,970.8,980.4,981.5,1648861.0,16206.13
2016-04-21,993.0,993.8,964.5,971.35,972.1,3279337.0,32063.2
2016-04-20,988.0,988.95,973.55,985.45,983.85,1424974.0,13977.0
2016-04-18,986.4,993.65,977.2,984.45,988.3,1475787.0,14559.21
2016-04-13,975.0,994.45,974.0,985.5,986.4,2933470.0,28766.05
2016-04-12,961.0,970.8,957.55,966.4,968.95,1045525.0,10095.78
2016-04-11,939.0,962.0,936.5,958.6,960.8,921823.0,8767.23
2016-04-08,940.0,946.8,935.0,937.75,937.0,1035958.0,9743.27
2016-04-07,955.0,958.95,937.5,938.95,939.6,865013.0,8199.21
2016-04-06,951.2,959.1,947.05,956.5,955.4,1055612.0,10077.05
2016-04-05,959.8,964.0,946.4,947.2,951.3,1278350.0,12216.93
2016-04-04,961.3,970.0,956.0,960.0,961.3,1501960.0,14470.23
2016-04-01,966.65,969.0,950.75,961.0,961.3,933728.0,8975.08
2016-03-31,946.2,970.0,936.6,966.35,967.6,2973760.0,28641.08
2016-03-30,939.0,948.8,935.5,946.0,946.7,1817471.0,17113.74
2016-03-29,917.9,930.5,912.8,930.0,928.05,1120607.0,10377.62
2016-03-28,927.0,939.0,911.65,921.0,914.8,4743485.0,43505.83
2016-03-23,929.0,934.5,925.0,926.8,928.05,1426779.0,13271.09
2016-03-22,932.4,937.0,922.7,929.5,928.0,1462833.0,13579.76
2016-03-21,930.0,936.5,922.8,931.65,932.2,1120071.0,10426.48
2016-03-18,911.55,934.75,903.25,930.0,929.0,1678210.0,15473.1
2016-03-17,926.5,928.0,901.35,904.8,912.55,2374275.0,21748.89
2016-03-16,921.8,927.0,909.3,917.9,915.65,1558572.0,14282.81
2016-03-15,921.9,931.95,916.8,917.7,918.4,1027959.0,9495.1
2016-03-14,929.0,932.0,918.1,919.7,921.1,1238350.0,11435.86
2016-03-11,921.05,933.15,918.05,923.5,926.7,1436095.0,13298.74
2016-03-10,934.0,935.25,919.0,927.6,927.25,1128913.0,10494.88
2016-03-09,913.0,937.45,912.25,933.0,934.45,1631962.0,15158.95
2016-03-08,916.0,927.55,904.0,921.0,921.05,1879422.0,17268.6
2016-03-04,898.8,921.3,880.95,920.0,915.9,1327247.0,11980.26
2016-03-03,885.0,898.1,884.25,897.95,895.75,1973901.0,17608.22
2016-03-02,874.9,896.5,871.0,886.5,882.6,2349698.0,20869.15
2016-03-01,837.0,867.6,834.0,858.35,860.8,1330369.0,11402.97
2016-02-29,817.5,839.45,802.0,836.1,830.0,3045853.0,24808.08
2016-02-26,815.0,822.5,813.2,816.5,816.35,1045114.0,8533.24
2016-02-25,822.0,823.95,804.75,808.2,807.75,1480299.0,12002.53
2016-02-24,835.65,838.0,818.9,821.0,821.9,1034245.0,8547.34
2016-02-23,842.0,845.55,830.75,841.9,839.65,1908481.0,15984.84
2016-02-22,845.0,855.45,840.2,846.0,844.6,613082.0,5198.97
2016-02-19,843.1,848.7,835.1,840.75,841.5,1035996.0,8721.3
2016-02-18,837.3,850.35,833.6,847.0,847.7,1064050.0,8976.07
2016-02-17,830.0,835.4,813.4,832.05,831.55,1141968.0,9424.08
2016-02-16,831.95,838.95,819.5,826.9,834.8,2242516.0,18644.1
2016-02-15,825.0,832.0,817.25,827.0,823.7,2167942.0,17890.86
2016-02-12,815.0,831.85,800.0,812.35,811.95,3788481.0,30752.07
2016-02-11,830.0,833.2,799.0,814.6,811.15,5158251.0,41955.09
2016-02-10,866.0,867.0,827.75,832.3,835.1,2329955.0,19691.36
2016-02-09,873.0,878.5,859.45,870.0,868.35,2083698.0,18079.02
2016-02-08,910.6,910.65,878.55,880.9,882.95,1754784.0,15717.83
2016-02-05,913.95,917.4,909.0,910.4,911.85,1654488.0,15113.59
2016-02-04,912.0,918.25,903.55,913.3,913.2,812359.0,7400.81
2016-02-03,895.0,915.2,891.0,904.0,905.65,773012.0,6999.84
2016-02-02,927.0,932.0,903.8,905.0,908.25,688338.0,6342.32
2016-02-01,928.75,939.6,924.0,925.0,927.1,916513.0,8521.32
2016-01-29,906.5,935.0,900.0,932.2,928.8,1369077.0,12587.25
2016-01-28,907.0,917.7,900.0,905.1,907.15,1679264.0,15298.31
2016-01-27,907.85,918.0,880.05,907.0,908.25,1054242.0,9564.15
2016-01-25,905.0,910.9,899.6,902.4,907.2,666497.0,6036.69
2016-01-22,887.9,905.4,880.8,895.25,898.0,1018517.0,9143.51
2016-01-21,880.0,896.25,868.3,876.0,873.4,1192113.0,10487.1
2016-01-20,884.45,960.0,866.8,869.55,873.65,1179428.0,10307.3
2016-01-19,897.25,905.5,888.0,895.0,896.45,1086798.0,9752.55
2016-01-18,916.55,929.95,893.95,897.05,899.1,1123421.0,10228.71
2016-01-15,919.8,932.1,915.6,919.0,921.55,1139012.0,10535.68
