Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,349.0,350.55,334.2,337.7,338.65,6119718.0,20754.31
2016-06-16,364.25,366.4,344.0,349.55,348.2,7619615.0,26807.98
2016-06-15,376.7,378.7,363.2,365.0,365.1,3083612.0,11407.68
2016-06-14,382.9,385.0,378.0,379.0,380.8,3750421.0,14285.46
2016-06-13,375.0,380.45,372.7,378.0,378.25,2936316.0,11057.67
2016-06-10,374.5,379.0,371.2,376.0,374.5,2062903.0,7733.72
2016-06-09,378.4,378.7,373.55,374.55,374.7,1857655.0,6996.87
2016-06-08,374.95,379.95,374.95,376.5,375.95,1647606.0,6217.93
2016-06-07,377.8,377.8,373.0,373.25,374.2,1955783.0,7335.57
2016-06-06,384.75,384.75,375.1,376.0,375.85,1943252.0,7347.84
2016-06-03,383.0,385.5,377.6,383.9,384.55,1858470.0,7073.73
2016-06-02,385.55,386.65,378.65,379.75,381.3,888020.0,3383.24
2016-06-01,374.9,386.0,374.6,384.6,384.95,1603029.0,6145.91
2016-05-31,385.0,386.9,372.3,374.3,374.55,3047490.0,11502.22
2016-05-30,387.8,392.0,384.5,385.75,386.05,974484.0,3782.92
2016-05-27,388.15,391.65,385.1,385.9,386.85,1512986.0,5875.23
2016-05-26,394.95,395.95,386.1,387.95,390.15,3683479.0,14357.95
2016-05-25,388.5,397.0,386.15,394.3,394.85,2233412.0,8743.43
2016-05-24,383.5,386.5,381.05,386.4,384.1,1438075.0,5515.37
2016-05-23,378.0,387.75,375.6,384.9,383.5,1258672.0,4835.08
2016-05-20,386.7,387.7,375.7,378.75,377.55,1324905.0,5049.53
2016-05-19,383.0,387.0,374.8,387.0,384.5,1653311.0,6290.96
2016-05-18,385.0,385.0,378.3,382.4,383.1,672355.0,2566.83
2016-05-17,387.7,391.9,383.5,385.0,386.4,1156625.0,4483.54
2016-05-16,377.0,387.8,373.6,387.8,385.2,1076670.0,4101.04
2016-05-13,369.6,376.0,364.65,375.8,374.9,1507078.0,5584.31
2016-05-12,374.7,375.7,369.6,372.25,372.1,1347788.0,5018.31
2016-05-11,375.0,376.0,368.4,371.55,371.0,1132201.0,4212.62
2016-05-10,378.6,380.65,373.0,378.0,378.8,1433203.0,5398.65
2016-05-09,370.05,379.5,369.3,376.15,376.9,1087492.0,4086.13
2016-05-06,369.4,374.75,368.1,369.6,370.05,1838871.0,6816.97
2016-05-05,375.0,375.85,367.35,369.3,369.1,2886701.0,10687.46
2016-05-04,381.1,383.95,373.05,375.5,374.2,1163890.0,4380.17
2016-05-03,378.2,387.8,378.2,384.0,383.65,1588271.0,6090.3
2016-05-02,375.0,378.0,370.75,375.3,375.65,513888.0,1928.18
2016-04-29,371.4,376.4,366.05,374.6,374.95,1797296.0,6702.08
2016-04-28,376.1,380.9,370.0,371.9,370.9,4845442.0,18100.89
2016-04-27,375.0,377.95,372.05,375.45,375.7,5569018.0,20901.6
2016-04-26,372.7,372.7,361.5,362.95,363.05,4180713.0,15211.43
2016-04-25,374.0,377.2,363.95,367.85,366.8,1512196.0,5551.59
2016-04-22,377.8,377.95,370.05,372.6,371.7,2181515.0,8164.63
2016-04-21,390.0,390.7,369.6,371.95,371.85,2547148.0,9513.86
2016-04-20,397.3,397.3,383.65,385.45,386.35,2138470.0,8281.77
2016-04-18,391.7,410.0,391.7,395.75,396.8,3098537.0,12352.11
2016-04-13,384.9,400.0,382.7,384.5,385.7,1559006.0,6079.09
2016-04-12,381.9,386.8,375.1,385.5,384.75,1327927.0,5055.54
2016-04-11,369.95,384.4,368.0,382.5,381.35,956538.0,3588.35
2016-04-08,371.2,371.9,366.4,368.5,369.55,388367.0,1434.06
2016-04-07,372.6,374.25,367.65,372.0,372.9,830826.0,3085.97
2016-04-06,378.0,378.0,370.0,372.0,371.35,937244.0,3489.57
2016-04-05,382.05,382.95,371.55,374.55,374.5,1218017.0,4563.35
2016-04-04,385.95,387.9,374.5,381.2,382.05,1295034.0,4917.59
2016-04-01,380.9,392.1,376.2,386.2,385.6,1668173.0,6388.66
2016-03-31,375.95,392.0,368.1,392.0,381.95,6628368.0,25208.7
2016-03-30,389.15,393.0,372.65,373.85,375.3,2624634.0,10159.86
2016-03-29,375.6,390.0,366.15,386.2,387.3,1317416.0,4964.63
2016-03-28,385.0,385.55,368.7,374.0,373.4,1536942.0,5749.41
2016-03-23,390.85,392.15,381.35,383.65,384.7,1153017.0,4456.13
2016-03-22,389.4,394.0,379.25,393.5,390.85,1176522.0,4542.74
2016-03-21,382.7,391.9,376.75,390.0,386.05,1581087.0,6037.59
2016-03-18,367.45,382.9,367.45,379.9,380.65,1931582.0,7264.46
2016-03-17,370.9,373.9,365.75,370.0,369.7,1523453.0,5627.9
2016-03-16,366.4,370.8,358.5,368.0,367.2,2103946.0,7642.07
2016-03-15,378.6,378.6,366.2,368.5,368.55,647442.0,2388.58
2016-03-14,376.1,382.4,376.1,381.5,380.55,839168.0,3189.55
2016-03-11,375.5,382.2,373.1,377.3,378.15,1254444.0,4757.93
