Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,355.35,360.7,355.35,359.0,359.85,5986903.0,21487.51
2016-06-16,359.4,359.4,351.1,354.0,354.9,5814562.0,20601.12
2016-06-15,354.0,360.0,353.75,359.0,359.55,6348858.0,22647.45
2016-06-14,350.9,354.0,347.8,354.0,353.3,5038876.0,17749.01
2016-06-13,348.6,353.55,345.65,350.0,349.9,7821927.0,27320.31
2016-06-10,353.05,358.65,350.05,350.95,350.7,7166263.0,25313.57
2016-06-09,362.6,362.95,352.6,353.85,354.1,7745113.0,27544.47
2016-06-08,364.0,365.0,360.7,362.95,362.8,4886342.0,17710.41
2016-06-07,357.0,363.75,357.0,362.75,362.75,7066536.0,25502.73
2016-06-06,353.7,356.95,351.35,356.4,355.6,4939666.0,17545.34
2016-06-03,359.85,359.85,352.55,353.7,353.9,4738325.0,16819.66
2016-06-02,359.85,360.5,353.2,358.6,358.0,8799928.0,31277.27
2016-06-01,353.0,362.2,353.0,361.1,361.4,7966216.0,28605.94
2016-05-31,356.0,359.45,349.25,352.0,351.05,9664358.0,34130.27
2016-05-30,353.4,358.5,352.8,356.0,356.5,4908369.0,17493.24
2016-05-27,362.95,363.9,356.2,359.5,359.3,7013490.0,25223.97
2016-05-26,356.0,364.0,353.6,363.9,362.45,8392945.0,30145.09
2016-05-25,350.4,357.45,349.85,355.15,356.05,6636995.0,23463.7
2016-05-24,348.0,351.8,346.65,348.9,348.05,10445702.0,36513.7
2016-05-23,349.65,354.5,339.5,347.35,346.85,35212403.0,121792.59
2016-05-20,326.75,338.7,324.8,338.0,330.35,13509419.0,44515.17
2016-05-19,334.0,334.0,322.5,324.55,324.85,5725184.0,18637.4
2016-05-18,327.6,334.8,325.8,333.05,332.7,5076929.0,16736.57
2016-05-17,330.0,333.45,328.7,331.4,330.5,7988538.0,26470.43
2016-05-16,318.3,330.0,317.1,329.75,329.4,8646780.0,27934.02
2016-05-13,318.0,321.7,315.15,319.2,319.35,6293941.0,20065.23
