Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,135.9,144.95,128.75,130.1,130.75,21501.0,28.69
2016-06-16,134.95,135.0,132.35,133.0,133.25,11963.0,15.95
2016-06-15,137.95,137.95,133.3,133.3,134.65,22596.0,30.53
2016-06-14,138.0,138.9,135.25,135.35,135.85,35783.0,48.77
2016-06-13,142.5,142.5,137.8,140.0,139.05,10003.0,13.92
2016-06-10,144.35,145.05,142.0,143.95,142.35,8012.0,11.47
2016-06-09,143.95,144.9,141.95,144.9,144.3,7482.0,10.75
2016-06-08,140.0,149.0,139.95,142.7,142.9,27262.0,39.54
2016-06-07,143.0,143.0,138.5,140.0,140.1,11365.0,15.92
2016-06-06,142.0,143.6,140.0,140.0,140.25,10891.0,15.44
2016-06-03,141.55,147.0,141.55,142.0,142.05,10072.0,14.49
2016-06-02,141.35,145.5,140.95,143.95,143.95,23149.0,33.35
2016-06-01,148.95,148.95,140.95,142.5,143.95,28048.0,40.53
2016-05-31,151.0,153.0,144.0,144.55,144.55,33347.0,49.08
2016-05-30,145.0,158.0,145.0,156.1,156.0,25622.0,38.48
2016-05-27,149.0,149.0,144.2,144.5,144.9,11708.0,17.16
2016-05-26,149.0,149.85,144.0,145.9,145.35,8426.0,12.38
2016-05-25,147.9,150.0,147.8,148.0,148.35,11010.0,16.39
2016-05-24,157.3,157.3,147.0,147.0,147.85,12478.0,18.79
2016-05-23,162.0,162.0,156.0,156.6,157.25,5886.0,9.31
2016-05-20,164.85,166.0,162.0,162.0,162.85,2277.0,3.73
2016-05-19,165.7,169.45,163.0,163.9,165.0,3658.0,6.11
2016-05-18,168.8,173.95,167.05,169.0,169.05,6991.0,11.92
2016-05-17,168.55,175.0,168.55,170.0,170.3,7685.0,13.21
2016-05-16,166.85,174.5,163.5,168.3,170.15,24178.0,40.92
2016-05-13,158.1,167.5,158.1,167.0,166.45,20931.0,34.31
2016-05-12,160.5,165.9,160.5,163.0,162.85,5063.0,8.26
2016-05-11,160.0,164.6,160.0,163.0,163.05,3116.0,5.05
2016-05-10,159.0,166.9,159.0,164.0,164.1,9684.0,15.97
2016-05-09,161.0,164.5,158.7,161.65,161.95,13443.0,21.85
2016-05-06,159.5,164.0,158.5,162.5,161.45,15737.0,25.45
2016-05-05,160.0,162.2,159.85,161.25,161.5,7566.0,12.17
2016-05-04,161.0,161.0,157.0,160.0,158.65,3102.0,4.91
2016-05-03,163.1,165.0,158.05,158.1,158.75,7395.0,11.97
2016-05-02,153.8,164.95,151.1,164.95,162.9,12376.0,19.79
2016-04-29,157.3,157.3,153.1,156.15,154.55,4318.0,6.66
2016-04-28,154.6,158.0,154.0,156.0,154.8,5638.0,8.78
2016-04-27,157.0,158.75,154.0,157.5,157.5,9737.0,15.24
2016-04-26,155.8,158.6,151.5,157.0,155.8,5138.0,7.93
2016-04-25,152.5,154.6,148.15,154.5,153.15,9186.0,13.95
2016-04-22,149.4,152.0,145.25,151.0,150.9,6668.0,10.0
2016-04-21,150.9,150.9,148.4,150.0,149.85,12130.0,18.13
2016-04-20,144.9,148.3,144.9,148.1,147.05,11283.0,16.6
2016-04-18,145.1,145.9,141.2,145.7,144.95,8276.0,11.84
2016-04-13,142.25,145.0,141.75,145.0,143.6,23554.0,33.55
2016-04-12,139.1,148.6,139.1,142.05,140.95,9552.0,13.58
2016-04-11,138.35,143.55,138.35,141.0,140.45,5210.0,7.38
2016-04-08,141.0,142.8,140.7,142.35,141.35,6627.0,9.38
2016-04-07,143.4,143.4,138.4,142.9,140.05,11207.0,15.71
2016-04-06,141.0,144.0,139.0,140.75,140.25,9512.0,13.43
2016-04-05,145.65,148.75,140.4,142.4,141.1,14716.0,20.95
2016-04-04,151.0,151.0,143.1,145.2,145.3,9441.0,13.86
2016-04-01,145.45,149.9,143.45,148.05,147.95,21695.0,31.78
2016-03-31,151.4,153.0,148.1,148.1,148.25,9347.0,14.01
2016-03-30,140.55,153.4,139.4,149.1,149.85,37865.0,55.98
2016-03-29,142.0,143.0,140.0,143.0,141.3,16370.0,23.18
2016-03-28,140.0,144.1,139.05,144.0,142.9,5562.0,7.87
2016-03-23,144.0,144.8,139.1,144.0,143.8,4910.0,6.99
2016-03-22,140.6,143.65,139.1,143.4,142.25,14870.0,21.05
2016-03-21,135.9,142.0,135.6,140.0,140.6,15393.0,21.28
2016-03-18,139.0,140.0,134.1,139.65,137.55,19026.0,26.29
2016-03-17,142.0,144.9,137.1,138.0,138.2,2718.0,3.82
2016-03-16,138.2,144.0,133.6,141.6,140.9,7339.0,10.23
2016-03-15,139.0,142.2,134.6,141.3,138.95,5333.0,7.39
2016-03-14,140.25,143.0,140.0,143.0,141.9,16762.0,23.54
2016-03-11,142.0,144.0,139.0,142.0,140.3,4934.0,6.95
2016-03-10,139.1,149.7,139.0,144.0,143.25,22647.0,32.56
