Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,756.0,760.85,748.75,749.15,751.1,814258.0,6125.04
2016-06-16,765.9,765.9,746.35,752.8,754.45,1079000.0,8128.72
2016-06-15,757.0,768.1,753.0,765.35,765.55,887211.0,6736.81
2016-06-14,758.5,758.5,749.3,752.25,752.1,663569.0,4993.32
2016-06-13,746.0,757.45,745.0,753.1,755.9,1629842.0,12222.63
2016-06-10,751.1,757.5,743.35,750.0,750.7,1510634.0,11338.23
2016-06-09,761.9,761.9,750.1,754.3,752.75,1301396.0,9812.43
2016-06-08,768.1,770.0,755.0,759.4,759.35,1227612.0,9320.35
2016-06-07,770.0,778.85,760.85,769.15,772.05,1857761.0,14345.56
2016-06-06,770.1,775.0,762.55,764.6,765.25,1157650.0,8886.0
2016-06-03,750.0,772.45,743.1,769.0,769.3,2480775.0,18921.12
2016-06-02,749.0,750.0,736.4,745.95,746.3,1605981.0,11926.33
2016-06-01,749.75,749.75,740.4,749.0,745.35,918251.0,6824.65
2016-05-31,743.3,750.0,739.5,744.65,746.55,1167685.0,8699.13
2016-05-30,748.7,754.5,740.05,741.0,742.6,729005.0,5436.27
2016-05-27,734.4,744.65,733.1,738.1,742.55,1293521.0,9553.32
2016-05-26,716.1,739.0,714.35,734.0,730.2,1936113.0,14015.92
2016-05-25,704.0,715.5,700.5,714.85,712.75,2907812.0,20659.88
2016-05-24,702.9,702.95,692.5,698.05,698.4,2068972.0,14423.53
2016-05-23,706.0,710.65,701.0,701.0,703.15,1437987.0,10145.52
2016-05-20,709.9,710.7,700.25,701.5,702.15,600500.0,4237.0
2016-05-19,708.25,710.5,701.65,706.0,706.05,964151.0,6816.44
2016-05-18,708.0,713.65,700.25,710.0,708.9,1147912.0,8108.61
2016-05-17,719.0,725.0,708.0,708.05,708.9,2471677.0,17708.38
2016-05-16,708.1,720.0,703.0,716.5,718.25,2438969.0,17366.61
2016-05-13,727.0,728.9,707.0,708.5,708.25,1429506.0,10218.19
2016-05-12,735.7,743.75,721.0,726.6,726.75,2785763.0,20450.32
2016-05-11,717.8,737.0,714.0,730.4,731.55,4117417.0,30060.55
2016-05-10,717.75,730.0,711.4,730.0,722.85,1576803.0,11305.86
2016-05-09,703.0,716.0,702.9,714.0,713.85,1885335.0,13437.69
2016-05-06,706.05,710.0,696.1,703.45,702.95,667263.0,4679.81
2016-05-05,713.9,715.25,704.05,710.45,709.15,975973.0,6916.14
2016-05-04,706.05,720.6,704.8,711.0,712.65,2111368.0,15117.83
2016-05-03,719.0,722.95,699.0,708.1,707.45,1358193.0,9632.33
2016-05-02,714.2,724.75,712.1,717.1,718.2,1296560.0,9328.08
2016-04-29,699.0,719.35,695.5,715.85,717.15,1490141.0,10596.83
2016-04-28,715.0,718.4,698.5,701.1,701.45,1515244.0,10697.36
2016-04-27,702.4,719.8,701.0,711.45,712.5,1929112.0,13745.4
2016-04-26,679.95,705.0,678.85,704.1,700.85,2108459.0,14604.8
2016-04-25,671.1,682.85,671.1,682.5,680.45,1211689.0,8221.7
2016-04-22,680.05,683.75,672.95,678.4,676.1,1975006.0,13406.48
2016-04-21,689.0,689.6,683.15,685.55,686.7,2137424.0,14663.5
2016-04-20,687.4,692.0,680.2,685.6,687.15,1087651.0,7469.05
2016-04-18,691.1,691.1,657.7,683.0,683.35,1638201.0,11164.13
2016-04-13,687.0,699.95,683.2,690.65,692.35,2437798.0,16889.37
2016-04-12,669.85,682.05,669.75,682.0,677.35,1185688.0,8023.09
2016-04-11,670.9,674.95,660.3,669.85,671.3,1990818.0,13289.7
2016-04-08,658.1,670.4,658.1,665.1,665.35,1007741.0,6707.27
2016-04-07,667.0,668.0,655.5,663.85,662.5,1619424.0,10731.98
2016-04-06,669.0,674.3,664.3,668.4,668.0,1683758.0,11269.35
2016-04-05,684.0,684.75,664.75,665.5,668.75,2892523.0,19503.43
2016-04-04,681.5,689.3,674.25,685.3,687.3,2059957.0,14025.08
2016-04-01,682.0,686.65,677.15,678.1,679.9,1470326.0,10008.38
2016-03-31,677.1,694.9,677.1,682.95,680.65,3982132.0,27217.39
2016-03-30,675.05,686.5,665.5,684.6,683.85,2827418.0,19144.98
2016-03-29,670.05,682.0,668.95,672.15,671.5,1966330.0,13258.76
