Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1494.5,1502.85,1472.9,1475.0,1480.25,1769296.0,26273.7
2016-06-16,1509.0,1509.0,1478.0,1490.4,1494.2,1631350.0,24317.78
2016-06-15,1464.0,1517.0,1463.5,1513.4,1513.8,1973744.0,29539.26
2016-06-14,1468.0,1473.25,1455.1,1461.0,1460.55,1126211.0,16474.35
2016-06-13,1470.0,1473.9,1455.3,1463.9,1466.15,1472905.0,21561.51
2016-06-10,1482.3,1505.0,1476.3,1491.0,1487.7,1435331.0,21408.15
2016-06-09,1511.3,1513.7,1487.1,1489.2,1491.45,1209153.0,18125.72
2016-06-08,1495.2,1514.7,1490.15,1512.5,1511.2,2216842.0,33363.64
2016-06-07,1475.0,1500.0,1461.3,1486.3,1487.9,2232357.0,33163.66
2016-06-06,1462.8,1473.35,1461.05,1471.7,1468.2,1267954.0,18610.9
2016-06-03,1477.0,1485.95,1456.0,1459.95,1460.6,1500227.0,22046.4
2016-06-02,1460.0,1482.7,1441.65,1475.3,1477.25,2069058.0,30251.8
2016-06-01,1470.05,1484.15,1461.1,1466.0,1465.05,1657530.0,24405.63
2016-05-31,1486.2,1487.1,1467.2,1472.55,1473.55,2539737.0,37452.97
2016-05-30,1469.9,1496.45,1466.15,1486.35,1487.1,2325293.0,34469.52
2016-05-27,1474.0,1487.35,1452.0,1470.9,1474.9,3923827.0,57662.74
2016-05-26,1404.0,1484.9,1390.0,1471.0,1474.15,13794605.0,197951.08
2016-05-25,1260.0,1298.65,1251.05,1289.95,1291.6,2481047.0,31594.37
2016-05-24,1241.2,1248.6,1223.3,1245.1,1242.15,1238994.0,15315.42
2016-05-23,1263.65,1265.85,1238.0,1243.65,1241.2,1465840.0,18317.56
2016-05-20,1272.0,1279.7,1251.1,1255.0,1255.1,1115039.0,14123.57
2016-05-19,1304.0,1308.0,1260.05,1264.0,1266.1,1336722.0,17195.9
2016-05-18,1285.4,1312.2,1277.05,1309.1,1309.85,1735672.0,22553.43
2016-05-17,1289.0,1309.0,1284.65,1295.35,1291.1,1482377.0,19251.59
2016-05-16,1291.8,1296.0,1268.75,1283.8,1283.25,1607301.0,20600.86
2016-05-13,1310.0,1315.0,1280.45,1288.1,1286.5,1402495.0,18116.35
2016-05-12,1325.1,1339.9,1311.25,1317.5,1316.1,1035516.0,13718.33
2016-05-11,1299.85,1334.0,1295.0,1327.0,1327.75,3069038.0,40573.61
2016-05-10,1295.0,1322.7,1288.0,1319.25,1320.05,2450764.0,32094.7
2016-05-09,1264.0,1296.9,1263.2,1296.0,1294.55,1859009.0,23946.35
2016-05-06,1271.0,1272.4,1254.0,1258.0,1260.45,1073588.0,13561.21
2016-05-05,1244.5,1282.5,1244.2,1275.0,1273.85,1880837.0,23801.36
2016-05-04,1247.05,1257.9,1240.0,1242.05,1246.8,1096230.0,13698.19
2016-05-03,1256.0,1283.15,1245.0,1247.95,1251.4,1683433.0,21330.92
2016-05-02,1246.0,1256.0,1236.0,1255.0,1250.75,896210.0,11164.73
2016-04-29,1260.15,1266.1,1245.5,1251.75,1254.6,1126249.0,14139.73
2016-04-28,1277.0,1282.9,1253.4,1266.0,1259.55,1859980.0,23565.0
2016-04-27,1281.0,1288.75,1271.05,1277.0,1276.45,1038457.0,13279.77
2016-04-26,1261.1,1283.45,1260.35,1278.5,1281.0,1251790.0,15954.39
2016-04-25,1270.0,1277.6,1257.1,1267.0,1265.5,1419126.0,17967.66
2016-04-22,1250.0,1269.0,1241.5,1264.3,1265.1,1338916.0,16860.61
2016-04-21,1269.7,1275.0,1246.05,1246.6,1251.95,1149029.0,14493.65
2016-04-20,1257.0,1267.95,1248.0,1265.95,1265.95,1681899.0,21191.34
2016-04-18,1233.1,1256.95,1209.05,1253.0,1253.0,1763010.0,21874.37
2016-04-13,1236.0,1253.0,1229.1,1237.0,1234.9,3303937.0,40995.99
2016-04-12,1215.0,1234.9,1207.05,1222.55,1222.4,1891368.0,23100.56
2016-04-11,1196.0,1215.9,1185.6,1215.0,1213.35,1686623.0,20256.53
2016-04-08,1184.0,1197.0,1181.0,1193.95,1192.25,1043359.0,12413.89
2016-04-07,1208.0,1209.95,1177.8,1180.05,1182.9,1805053.0,21513.55
2016-04-06,1199.1,1215.0,1182.5,1213.0,1211.85,1722556.0,20657.71
2016-04-05,1228.4,1234.75,1190.05,1190.45,1195.15,2100742.0,25401.8
2016-04-04,1239.9,1250.0,1221.6,1234.85,1235.85,1160108.0,14326.19
2016-04-01,1212.0,1248.3,1212.0,1237.35,1237.9,1693296.0,20918.13
2016-03-31,1225.95,1230.0,1211.5,1225.0,1216.7,3297309.0,40215.24
2016-03-30,1208.0,1231.9,1201.5,1228.7,1228.05,1916000.0,23305.25
2016-03-29,1208.0,1216.05,1190.0,1193.95,1193.95,1802119.0,21599.73
2016-03-28,1241.0,1246.2,1198.05,1206.1,1206.35,2478304.0,30344.25
2016-03-23,1240.0,1249.0,1230.3,1239.9,1242.55,1625424.0,20170.78
2016-03-22,1234.0,1245.0,1222.0,1234.0,1237.3,1986544.0,24562.35
2016-03-21,1201.0,1232.55,1194.35,1231.9,1228.15,2383631.0,29034.55
2016-03-18,1199.0,1203.0,1190.1,1200.0,1199.3,1711220.0,20495.76
2016-03-17,1198.0,1205.0,1184.45,1187.6,1193.25,2581769.0,30894.65
2016-03-16,1187.0,1191.7,1164.9,1183.75,1183.2,1803141.0,21239.02
2016-03-15,1188.7,1197.85,1175.55,1181.0,1180.75,1629439.0,19318.01
2016-03-14,1197.0,1206.65,1177.7,1179.55,1184.2,1817534.0,21668.59
2016-03-11,1188.95,1202.0,1171.3,1186.9,1185.65,1997585.0,23706.21
2016-03-10,1214.0,1221.5,1181.25,1183.0,1186.15,1955178.0,23373.17
2016-03-09,1182.4,1220.0,1178.0,1218.0,1212.85,2080761.0,25046.27
2016-03-08,1201.0,1212.0,1173.2,1184.3,1187.45,2015188.0,24057.45
2016-03-04,1215.0,1223.95,1187.0,1195.0,1193.2,2292646.0,27529.18
2016-03-03,1148.9,1211.2,1134.45,1210.2,1207.1,3701972.0,43783.03
2016-03-02,1143.0,1150.9,1133.2,1137.0,1137.9,2434802.0,27823.37
2016-03-01,1087.0,1129.0,1081.0,1123.0,1123.95,2431409.0,27046.99
2016-02-29,1114.0,1123.5,1053.05,1074.8,1076.0,3667329.0,40129.7
2016-02-26,1092.5,1117.5,1092.3,1113.95,1110.65,1518648.0,16829.21
2016-02-25,1118.0,1120.0,1082.0,1088.0,1086.45,1770188.0,19486.34
2016-02-24,1122.0,1130.0,1110.0,1110.05,1112.9,1210767.0,13543.38
2016-02-23,1155.25,1156.0,1125.1,1127.0,1130.15,1363786.0,15488.79
2016-02-22,1150.0,1168.25,1140.2,1150.9,1149.75,1369654.0,15816.95
2016-02-19,1146.15,1168.9,1131.4,1150.0,1150.5,2024596.0,23277.02
2016-02-18,1134.4,1174.95,1133.0,1148.05,1149.65,3638112.0,42095.39
2016-02-17,1105.6,1133.7,1082.15,1124.95,1122.45,2319608.0,25790.15
2016-02-16,1157.9,1157.9,1099.3,1100.1,1104.0,2365827.0,26537.48
2016-02-15,1072.3,1154.7,1064.55,1149.0,1149.4,3959484.0,44641.86
2016-02-12,1099.6,1102.5,1016.05,1051.0,1053.65,4106827.0,43215.62
2016-02-11,1118.7,1125.25,1079.0,1094.0,1092.4,2930014.0,32193.68
2016-02-10,1107.7,1130.0,1103.0,1125.0,1120.6,2135918.0,23829.12
2016-02-09,1115.0,1127.95,1102.4,1115.25,1114.2,1682083.0,18758.12
2016-02-08,1141.0,1157.85,1120.4,1122.85,1130.3,1692831.0,19347.98
2016-02-05,1141.8,1152.0,1126.55,1145.0,1139.9,2667253.0,30340.31
2016-02-04,1119.0,1149.85,1118.2,1138.0,1135.7,3971033.0,45178.99
2016-02-03,1106.8,1120.0,1092.3,1112.8,1108.8,2487730.0,27454.2
2016-02-02,1124.0,1145.0,1111.0,1118.95,1121.9,3003762.0,33820.63
2016-02-01,1125.0,1158.95,1110.1,1120.0,1122.05,4702634.0,53375.76
2016-01-29,1074.0,1109.0,1070.2,1099.0,1101.65,3232658.0,35229.87
2016-01-28,1101.0,1103.5,1070.0,1074.25,1074.5,3863151.0,41865.81
2016-01-27,1122.0,1122.0,1097.65,1105.5,1107.8,1745430.0,19330.12
2016-01-25,1151.0,1157.85,1108.9,1111.7,1114.15,1648544.0,18601.03
2016-01-22,1115.9,1145.0,1110.3,1144.75,1142.2,2463246.0,27925.86
2016-01-21,1130.0,1137.6,1091.1,1103.0,1102.7,2534708.0,28156.94
2016-01-20,1100.95,1122.5,1077.35,1114.45,1116.1,3904503.0,42737.29
2016-01-19,1084.3,1132.5,1069.1,1121.0,1122.95,2915024.0,32308.0
2016-01-18,1106.0,1110.0,1074.0,1079.0,1083.55,2777755.0,30188.61
2016-01-15,1139.9,1141.5,1100.0,1110.0,1107.9,2658578.0,29690.85
2016-01-14,1134.4,1155.0,1110.1,1135.55,1134.65,3399812.0,38590.02
2016-01-13,1194.0,1194.0,1128.1,1149.95,1156.75,3746626.0,43179.14
2016-01-12,1186.35,1200.0,1173.25,1180.0,1179.15,2730130.0,32425.68
2016-01-11,1162.0,1184.9,1145.05,1182.55,1173.35,2869522.0,33425.87
2016-01-08,1215.1,1216.9,1175.0,1176.8,1179.1,3570675.0,42439.85
2016-01-07,1228.15,1228.35,1200.0,1208.0,1206.4,3126507.0,37751.82
2016-01-06,1259.0,1259.8,1235.0,1235.5,1236.85,1819090.0,22710.29
2016-01-05,1262.8,1269.0,1252.5,1254.0,1256.9,1646756.0,20750.83
2016-01-04,1286.0,1289.95,1253.3,1253.55,1255.95,1844842.0,23367.46
2016-01-01,1279.0,1291.0,1272.55,1288.1,1289.2,751822.0,9660.8
2015-12-31,1286.0,1286.55,1272.15,1277.0,1275.45,1549912.0,19797.45
2015-12-30,1293.5,1298.0,1281.5,1283.5,1283.5,1207818.0,15587.17
2015-12-29,1300.0,1301.0,1285.3,1288.0,1289.55,1520061.0,19648.54
2015-12-28,1297.15,1300.2,1288.15,1289.0,1295.15,1571842.0,20337.56
2015-12-24,1296.8,1301.5,1286.3,1294.0,1294.5,1484965.0,19223.92
2015-12-23,1288.0,1299.0,1283.0,1290.0,1291.0,1613453.0,20843.81
2015-12-22,1291.0,1296.9,1276.0,1278.25,1280.2,1748333.0,22477.48
2015-12-21,1286.45,1297.7,1284.5,1291.0,1290.3,1173446.0,15157.38
2015-12-18,1291.85,1308.6,1284.1,1287.0,1287.4,2623330.0,34025.24
2015-12-17,1289.0,1299.7,1281.55,1295.3,1296.2,2509524.0,32383.34
2015-12-16,1290.75,1299.0,1276.0,1281.1,1280.9,2234035.0,28755.43
2015-12-15,1275.0,1289.3,1265.1,1282.0,1283.2,2222164.0,28398.13
2015-12-14,1284.4,1292.35,1264.5,1277.25,1274.4,2673504.0,34182.56
2015-12-11,1311.1,1313.75,1276.55,1286.4,1285.75,2742679.0,35360.66
2015-12-10,1309.6,1317.75,1301.0,1309.55,1310.95,1928874.0,25283.45
2015-12-09,1320.1,1324.95,1298.4,1300.9,1300.7,2218455.0,29022.08
2015-12-08,1337.95,1340.0,1314.0,1315.25,1322.1,1478559.0,19651.58
2015-12-07,1345.45,1351.5,1336.1,1340.15,1341.15,1099343.0,14762.93
2015-12-04,1340.55,1351.3,1338.0,1339.1,1339.85,1467437.0,19717.63
2015-12-03,1350.5,1364.9,1344.25,1348.0,1347.85,1184154.0,16039.51
2015-12-02,1368.0,1374.0,1351.85,1353.55,1354.0,1187481.0,16141.16
2015-12-01,1375.0,1382.9,1360.55,1366.0,1364.85,918083.0,12579.4
2015-11-30,1364.85,1383.95,1364.0,1371.5,1374.6,2408927.0,33143.98
2015-11-27,1336.4,1367.5,1336.0,1364.95,1365.0,2308646.0,31349.35
2015-11-26,1349.75,1354.3,1330.15,1337.5,1332.65,2717972.0,36467.13
2015-11-24,1363.0,1368.9,1337.5,1341.0,1341.55,1741236.0,23542.92
2015-11-23,1370.0,1383.9,1365.05,1365.5,1368.9,1452043.0,19963.62
2015-11-20,1362.4,1373.4,1344.5,1368.1,1366.85,1695777.0,23119.81
2015-11-19,1358.0,1365.0,1350.1,1360.0,1358.95,1204470.0,16367.97
2015-11-18,1354.0,1369.0,1341.0,1341.5,1344.45,1691665.0,22930.35
2015-11-17,1368.5,1372.5,1345.0,1350.8,1351.75,1863485.0,25258.86
2015-11-16,1329.5,1362.8,1326.0,1357.9,1357.15,2302006.0,31060.91
2015-11-13,1359.0,1359.0,1330.0,1330.65,1331.2,1819277.0,24358.1
2015-11-11,1364.0,1368.9,1357.0,1368.0,1365.85,424334.0,5787.95
2015-11-10,1355.05,1367.5,1343.0,1350.0,1348.4,2368611.0,32039.07
2015-11-09,1350.0,1364.0,1331.1,1357.2,1359.05,2596587.0,35192.27
2015-11-06,1373.0,1386.5,1372.1,1376.55,1377.25,1878548.0,25914.71
2015-11-05,1370.0,1379.55,1364.0,1367.0,1368.95,2482285.0,34045.63
2015-11-04,1388.0,1388.0,1365.0,1368.45,1368.1,2591003.0,35657.88
2015-11-03,1396.9,1396.9,1367.6,1369.0,1373.3,3477277.0,47980.7
2015-11-02,1400.0,1404.0,1374.25,1385.9,1388.65,4948639.0,68428.27
2015-10-30,1473.0,1497.7,1400.0,1407.9,1410.75,7609622.0,109720.89
2015-10-29,1495.0,1495.95,1466.6,1468.5,1470.75,1934401.0,28591.08
2015-10-28,1489.9,1499.0,1483.0,1494.05,1492.75,1681474.0,25052.81
2015-10-27,1505.1,1523.0,1490.1,1496.5,1494.75,2534153.0,38056.39
2015-10-26,1520.05,1530.0,1504.0,1512.0,1508.45,1757340.0,26672.51
2015-10-23,1562.05,1569.85,1506.25,1514.0,1510.3,2864712.0,43778.46
2015-10-21,1575.95,1577.55,1546.05,1549.0,1550.45,1390739.0,21664.91
2015-10-20,1585.7,1596.8,1568.1,1573.0,1573.55,1462864.0,23150.52
2015-10-19,1607.9,1610.0,1575.3,1583.0,1580.8,1262166.0,20050.18
2015-10-16,1565.5,1608.9,1552.55,1607.0,1604.95,1720475.0,27311.61
