Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,1477.0,1477.0,1456.0,1461.1,1464.0,549107.0,8034.38
2016-06-16,1467.0,1473.0,1450.95,1464.0,1466.2,747330.0,10940.5
2016-06-15,1465.7,1465.7,1445.4,1462.3,1463.0,560727.0,8180.31
2016-06-14,1460.0,1462.25,1445.1,1453.5,1450.9,498431.0,7233.48
2016-06-13,1437.0,1463.75,1430.2,1454.3,1452.55,1073088.0,15567.4
2016-06-10,1423.45,1455.0,1423.45,1439.2,1437.45,1096107.0,15810.07
2016-06-09,1411.1,1440.0,1397.4,1423.45,1427.2,2025083.0,28835.21
2016-06-08,1436.25,1442.0,1419.65,1431.5,1430.8,1084830.0,15516.77
2016-06-07,1406.0,1443.95,1395.0,1442.0,1434.85,2157157.0,30694.34
2016-06-06,1465.0,1465.0,1414.35,1415.05,1419.35,1899200.0,27316.14
2016-06-03,1475.35,1482.85,1446.0,1448.4,1450.1,1691266.0,24630.21
2016-06-02,1480.0,1494.9,1465.0,1475.5,1475.35,1736436.0,25593.36
2016-06-01,1479.65,1500.0,1478.0,1491.9,1490.25,1880118.0,28018.25
2016-05-31,1470.9,1495.0,1463.45,1477.2,1474.75,2522011.0,37233.75
2016-05-30,1489.95,1493.7,1454.1,1465.1,1467.85,1365114.0,20039.99
2016-05-27,1489.0,1535.45,1475.05,1482.65,1480.1,3122857.0,46937.99
2016-05-26,1487.8,1487.8,1462.0,1473.0,1469.95,1573541.0,23139.13
2016-05-25,1481.0,1495.0,1468.25,1475.0,1472.35,862728.0,12737.62
2016-05-24,1460.0,1504.25,1443.3,1471.0,1465.15,2421523.0,35565.73
2016-05-23,1521.5,1526.5,1451.0,1455.0,1465.05,2351450.0,35211.82
2016-05-20,1618.0,1618.0,1497.5,1506.0,1504.8,4490960.0,69129.51
2016-05-19,1654.0,1689.0,1636.35,1645.0,1655.45,3518163.0,58473.86
2016-05-18,1609.5,1646.0,1602.05,1638.6,1638.15,892492.0,14549.45
2016-05-17,1614.0,1624.85,1602.45,1612.3,1613.0,539135.0,8703.69
2016-05-16,1595.0,1611.2,1571.3,1607.7,1603.85,809752.0,12940.16
2016-05-13,1606.0,1616.95,1585.0,1589.6,1588.7,633055.0,10083.53
2016-05-12,1601.0,1623.85,1596.05,1614.0,1616.45,333710.0,5382.58
2016-05-11,1600.0,1611.5,1591.0,1598.9,1593.55,752825.0,12049.5
2016-05-10,1608.95,1620.0,1598.0,1612.05,1614.7,466392.0,7512.45
2016-05-09,1599.0,1610.0,1592.6,1604.0,1605.4,345726.0,5546.15
2016-05-06,1609.3,1609.3,1578.5,1585.1,1586.85,399928.0,6352.2
2016-05-05,1594.75,1613.5,1586.25,1606.0,1603.6,693119.0,11107.84
2016-05-04,1564.25,1591.0,1560.0,1581.5,1577.75,577618.0,9111.06
2016-05-03,1620.1,1632.0,1565.35,1567.75,1575.6,1270045.0,20264.45
2016-05-02,1616.0,1626.5,1603.05,1618.95,1619.05,748702.0,12124.98
2016-04-29,1580.9,1617.85,1568.6,1604.4,1607.25,1849743.0,29688.91
2016-04-28,1566.05,1585.0,1560.2,1579.3,1576.3,1791123.0,28237.86
2016-04-27,1566.2,1580.0,1553.0,1565.0,1569.9,717219.0,11226.44
2016-04-26,1539.0,1585.0,1526.5,1577.0,1579.15,933431.0,14559.34
2016-04-25,1556.3,1557.0,1535.5,1540.0,1542.7,500655.0,7724.39
2016-04-22,1550.0,1569.0,1540.3,1555.0,1558.0,614108.0,9565.6
2016-04-21,1580.0,1580.65,1552.35,1557.0,1561.0,616382.0,9657.25
2016-04-20,1589.0,1590.0,1555.4,1575.05,1572.6,1762008.0,27685.4
2016-04-18,1543.7,1598.7,1543.7,1575.0,1575.0,2312824.0,36296.44
2016-04-13,1541.05,1568.7,1536.85,1544.0,1548.9,1661309.0,25826.12
2016-04-12,1523.0,1544.4,1523.0,1534.0,1535.95,937807.0,14412.09
2016-04-11,1548.25,1549.0,1501.0,1520.0,1518.75,977906.0,14835.01
2016-04-08,1500.0,1554.8,1500.0,1536.85,1540.1,2848397.0,43806.14
2016-04-07,1496.0,1522.3,1487.35,1512.0,1509.75,3338512.0,50341.95
2016-04-06,1466.6,1493.0,1464.0,1484.0,1485.1,1248298.0,18451.13
