Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,34.0,34.95,32.85,32.85,33.1,1129954.0,382.79
2016-06-16,31.75,33.8,30.5,33.2,33.25,2004879.0,653.6
2016-06-15,29.9,32.3,29.8,31.8,31.9,1324523.0,416.22
2016-06-14,29.85,30.15,29.5,29.65,29.65,194363.0,57.85
2016-06-13,30.0,30.2,29.5,29.75,29.8,172796.0,51.68
2016-06-10,31.0,31.5,30.5,30.9,30.7,395892.0,122.78
2016-06-09,30.85,31.5,30.55,30.65,30.65,283911.0,87.71
2016-06-08,30.6,31.15,30.4,30.9,30.85,261242.0,80.44
2016-06-07,31.05,31.2,30.55,30.75,30.8,378598.0,116.78
2016-06-06,30.4,31.4,29.6,30.75,30.65,643327.0,196.68
2016-06-03,29.8,30.9,29.75,30.2,30.1,573056.0,173.68
2016-06-02,28.1,29.7,27.85,29.6,29.55,802527.0,232.48
2016-06-01,27.4,28.45,27.4,28.1,28.15,263479.0,74.31
2016-05-31,27.35,28.0,27.1,27.8,27.85,303303.0,83.89
2016-05-30,27.5,27.5,26.85,27.3,27.3,184382.0,50.15
2016-05-27,27.55,28.2,26.0,26.9,26.95,606736.0,164.97
2016-05-26,28.6,28.6,27.55,27.65,27.7,276849.0,77.09
2016-05-25,28.95,29.4,28.35,28.35,28.55,244893.0,70.71
2016-05-24,31.4,31.4,28.25,28.75,28.85,1251091.0,367.32
2016-05-23,31.6,31.6,30.15,30.9,30.45,421815.0,129.64
2016-05-20,30.7,31.75,30.7,31.15,31.1,354238.0,110.63
2016-05-19,31.2,31.75,30.5,30.7,30.7,296572.0,92.55
2016-05-18,30.4,31.3,29.5,30.75,30.75,488564.0,149.7
2016-05-17,30.15,30.4,29.9,30.0,30.05,203330.0,61.22
2016-05-16,29.85,30.4,29.0,29.9,29.75,191131.0,57.21
2016-05-13,30.1,30.1,28.8,29.3,29.5,148248.0,43.76
2016-05-12,29.75,30.55,29.6,29.9,29.8,394879.0,119.09
2016-05-11,28.9,30.1,27.1,29.4,29.5,340636.0,99.59
2016-05-10,28.7,29.2,28.45,28.8,28.7,193043.0,55.72
2016-05-09,28.15,28.9,28.05,28.45,28.55,87102.0,24.66
2016-05-06,28.2,28.5,27.4,27.9,28.1,116159.0,32.63
2016-05-05,28.35,28.8,28.0,28.3,28.2,116564.0,33.0
2016-05-04,29.35,29.35,28.0,28.3,28.2,132856.0,38.0
2016-05-03,29.3,29.95,28.6,28.75,28.8,219853.0,64.33
2016-05-02,29.4,30.0,28.85,29.2,29.45,202935.0,59.86
2016-04-29,29.0,30.1,29.0,29.2,29.35,225366.0,66.58
2016-04-28,30.15,30.5,28.8,29.0,29.05,220202.0,65.4
2016-04-27,29.5,30.5,29.5,30.0,30.0,401234.0,120.31
2016-04-26,30.0,31.0,29.1,29.75,29.55,751459.0,227.06
2016-04-25,28.55,30.6,28.55,29.95,30.15,1235125.0,369.62
2016-04-22,28.85,29.45,27.9,28.8,28.65,359670.0,103.81
2016-04-21,28.8,29.15,28.1,28.2,28.3,334674.0,95.81
2016-04-20,27.55,29.3,27.0,28.3,28.4,542707.0,153.43
2016-04-18,28.0,28.25,27.3,27.8,27.75,210876.0,58.53
2016-04-13,28.6,28.7,27.8,27.95,28.05,259391.0,73.18
