Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,4115.0,4158.0,4093.45,4093.45,4114.5,951658.0,39316.82
2016-06-16,4160.0,4164.0,4062.0,4080.0,4084.1,1118517.0,45828.09
2016-06-15,4125.0,4215.0,4112.1,4211.5,4209.6,510807.0,21247.07
2016-06-14,4145.0,4155.9,4096.0,4099.95,4104.5,403193.0,16622.42
2016-06-13,4074.0,4150.0,4062.0,4149.0,4134.75,385639.0,15833.48
2016-06-10,4165.1,4197.0,4100.0,4100.05,4111.5,464892.0,19298.63
2016-06-09,4152.05,4189.75,4140.0,4169.9,4169.15,305434.0,12720.28
2016-06-08,4131.0,4169.8,4124.7,4164.95,4160.1,417715.0,17342.77
2016-06-07,4175.0,4188.95,4118.0,4135.05,4135.65,471388.0,19574.58
2016-06-06,4216.0,4217.0,4118.0,4140.0,4142.0,443085.0,18395.19
2016-06-03,4192.15,4235.0,4180.0,4213.0,4217.95,591630.0,24945.43
2016-06-02,4150.0,4194.95,4124.0,4184.0,4186.65,411143.0,17108.09
2016-06-01,4170.7,4199.95,4150.0,4154.55,4165.35,647041.0,26997.5
2016-05-31,4060.0,4180.0,4055.05,4154.05,4161.6,775477.0,32077.19
2016-05-30,4132.0,4155.2,4054.0,4069.15,4071.75,555311.0,22753.9
2016-05-27,4114.7,4162.0,4091.05,4132.2,4146.6,880888.0,36443.25
2016-05-26,4064.0,4125.0,4027.2,4120.0,4118.0,1074664.0,43985.81
2016-05-25,3948.0,4072.0,3940.0,4064.0,4060.95,842663.0,33889.84
2016-05-24,3913.8,3937.95,3893.15,3928.95,3924.2,283533.0,11110.68
2016-05-23,3964.0,3968.3,3900.0,3904.0,3913.85,348354.0,13738.21
2016-05-20,3883.8,3959.0,3881.1,3941.9,3944.95,485214.0,19079.1
2016-05-19,3900.0,3940.0,3881.0,3907.1,3926.6,679821.0,26611.81
2016-05-18,3928.8,3939.0,3805.05,3907.1,3914.9,1921044.0,74373.28
2016-05-17,3891.05,3969.0,3886.25,3945.05,3950.7,865028.0,34042.0
2016-05-16,3870.0,3895.0,3840.0,3890.0,3881.6,878812.0,33932.07
