Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,93.8,94.25,92.4,93.0,93.05,213815.0,199.94
2016-06-16,93.85,94.3,92.5,92.75,92.85,235616.0,219.17
2016-06-15,94.35,95.0,93.55,93.95,94.1,198935.0,187.35
2016-06-14,93.75,94.8,93.25,93.75,93.9,238651.0,224.68
2016-06-13,93.55,94.4,92.9,93.85,93.75,237945.0,222.93
2016-06-10,97.5,98.5,94.4,94.75,94.9,1332437.0,1278.48
2016-06-09,96.8,99.35,95.5,96.25,96.7,755134.0,735.32
2016-06-08,94.0,97.7,93.7,96.8,96.65,572675.0,551.6
2016-06-07,95.45,96.2,93.2,93.6,93.9,266227.0,251.62
2016-06-06,95.7,96.8,93.75,95.25,95.25,295633.0,281.97
2016-06-03,98.9,98.9,95.8,96.0,96.15,290918.0,283.46
2016-06-02,96.4,98.8,95.05,98.0,97.9,343014.0,331.74
2016-06-01,97.2,97.9,95.15,95.5,95.95,553787.0,535.5
2016-05-31,98.0,100.95,96.25,97.2,96.85,1855348.0,1824.89
2016-05-30,95.8,96.85,95.1,96.4,96.0,268913.0,258.33
2016-05-27,94.75,97.45,94.5,94.75,95.2,422921.0,404.15
2016-05-26,95.95,96.2,94.0,94.5,94.7,309022.0,294.11
2016-05-25,94.0,95.65,93.15,94.6,94.95,247122.0,233.87
2016-05-24,97.4,97.4,91.4,92.9,92.8,338235.0,316.9
2016-05-23,99.9,100.15,95.8,95.95,96.55,260185.0,253.92
2016-05-20,101.3,101.8,98.0,98.6,98.8,284855.0,284.92
2016-05-19,102.0,103.7,100.05,100.25,100.9,356343.0,363.08
2016-05-18,103.85,103.85,101.4,101.85,101.75,251846.0,257.06
2016-05-17,107.5,108.9,101.8,102.9,103.6,1964727.0,2091.5
2016-05-16,101.95,105.7,100.0,105.7,105.25,692793.0,716.8
2016-05-13,102.05,104.9,99.6,101.5,101.45,841989.0,859.57
2016-05-12,101.65,103.0,101.5,102.0,102.05,221651.0,226.57
2016-05-11,102.0,103.0,101.1,101.6,101.7,219200.0,223.56
2016-05-10,104.9,105.4,103.0,103.2,103.25,176291.0,183.28
2016-05-09,105.0,105.75,103.55,104.3,104.85,178686.0,187.09
2016-05-06,103.95,104.4,102.7,103.4,103.8,152953.0,158.2
2016-05-05,104.2,105.0,102.45,103.8,103.35,168196.0,174.74
2016-05-04,106.3,106.65,102.8,104.4,103.85,251157.0,262.39
2016-05-03,107.9,110.25,105.4,105.85,106.3,769284.0,835.65
2016-05-02,104.85,108.0,103.3,107.25,106.75,384689.0,406.8
2016-04-29,102.75,106.7,102.7,104.05,104.35,398193.0,416.86
2016-04-28,104.35,105.4,101.45,102.55,102.5,218530.0,226.09
2016-04-27,104.0,104.95,103.25,103.8,103.75,222211.0,231.04
2016-04-26,105.3,105.6,104.0,104.3,104.45,219143.0,229.53
2016-04-25,107.05,107.7,104.5,105.4,105.3,357842.0,379.84
2016-04-22,104.05,108.4,104.0,106.1,106.5,986517.0,1052.63
2016-04-21,102.0,106.0,102.0,105.1,104.35,680228.0,709.93
2016-04-20,103.25,103.7,101.05,101.45,101.75,261802.0,268.25
2016-04-18,102.85,104.9,101.05,102.7,102.9,370430.0,381.61
2016-04-13,102.7,104.7,102.0,102.3,102.6,507598.0,524.31
2016-04-12,102.0,104.3,101.25,101.75,101.85,344997.0,354.23
2016-04-11,101.95,103.4,100.7,101.9,101.65,376422.0,384.47
2016-04-08,102.0,102.7,100.8,101.55,101.55,208960.0,212.52
2016-04-07,105.0,105.55,102.0,102.35,102.65,333705.0,345.67
2016-04-06,103.9,105.45,101.55,104.6,104.35,494930.0,512.41
2016-04-05,104.4,108.5,102.6,102.9,103.25,2050294.0,2173.32
2016-04-04,98.25,107.7,97.1,104.6,104.85,2228840.0,2322.41
2016-04-01,96.85,98.8,96.0,98.2,97.9,185772.0,181.49
2016-03-31,99.7,101.7,95.6,96.0,96.7,551978.0,545.54
2016-03-30,96.55,97.8,96.0,97.15,97.4,159299.0,154.46
2016-03-29,95.25,96.7,94.05,96.1,95.3,382291.0,363.92
2016-03-28,97.05,99.7,94.65,95.25,95.55,246522.0,240.54
2016-03-23,94.2,98.9,94.2,96.75,96.9,685500.0,665.92
2016-03-22,93.8,94.5,92.6,93.25,93.35,166412.0,155.65
2016-03-21,93.5,94.5,92.5,93.0,93.4,183408.0,171.37
2016-03-18,95.4,95.7,92.1,92.6,92.55,202992.0,188.96
2016-03-17,96.1,97.7,94.2,95.2,94.95,158013.0,151.43
2016-03-16,95.8,96.8,94.5,94.65,95.25,299953.0,286.07
2016-03-15,98.3,98.6,95.5,95.65,95.8,308015.0,296.25
2016-03-14,100.65,101.5,97.15,97.35,97.95,223359.0,221.37
2016-03-11,101.55,101.7,99.1,99.7,99.7,207832.0,208.64
2016-03-10,103.7,104.65,100.5,100.95,101.05,326848.0,333.61
2016-03-09,100.15,104.9,99.5,102.6,103.05,401492.0,411.51
2016-03-08,99.8,102.9,98.2,101.3,101.15,388437.0,393.36
2016-03-04,100.7,102.7,98.0,99.3,99.8,344845.0,345.31
2016-03-03,102.85,102.9,99.4,99.6,100.25,255448.0,257.35
2016-03-02,96.6,104.2,95.4,102.15,102.0,709112.0,712.4
2016-03-01,90.65,95.75,87.95,95.15,94.9,367848.0,342.0
2016-02-29,91.15,93.7,89.0,89.4,89.8,236012.0,215.78
2016-02-26,92.5,93.8,90.0,91.0,91.1,218224.0,199.43
2016-02-25,92.65,93.8,90.35,91.0,91.25,136120.0,124.58
2016-02-24,93.9,93.9,91.3,92.65,92.35,153205.0,141.66
2016-02-23,95.4,95.45,92.95,94.7,94.1,196116.0,184.5
2016-02-22,97.2,97.85,95.05,95.5,95.4,222442.0,213.79
2016-02-19,96.95,98.0,94.6,98.0,96.95,239213.0,231.34
2016-02-18,97.9,100.95,94.75,96.65,96.7,564011.0,551.72
2016-02-17,95.2,95.2,89.2,94.4,93.9,376760.0,346.71
2016-02-16,101.7,103.8,93.0,93.9,94.25,302012.0,295.79
2016-02-15,95.8,101.5,92.5,100.6,99.65,483348.0,478.86
2016-02-12,95.9,96.55,87.6,92.0,91.75,366114.0,331.02
2016-02-11,100.6,102.5,91.6,93.65,93.1,338114.0,325.78
2016-02-10,102.3,104.9,96.1,101.0,101.1,314997.0,319.19
2016-02-09,102.45,103.9,100.15,103.8,102.9,349451.0,357.79
2016-02-08,97.0,105.0,93.2,103.5,103.5,760592.0,777.05
2016-02-05,91.2,98.4,88.1,97.0,96.7,749403.0,708.95
2016-02-04,95.65,99.75,89.4,91.55,91.2,312359.0,293.56
2016-02-03,97.9,97.9,92.25,94.45,93.8,317295.0,299.42
2016-02-02,102.9,102.9,99.0,99.5,99.75,212904.0,214.94
2016-02-01,104.8,105.5,101.75,102.9,102.9,304477.0,314.75
2016-01-29,102.9,104.6,102.1,103.5,103.3,266868.0,276.17
2016-01-28,109.0,109.5,99.75,101.8,101.35,852307.0,877.73
2016-01-27,110.25,114.35,109.1,111.05,111.15,413613.0,460.56
2016-01-25,112.65,112.95,108.8,109.0,109.6,365646.0,405.66
2016-01-22,105.5,111.0,104.1,109.05,109.55,545422.0,591.46
2016-01-21,105.6,106.0,101.1,104.0,103.2,312515.0,322.44
2016-01-20,104.0,104.5,100.4,102.2,102.15,359779.0,369.21
2016-01-19,102.0,108.9,101.2,108.0,107.95,477672.0,500.36
2016-01-18,104.6,109.75,100.15,101.1,101.75,388172.0,406.23
2016-01-15,118.0,121.0,107.0,111.0,111.0,315611.0,365.63
2016-01-14,117.7,119.7,113.0,117.05,116.5,364956.0,426.35
2016-01-13,128.0,129.0,112.35,119.5,119.95,749614.0,901.45
2016-01-12,129.9,131.4,125.8,126.4,126.65,266698.0,342.53
2016-01-11,125.9,130.4,125.9,128.65,128.6,229902.0,295.34
2016-01-08,128.7,130.9,128.0,129.4,128.85,220991.0,285.8
2016-01-07,132.85,132.85,126.3,126.3,127.3,309467.0,398.09
2016-01-06,133.9,138.4,133.5,134.25,134.45,680639.0,923.61
2016-01-05,131.75,134.0,128.2,131.45,131.0,196802.0,258.68
2016-01-04,133.0,135.0,129.5,131.7,131.1,296441.0,390.47
2016-01-01,132.45,135.3,132.45,132.95,133.1,206253.0,275.93
2015-12-31,132.05,135.65,131.05,133.0,132.95,219190.0,292.07
2015-12-30,135.8,136.0,132.0,134.4,133.05,182546.0,244.84
2015-12-29,138.0,138.45,134.25,135.0,135.05,305575.0,414.9
2015-12-28,138.45,143.0,136.3,137.9,137.9,694358.0,968.65
2015-12-24,135.8,135.8,133.3,134.4,134.4,193310.0,259.55
2015-12-23,136.45,136.8,134.1,135.5,135.05,196384.0,266.09
2015-12-22,138.3,138.7,133.5,135.8,135.25,324325.0,441.36
2015-12-21,133.75,138.6,133.4,138.3,137.75,698037.0,955.72
2015-12-18,128.5,134.8,128.15,134.0,134.15,760637.0,1010.94
2015-12-17,128.15,130.5,127.4,129.25,129.2,305372.0,394.29
2015-12-16,127.9,129.9,125.7,126.0,126.45,274359.0,350.3
2015-12-15,126.5,128.85,125.7,126.6,126.9,307269.0,391.07
2015-12-14,124.0,127.05,123.45,124.95,125.35,342149.0,428.21
2015-12-11,126.9,127.05,122.0,124.7,124.0,222871.0,277.82
2015-12-10,122.55,126.4,122.55,126.0,125.5,270211.0,336.72
2015-12-09,125.8,127.0,121.2,122.8,122.45,344346.0,425.25
2015-12-08,130.0,132.1,126.15,127.2,127.3,434195.0,561.74
2015-12-07,132.5,135.0,130.0,131.0,130.55,306873.0,406.04
2015-12-04,131.75,135.9,129.9,131.5,131.25,412506.0,547.71
2015-12-03,136.5,137.7,132.5,132.95,133.3,285115.0,385.03
2015-12-02,141.2,142.0,136.65,136.75,137.05,394687.0,545.5
2015-12-01,142.8,143.5,139.0,140.15,140.65,605463.0,854.02
2015-11-30,135.0,145.0,133.65,142.7,143.1,1408528.0,1986.62
2015-11-27,137.85,137.85,132.65,134.4,134.7,438822.0,593.22
2015-11-26,134.3,138.0,133.4,136.7,137.15,472949.0,643.88
2015-11-24,137.1,137.1,132.1,134.3,133.9,369446.0,494.98
