Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,212.65,212.75,210.2,210.65,210.75,3145070.0,6641.32
2016-06-16,213.0,213.05,210.55,211.5,211.7,2197461.0,4648.34
2016-06-15,213.3,214.5,212.55,213.45,213.7,1910356.0,4082.76
2016-06-14,213.95,214.8,211.2,213.0,212.8,2033334.0,4328.96
2016-06-13,216.0,216.4,212.5,213.65,213.25,1943235.0,4155.22
2016-06-10,220.0,222.7,217.0,218.0,218.2,2967989.0,6539.66
2016-06-09,217.05,222.3,217.0,220.4,220.65,7021791.0,15441.13
2016-06-08,214.5,217.25,214.0,215.4,215.75,3661292.0,7903.95
2016-06-07,212.0,213.95,211.75,213.15,212.95,3712315.0,7897.54
2016-06-06,212.7,213.35,210.3,210.7,210.8,2443566.0,5174.25
2016-06-03,213.8,214.5,211.1,211.7,211.85,2897290.0,6154.01
2016-06-02,210.5,213.85,209.15,212.75,212.8,2719673.0,5761.79
2016-06-01,211.4,213.3,210.1,210.6,210.65,3014538.0,6382.85
2016-05-31,215.0,215.5,209.8,210.5,210.75,5860801.0,12391.73
2016-05-30,214.0,215.7,213.0,213.0,213.45,3059420.0,6551.02
2016-05-27,218.0,218.9,211.8,212.6,213.0,6696058.0,14397.47
2016-05-26,211.0,221.15,210.7,214.0,216.05,9013234.0,19402.47
2016-05-25,208.7,210.75,208.15,210.0,210.15,2072299.0,4347.1
2016-05-24,208.5,208.7,204.55,207.0,206.65,2725001.0,5610.02
2016-05-23,214.2,214.5,207.5,207.95,208.15,3897089.0,8162.92
2016-05-20,211.8,214.65,210.45,213.0,213.1,3051322.0,6500.74
2016-05-19,213.0,213.25,209.2,209.45,210.05,4493585.0,9470.45
2016-05-18,210.3,215.3,209.6,213.65,214.25,5888150.0,12573.45
2016-05-17,205.6,212.0,205.1,210.3,210.25,9771619.0,20447.86
2016-05-16,204.4,204.9,200.0,202.1,202.6,6728337.0,13568.15
2016-05-13,205.95,205.95,202.0,203.4,203.75,4841380.0,9863.1
2016-05-12,208.1,208.45,204.75,206.2,206.3,4707558.0,9690.8
2016-05-11,206.95,206.95,203.1,205.6,205.25,3654058.0,7508.52
2016-05-10,211.95,211.95,206.3,208.1,207.9,2616101.0,5446.8
2016-05-09,209.9,212.5,209.1,212.4,211.6,2672433.0,5635.99
2016-05-06,210.55,210.65,207.1,208.3,208.45,2218549.0,4625.97
2016-05-05,211.95,213.25,210.0,210.2,210.5,3060130.0,6469.88
2016-05-04,214.8,215.3,210.0,210.15,210.65,2831831.0,6009.77
2016-05-03,219.05,219.7,213.0,215.45,215.3,3870928.0,8388.14
2016-05-02,218.0,220.9,216.0,217.9,217.75,3274574.0,7154.08
2016-04-29,218.05,220.75,215.6,217.35,217.25,4058978.0,8856.25
2016-04-28,222.3,225.4,215.25,218.1,216.85,7731894.0,16972.86
2016-04-27,216.0,223.75,215.9,221.75,221.8,7024295.0,15560.58
2016-04-26,212.2,215.6,210.95,214.8,214.3,2760063.0,5900.13
2016-04-25,216.45,216.45,211.7,212.5,212.3,1875884.0,4007.18
2016-04-22,215.9,217.35,212.65,215.65,216.1,2998135.0,6466.92
2016-04-21,212.15,214.45,211.75,213.1,212.95,4691426.0,10005.46
2016-04-20,208.9,210.7,208.05,209.65,209.85,3213606.0,6742.53
2016-04-18,211.75,211.75,206.1,207.15,207.55,3300134.0,6848.91
2016-04-13,215.0,215.4,212.8,213.0,213.35,4291748.0,9192.49
2016-04-12,207.85,212.65,207.15,210.85,211.35,4228853.0,8902.73
2016-04-11,208.6,209.25,205.2,207.7,207.6,3461763.0,7172.65
2016-04-08,207.8,209.45,205.65,206.15,206.15,1612169.0,3339.43
2016-04-07,209.05,209.5,206.7,207.1,207.75,3363385.0,6991.82
2016-04-06,206.7,208.0,204.0,207.0,206.1,2878339.0,5911.36
2016-04-05,206.0,208.5,204.05,205.5,205.5,3271181.0,6722.35
2016-04-04,208.45,208.65,204.55,207.8,207.3,3662685.0,7549.49
2016-04-01,214.5,214.95,208.1,209.35,208.8,6844130.0,14363.2
2016-03-31,214.7,217.55,212.15,214.15,214.1,12174420.0,26098.88
2016-03-30,213.0,219.0,212.3,217.8,217.9,3899882.0,8456.69
2016-03-29,215.95,216.0,210.7,212.25,212.25,3335457.0,7076.77
2016-03-28,216.5,218.7,212.4,214.0,213.95,4803983.0,10294.45
2016-03-23,216.4,217.75,211.9,214.5,214.6,3985485.0,8522.35
2016-03-22,216.65,219.15,215.0,216.25,216.1,4407038.0,9534.66
2016-03-21,214.0,217.5,213.0,217.0,216.65,3867830.0,8350.91
2016-03-18,213.75,215.0,212.5,214.2,214.6,4517487.0,9684.52
2016-03-17,208.55,214.9,208.5,211.3,212.25,5596216.0,11873.61
2016-03-16,207.3,208.75,204.9,206.15,206.5,3459103.0,7142.02
2016-03-15,206.0,207.9,205.05,207.6,207.4,3669637.0,7573.85
2016-03-14,207.5,209.0,205.75,207.7,208.25,4999098.0,10374.07
2016-03-11,207.6,207.6,202.2,205.55,205.1,9508077.0,19422.0
2016-03-10,208.95,208.95,204.35,205.0,205.7,8978582.0,18536.09
2016-03-09,202.0,206.0,201.3,205.85,205.25,5125877.0,10463.0
2016-03-08,202.75,206.35,201.0,201.85,201.85,8172531.0,16640.36
2016-03-04,199.9,204.4,199.0,200.95,200.7,15015364.0,30310.43
2016-03-03,196.5,200.85,193.75,197.15,197.2,11244497.0,22185.06
2016-03-02,194.4,197.3,192.1,195.0,194.95,10349971.0,20151.3
2016-03-01,193.9,193.9,188.55,192.0,191.5,15412098.0,29445.84
2016-02-29,217.25,221.1,192.5,192.8,194.1,15873238.0,32222.41
2016-02-26,217.4,218.55,214.1,215.35,216.05,2803883.0,6064.3
2016-02-25,212.4,217.8,209.6,217.0,216.25,3852323.0,8249.78
2016-02-24,212.8,212.8,208.2,208.95,209.4,1745437.0,3667.02
2016-02-23,215.7,217.8,211.85,213.8,214.6,2395578.0,5154.07
2016-02-22,212.0,215.1,210.7,215.0,214.4,2401228.0,5125.16
2016-02-19,206.95,212.1,206.0,211.0,211.15,3612713.0,7541.41
2016-02-18,203.65,210.6,203.0,207.6,209.1,5199775.0,10802.7
2016-02-17,200.0,202.0,197.2,200.0,200.35,4860013.0,9716.24
2016-02-16,203.65,206.1,198.1,199.6,199.95,6994009.0,14130.12
2016-02-15,198.6,201.2,194.65,199.25,200.35,4771870.0,9501.63
2016-02-12,200.0,200.0,187.75,193.55,193.25,6735103.0,13042.03
2016-02-11,213.8,213.9,200.05,201.45,203.15,5858032.0,12053.79
2016-02-10,213.85,216.0,210.8,214.2,213.5,2711173.0,5789.78
2016-02-09,210.9,219.55,210.5,216.8,218.15,2434497.0,5264.04
2016-02-08,220.0,220.2,211.65,212.0,214.05,1842740.0,3989.03
2016-02-05,220.3,221.85,217.55,220.6,219.95,3807113.0,8364.2
2016-02-04,217.9,220.5,216.25,219.75,220.0,4011027.0,8799.31
2016-02-03,213.7,217.0,210.3,214.4,213.05,3229311.0,6874.55
2016-02-02,222.2,224.4,215.4,217.2,216.55,4600320.0,10080.58
2016-02-01,227.8,227.8,221.55,224.75,225.05,2548494.0,5712.04
2016-01-29,221.3,227.85,221.0,225.5,226.25,8506493.0,19157.33
2016-01-28,218.0,220.8,215.25,219.3,219.9,5840671.0,12787.46
2016-01-27,219.7,221.75,217.0,218.5,218.4,4496043.0,9891.0
2016-01-25,220.4,221.25,216.55,219.8,219.65,3242696.0,7111.31
2016-01-22,211.95,217.0,209.8,216.3,216.25,4835825.0,10351.25
2016-01-21,213.65,214.75,205.95,206.2,207.3,5919729.0,12358.95
2016-01-20,214.1,215.1,209.2,214.0,213.3,4345939.0,9215.77
2016-01-19,215.6,219.4,211.5,218.0,218.0,2531939.0,5466.09
2016-01-18,217.0,218.0,211.25,214.8,214.4,3822690.0,8200.83
2016-01-15,224.4,224.4,217.8,218.1,219.45,3008388.0,6640.2
2016-01-14,220.95,225.5,216.6,223.6,223.25,4349051.0,9643.26
2016-01-13,223.0,223.95,217.55,223.55,223.2,3589717.0,7936.13
2016-01-12,224.0,224.3,220.0,222.1,221.35,3695782.0,8167.21
2016-01-11,226.0,227.25,222.15,225.65,225.5,4275597.0,9627.78
2016-01-08,228.0,231.8,225.65,231.2,230.15,4598879.0,10559.38
2016-01-07,231.0,233.9,224.05,226.0,226.6,5072924.0,11497.24
2016-01-06,242.0,242.3,234.65,237.0,237.55,2004807.0,4797.84
2016-01-05,240.0,244.25,239.05,241.8,241.85,2430875.0,5875.77
2016-01-04,241.0,244.8,235.65,238.5,238.05,2083421.0,5012.29
2016-01-01,239.9,243.4,238.1,241.55,242.5,1847985.0,4460.82
2015-12-31,239.5,243.8,235.15,239.95,241.75,4399110.0,10574.75
2015-12-30,240.0,242.8,239.4,240.0,239.9,2618588.0,6293.22
2015-12-29,240.0,241.85,237.45,240.0,239.75,2368569.0,5664.41
2015-12-28,234.0,241.3,234.0,239.3,240.2,3531082.0,8434.11
2015-12-24,238.0,239.8,233.3,234.25,233.85,2925695.0,6902.86
2015-12-23,232.9,236.4,231.25,236.1,235.55,4014235.0,9420.5
2015-12-22,230.45,232.5,228.3,230.45,230.55,3064548.0,7067.95
2015-12-21,223.0,231.05,221.7,231.05,230.45,3332878.0,7630.3
2015-12-18,223.0,224.8,221.2,224.3,223.25,4801051.0,10698.1
2015-12-17,226.0,226.3,220.0,225.35,224.8,6152996.0,13704.47
2015-12-16,219.7,227.6,217.35,225.8,226.65,5575795.0,12557.73
2015-12-15,215.0,218.6,213.3,218.3,217.8,3279674.0,7113.11
2015-12-14,212.5,214.6,211.25,213.5,213.4,3185842.0,6784.89
2015-12-11,219.5,220.8,214.4,215.3,215.35,4352597.0,9423.25
2015-12-10,217.9,220.9,214.8,220.0,219.8,4565802.0,10003.23
2015-12-09,215.0,218.0,212.9,217.45,217.1,4215793.0,9074.72
2015-12-08,222.0,222.25,214.05,214.5,215.75,5863135.0,12744.65
2015-12-07,228.05,228.5,222.8,224.1,223.9,2414049.0,5408.16
2015-12-04,227.75,231.1,226.05,227.3,227.2,3415469.0,7776.34
2015-12-03,233.1,233.9,228.1,229.3,229.7,4950787.0,11459.63
2015-12-02,237.1,238.0,233.3,235.2,235.8,2080856.0,4900.38
2015-12-01,234.55,238.45,233.05,235.1,235.6,2363787.0,5594.9
2015-11-30,234.0,235.9,230.2,234.25,234.15,3932293.0,9182.72
2015-11-27,236.5,238.75,234.35,235.45,235.4,1902683.0,4488.94
2015-11-26,233.1,236.9,231.8,235.25,234.85,5467269.0,12808.39
2015-11-24,232.0,238.35,229.75,232.85,232.8,3453149.0,8126.46
2015-11-23,235.0,235.9,231.0,231.5,231.7,1530756.0,3573.63
2015-11-20,233.8,235.75,231.35,233.5,234.05,1734379.0,4063.94
2015-11-19,232.75,233.7,229.25,232.5,233.0,1899896.0,4410.17
2015-11-18,231.05,232.75,228.95,230.3,230.7,2574821.0,5937.19
2015-11-17,231.0,233.25,226.7,232.8,232.35,6290346.0,14441.56
2015-11-16,228.4,230.9,221.25,230.35,230.15,4359243.0,9878.4
2015-11-13,233.05,233.5,228.0,229.7,228.9,4585470.0,10540.57
2015-11-11,238.9,239.4,236.5,236.75,237.0,242992.0,577.48
2015-11-10,245.1,247.8,235.6,237.0,236.7,3894593.0,9297.11
2015-11-09,246.2,251.0,245.05,248.9,249.3,2715318.0,6755.15
2015-11-06,248.7,256.6,248.0,252.0,251.45,4009592.0,10105.37
2015-11-05,250.0,253.8,249.65,251.15,250.65,3230189.0,8136.04
2015-11-04,253.55,254.2,249.8,252.0,252.1,2448364.0,6155.45
2015-11-03,247.2,251.5,245.3,251.45,250.7,1842932.0,4586.87
2015-11-02,246.95,248.8,242.15,248.45,247.4,1352061.0,3316.34
2015-10-30,249.9,250.5,244.1,247.0,246.95,3384349.0,8377.63
2015-10-29,255.0,255.25,250.05,251.0,250.85,7544807.0,18936.36
2015-10-28,245.6,252.5,243.35,251.4,251.8,5787962.0,14300.07
2015-10-27,253.45,254.2,247.25,247.5,247.9,4925106.0,12243.6
2015-10-26,257.0,260.8,254.4,256.0,256.45,2517407.0,6482.53
2015-10-23,255.0,261.0,254.95,257.1,257.3,2277476.0,5891.24
2015-10-21,252.0,257.9,251.5,253.1,253.45,1605370.0,4089.75
2015-10-20,255.6,257.25,252.0,252.25,253.15,2386239.0,6067.82
2015-10-19,264.1,264.35,256.0,258.0,257.85,1796013.0,4656.64
2015-10-16,261.0,265.3,257.0,264.0,264.1,2141724.0,5599.28
2015-10-15,257.1,261.0,254.1,260.5,260.15,2304272.0,5964.81
2015-10-14,254.0,263.3,253.4,255.8,255.0,2960221.0,7598.38
2015-10-13,259.55,261.25,252.25,254.05,253.9,3093904.0,7881.93
2015-10-12,263.75,267.75,262.3,263.9,263.4,2828723.0,7489.96
2015-10-09,261.0,265.0,260.2,262.6,263.65,5676904.0,14951.19
2015-10-08,260.4,260.4,252.25,256.85,257.65,3556943.0,9133.66
2015-10-07,251.0,260.85,251.0,260.0,257.75,6600798.0,16836.39
2015-10-06,241.0,248.65,239.6,247.05,247.35,5109318.0,12535.39
2015-10-05,234.0,241.2,229.0,240.25,240.5,3522070.0,8302.0
2015-10-01,229.35,234.0,228.0,232.0,232.35,2774487.0,6400.59
2015-09-30,228.5,230.8,222.1,230.0,229.35,5129797.0,11626.43
