Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,350.2,385.0,350.15,385.0,381.45,9359.0,34.64
2016-06-16,347.05,363.0,347.0,360.0,356.6,3167.0,11.22
2016-06-15,353.0,357.0,345.0,348.1,350.6,2526.0,8.91
2016-06-14,347.7,353.6,345.0,345.0,345.15,1082.0,3.77
2016-06-13,343.5,358.6,343.5,350.0,351.2,3738.0,13.09
2016-06-10,357.65,358.0,342.25,343.0,345.2,5119.0,17.89
2016-06-09,357.4,357.4,345.05,349.8,345.65,579.0,2.01
2016-06-08,344.25,352.0,344.25,349.95,347.9,1184.0,4.11
2016-06-07,340.25,360.0,340.25,353.8,349.3,1014.0,3.54
2016-06-06,377.0,377.0,348.95,350.1,350.25,3690.0,12.99
2016-06-03,355.0,359.95,351.0,351.0,351.0,6016.0,21.24
2016-06-02,343.0,356.5,343.0,354.0,352.8,2763.0,9.59
2016-06-01,345.0,352.2,337.2,337.2,344.45,1664.0,5.77
2016-05-31,356.3,356.3,345.05,350.0,349.9,6756.0,23.57
2016-05-30,348.05,353.45,347.95,350.2,350.05,3957.0,13.83
2016-05-27,348.0,353.9,344.0,352.0,352.75,1938.0,6.77
2016-05-26,352.35,354.95,348.0,348.0,349.0,1570.0,5.51
2016-05-25,348.65,360.0,348.0,358.0,357.8,32524.0,115.4
2016-05-24,358.7,359.0,350.0,350.0,350.0,3200.0,11.23
2016-05-23,360.0,368.0,350.0,352.8,356.1,7059.0,24.89
2016-05-20,342.5,357.0,342.15,353.0,353.1,11178.0,39.35
2016-05-19,348.0,354.0,347.2,354.0,350.75,9884.0,34.59
2016-05-18,332.25,347.0,332.1,343.0,341.85,8744.0,29.66
2016-05-17,344.95,349.0,330.0,339.05,339.85,9678.0,32.98
2016-05-16,325.0,340.0,307.2,339.0,333.85,21680.0,70.24
2016-05-13,304.95,316.0,300.0,310.4,312.75,32693.0,99.8
2016-05-12,289.95,325.0,285.1,320.0,304.6,20533.0,59.34
2016-05-11,288.0,294.0,282.0,289.85,287.55,1362.0,3.92
2016-05-10,290.0,290.0,281.0,287.35,285.35,2061.0,5.87
2016-05-09,264.05,284.9,264.05,284.85,282.45,1473.0,4.11
2016-05-06,270.0,272.0,266.6,270.0,271.0,1049.0,2.83
2016-05-05,269.0,270.0,263.15,268.0,269.1,782.0,2.08
2016-05-04,262.1,269.0,262.1,267.0,267.0,464.0,1.24
2016-05-03,265.0,272.0,265.0,269.95,267.55,3374.0,9.03
2016-05-02,277.0,277.0,261.3,265.0,264.95,17340.0,45.97
2016-04-29,275.0,281.8,275.0,276.7,277.45,597.0,1.66
2016-04-28,273.05,280.0,273.05,280.0,279.35,1088.0,3.04
2016-04-27,277.5,283.0,276.1,278.5,279.8,1261.0,3.53
2016-04-26,276.95,283.8,276.95,280.0,279.7,863.0,2.41
2016-04-25,282.5,282.5,275.3,277.2,277.85,9269.0,25.89
2016-04-22,286.0,289.85,283.0,285.2,287.3,35281.0,99.91
2016-04-21,290.0,295.0,288.2,288.2,288.9,5419.0,15.83
2016-04-20,294.0,295.0,289.0,290.0,292.2,1481.0,4.33
2016-04-18,289.0,304.45,281.0,292.5,290.85,1288.0,3.74
2016-04-13,296.0,297.0,279.0,283.0,285.45,13326.0,37.86
2016-04-12,291.0,302.0,288.75,293.95,294.05,24611.0,72.55
2016-04-11,292.75,292.75,278.0,290.0,287.7,1103.0,3.16
2016-04-08,282.0,290.0,282.0,286.0,286.5,2345.0,6.66
2016-04-07,282.75,283.0,278.0,282.0,282.0,1951.0,5.47
2016-04-06,283.0,283.0,275.0,279.0,279.3,1832.0,5.12
2016-04-05,290.0,294.9,278.2,282.0,281.5,2249.0,6.37
2016-04-04,291.2,291.25,286.1,286.1,286.35,1652.0,4.77
2016-04-01,284.0,295.05,282.0,288.5,286.4,947.0,2.72
2016-03-31,285.0,288.0,277.3,283.9,283.9,9712.0,27.12
2016-03-30,292.0,292.0,271.5,282.9,280.6,22221.0,62.51
2016-03-29,279.2,279.9,271.2,276.0,275.6,32831.0,89.68
2016-03-28,290.2,290.2,271.25,274.5,273.2,6476.0,18.04
2016-03-23,290.4,293.8,275.2,277.0,279.2,3674.0,10.27
2016-03-22,296.7,296.7,280.25,287.9,288.45,19438.0,55.84
2016-03-21,290.15,298.0,287.25,292.5,291.2,967.0,2.83
2016-03-18,299.5,299.5,291.25,293.0,292.35,1095.0,3.22
2016-03-17,298.0,309.95,292.8,297.0,294.2,14741.0,44.17
2016-03-16,304.9,304.9,291.0,298.95,298.25,28019.0,83.66
2016-03-15,306.0,306.0,295.1,298.6,298.95,26535.0,79.42
2016-03-14,304.7,308.9,296.15,299.05,302.45,13870.0,42.0
2016-03-11,301.2,306.0,290.25,292.0,294.3,2252.0,6.71
2016-03-10,307.05,314.85,296.25,296.6,298.6,5619.0,17.0
2016-03-09,307.1,318.8,305.0,310.6,314.0,12905.0,39.93
2016-03-08,283.9,315.0,272.0,305.0,306.3,14029.0,42.68
2016-03-04,270.1,274.8,269.9,273.4,273.0,2130.0,5.8
2016-03-03,276.0,284.9,268.75,270.25,271.7,4846.0,13.39
2016-03-02,288.0,288.0,273.15,281.7,280.45,2015.0,5.64
2016-03-01,250.65,275.9,250.65,275.9,273.8,15073.0,40.34
2016-02-29,278.75,286.45,245.0,250.1,253.55,16040.0,41.73
2016-02-26,279.95,285.95,258.2,268.0,267.15,1001.0,2.67
2016-02-25,262.0,274.0,256.6,270.0,265.55,3767.0,9.9
2016-02-24,250.5,275.0,245.7,264.9,261.85,10588.0,27.75
2016-02-23,267.15,267.15,253.0,258.3,256.0,1356.0,3.48
2016-02-22,261.15,270.0,261.05,268.0,266.85,2272.0,6.07
2016-02-19,260.1,270.0,256.1,264.95,264.25,5722.0,14.77
2016-02-18,279.0,279.0,260.05,262.5,263.8,3459.0,9.23
2016-02-17,252.9,280.0,234.0,269.55,270.0,18361.0,48.68
2016-02-16,271.8,272.5,246.95,253.0,248.55,13982.0,35.26
2016-02-15,254.0,275.0,254.0,268.0,266.3,4000.0,10.6
2016-02-12,265.0,265.0,236.7,250.0,249.65,14535.0,35.67
2016-02-11,272.05,277.0,255.0,277.0,269.45,13039.0,35.06
2016-02-10,286.1,289.95,271.5,274.0,277.5,14733.0,40.78
2016-02-09,305.25,306.85,285.8,286.5,290.15,8920.0,26.43
2016-02-08,315.0,318.1,305.05,305.25,306.35,6582.0,20.55
2016-02-05,318.0,324.9,311.1,321.0,319.3,13411.0,42.53
2016-02-04,316.0,325.0,316.0,316.0,316.3,11321.0,36.12
2016-02-03,324.0,324.0,316.0,316.0,318.9,7839.0,25.14
2016-02-02,337.0,337.0,324.15,325.0,325.0,6010.0,19.57
2016-02-01,325.5,335.95,324.95,329.05,329.8,9871.0,32.29
2016-01-29,330.0,333.8,325.05,327.5,328.35,7564.0,24.73
2016-01-28,334.75,334.75,321.7,325.0,325.0,13107.0,43.35
2016-01-27,332.0,336.9,332.0,333.25,335.4,9814.0,32.84
2016-01-25,336.4,339.8,332.15,335.05,335.0,8609.0,28.85
2016-01-22,340.0,340.0,334.1,334.1,336.4,9250.0,31.07
2016-01-21,323.9,342.0,323.9,334.0,335.35,25911.0,86.44
2016-01-20,325.0,325.0,310.0,323.95,320.0,24440.0,77.55
2016-01-19,321.75,326.0,310.0,321.9,321.95,11721.0,37.51
2016-01-18,327.3,353.95,315.2,321.0,321.75,158390.0,510.19
2016-01-15,348.3,356.0,342.5,345.0,344.0,10741.0,37.48
2016-01-14,349.95,354.0,342.0,352.5,352.2,6887.0,24.05
2016-01-13,374.0,374.0,345.5,355.0,353.7,10993.0,39.52
2016-01-12,370.0,376.95,365.0,367.55,366.45,5100.0,18.79
2016-01-11,375.05,379.15,368.1,370.0,371.8,5344.0,20.0
2016-01-08,371.65,386.0,370.5,381.0,381.05,8216.0,31.06
2016-01-07,374.95,386.95,370.0,374.95,373.2,9129.0,34.35
2016-01-06,385.15,395.0,373.1,387.4,387.2,51994.0,197.36
2016-01-05,395.0,395.0,386.15,386.25,389.45,6033.0,23.44
2016-01-04,389.1,395.0,383.0,393.0,390.95,6549.0,25.57
2016-01-01,395.0,401.0,378.9,392.9,388.5,12672.0,49.39
2015-12-31,404.7,404.8,394.05,399.75,398.8,5444.0,21.67
2015-12-30,401.05,404.9,397.15,399.7,398.75,5829.0,23.36
2015-12-29,412.9,413.0,400.0,404.95,404.15,10103.0,40.92
2015-12-28,430.5,438.9,398.0,409.0,408.5,28481.0,118.23
2015-12-24,434.95,442.95,422.6,425.0,424.8,12671.0,54.12
2015-12-23,409.0,436.0,409.0,436.0,432.65,58866.0,252.32
2015-12-22,402.95,408.0,393.05,393.05,396.65,7313.0,29.22
2015-12-21,392.2,412.0,392.2,402.95,404.05,20498.0,82.77
2015-12-18,408.8,410.05,386.0,386.15,389.6,18215.0,72.24
2015-12-17,409.25,444.9,393.4,410.3,412.05,136652.0,574.07
2015-12-16,333.0,391.0,333.0,391.0,391.0,29111.0,111.22
2015-12-15,332.0,332.0,324.2,325.0,325.85,4720.0,15.42
2015-12-14,326.5,332.5,322.5,332.5,331.25,5287.0,17.24
2015-12-11,326.05,327.95,318.95,325.05,325.5,3803.0,12.38
2015-12-10,325.95,330.65,320.7,325.1,325.1,3693.0,12.05
2015-12-09,325.5,332.7,323.15,332.0,326.05,30955.0,100.67
2015-12-08,331.4,332.5,325.55,328.1,328.45,36942.0,121.49
2015-12-07,325.0,331.95,323.3,329.0,326.5,6766.0,22.23
2015-12-04,324.2,329.8,323.0,325.0,325.1,22715.0,74.12
2015-12-03,331.95,331.95,325.1,326.25,325.7,3542.0,11.57
2015-12-02,332.0,332.0,325.0,327.0,326.8,36778.0,119.9
2015-12-01,325.0,331.5,325.0,325.05,325.8,34976.0,114.18
2015-11-30,325.05,331.1,325.0,325.0,327.4,8899.0,29.04
2015-11-27,326.0,328.5,324.95,325.0,325.0,28875.0,93.96
2015-11-26,325.0,326.5,320.2,325.0,325.1,7303.0,23.65
2015-11-24,327.05,331.95,323.0,325.5,325.0,5000.0,16.3
2015-11-23,326.0,329.6,326.0,326.25,326.6,2940.0,9.63
2015-11-20,338.35,338.35,317.15,325.0,325.45,6620.0,21.53
2015-11-19,331.95,332.0,310.3,327.45,325.05,9990.0,32.39
2015-11-18,330.8,341.6,322.0,323.0,326.05,4138.0,13.78
2015-11-17,320.0,347.8,316.25,330.0,335.2,4579.0,15.39
2015-11-16,321.05,336.85,321.05,330.0,329.85,4598.0,15.21
2015-11-13,330.55,335.0,320.0,329.0,328.95,5345.0,17.61
2015-11-11,360.0,360.0,327.0,330.0,330.2,3751.0,12.38
2015-11-10,333.0,336.75,320.3,325.05,326.1,4490.0,14.77
2015-11-09,330.0,340.95,321.0,327.0,330.95,5983.0,19.9
2015-11-06,337.0,337.0,331.5,336.0,333.5,4864.0,16.2
2015-11-05,338.8,338.9,330.0,335.2,333.35,6304.0,20.97
2015-11-04,338.35,348.55,325.0,330.0,330.0,12895.0,42.97
2015-11-03,345.7,349.9,316.85,349.9,342.15,28450.0,94.81
2015-11-02,344.0,356.05,340.0,341.0,341.2,4383.0,14.99
2015-10-30,370.5,371.6,311.0,342.0,342.55,29525.0,100.05
2015-10-29,382.05,389.8,366.2,371.0,369.3,6566.0,24.9
2015-10-28,389.95,399.75,376.15,384.0,384.45,11433.0,44.27
2015-10-27,396.15,399.95,391.05,396.0,395.25,5566.0,21.96
2015-10-26,407.65,408.5,386.5,394.0,394.7,22989.0,91.77
2015-10-23,400.05,412.0,399.0,402.7,408.2,5572.0,22.5
2015-10-21,394.45,404.6,394.45,396.1,397.3,3273.0,13.0
2015-10-20,405.0,413.9,390.0,390.0,394.6,4147.0,16.72
2015-10-19,417.45,445.0,387.95,395.0,399.1,6122.0,24.71
2015-10-16,385.0,394.9,382.2,386.0,387.4,3492.0,13.5
2015-10-15,390.0,398.6,387.0,387.0,390.8,5047.0,20.01
2015-10-14,396.8,396.85,383.55,386.0,386.95,4248.0,16.59
2015-10-13,394.95,395.0,380.05,387.1,391.75,5737.0,22.42
2015-10-12,395.7,401.8,393.05,398.0,396.65,8433.0,33.52
2015-10-09,391.2,399.75,391.2,395.65,394.9,4833.0,19.08
2015-10-08,393.0,400.0,381.0,386.5,392.75,6659.0,26.0
2015-10-07,390.3,401.9,387.0,393.1,396.2,67091.0,262.1
2015-10-06,391.05,399.0,387.0,390.0,395.85,66066.0,258.25
2015-10-05,388.85,398.0,380.35,390.0,389.8,5609.0,21.88
2015-10-01,383.5,398.0,380.0,380.0,382.9,4239.0,16.51
2015-09-30,394.7,394.7,383.0,383.5,384.5,4214.0,16.44
2015-09-29,383.95,392.5,377.2,390.0,390.4,4844.0,18.69
