Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,153.55,162.45,152.1,153.9,153.3,745964.0,1164.07
2016-06-16,152.65,154.9,150.0,153.45,153.5,1066922.0,1631.61
2016-06-15,138.55,155.7,138.55,151.5,151.7,1352786.0,2017.78
2016-06-14,128.75,139.0,128.75,138.2,137.15,498971.0,676.82
2016-06-13,128.5,130.75,127.0,129.45,128.45,301878.0,387.7
2016-06-10,130.0,133.7,129.5,130.5,130.35,275314.0,361.65
2016-06-09,129.95,133.9,128.25,130.75,130.65,488513.0,640.44
2016-06-08,124.65,132.5,123.25,129.95,129.7,744972.0,961.95
2016-06-07,112.1,130.0,112.0,124.6,124.35,1451491.0,1796.53
2016-06-06,114.1,114.65,111.0,112.0,112.1,212217.0,238.71
2016-06-03,113.95,115.5,111.5,114.2,113.65,477664.0,542.58
2016-06-02,108.5,115.45,108.2,112.85,112.9,458807.0,516.78
2016-06-01,103.6,111.0,103.3,108.2,108.95,828004.0,900.03
2016-05-31,100.0,106.0,100.0,103.5,104.65,534697.0,555.54
2016-05-30,100.9,103.35,99.0,100.0,99.9,164281.0,165.19
2016-05-27,101.7,103.6,99.9,99.9,100.25,342736.0,345.64
2016-05-26,98.6,105.4,98.6,101.95,102.6,646201.0,661.47
2016-05-25,95.3,100.0,93.6,99.5,98.2,392891.0,379.5
2016-05-24,93.0,95.85,89.0,95.85,94.65,301406.0,283.98
2016-05-23,92.1,94.95,91.0,93.45,93.2,308161.0,287.02
2016-05-20,92.65,93.6,90.0,91.0,91.75,343863.0,315.07
2016-05-19,93.4,94.9,87.65,92.0,91.75,354449.0,326.2
2016-05-18,94.5,96.2,92.1,94.0,93.4,532145.0,503.22
2016-05-17,92.0,95.4,91.3,94.7,94.2,868371.0,815.71
2016-05-16,82.25,92.45,82.0,92.0,91.2,1551574.0,1386.08
2016-05-13,85.2,85.2,81.5,83.15,82.65,339134.0,280.74
2016-05-12,78.95,86.0,77.0,85.2,84.4,1747433.0,1452.26
2016-05-11,68.9,80.25,67.15,78.5,78.8,1548358.0,1174.83
2016-05-10,70.3,70.75,67.45,70.15,69.8,261720.0,181.22
2016-05-09,66.05,71.2,66.05,70.0,69.35,324905.0,224.97
2016-05-06,65.8,68.0,63.0,68.0,66.85,343968.0,225.52
2016-05-05,57.1,67.15,56.6,65.95,65.4,692087.0,445.49
2016-05-04,59.45,60.85,57.1,57.2,58.1,69654.0,41.06
2016-05-03,60.2,62.0,59.35,60.0,60.35,85475.0,52.15
2016-05-02,60.45,61.4,59.15,60.35,60.2,88558.0,53.41
2016-04-29,57.8,62.5,56.2,61.5,61.7,310463.0,187.49
2016-04-28,58.8,58.8,56.2,57.75,57.55,135526.0,78.49
2016-04-27,55.3,59.25,54.2,58.2,58.15,287650.0,166.3
2016-04-26,54.6,55.0,53.15,54.35,54.55,53265.0,29.03
2016-04-25,54.05,55.35,54.05,54.4,54.6,48758.0,26.66
