Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-08-26,87.3,92.85,85.95,90.0,90.3,56780482.0,51377.95
2013-08-23,88.35,89.45,83.35,87.45,87.75,18824306.0,16329.9
2013-08-22,80.1,91.15,79.6,86.35,87.3,22753755.0,19379.85
2013-08-21,84.15,86.15,78.4,79.3,79.2,14795525.0,12140.41
2013-08-20,74.0,88.75,73.1,82.3,83.1,34982895.0,28556.51
2013-08-19,76.9,79.65,73.25,75.9,75.7,10070564.0,7677.77
2013-08-16,80.8,81.0,75.25,75.4,75.8,4518540.0,3499.81
2013-08-14,79.95,82.35,79.8,81.2,81.25,5700776.0,4620.8
2013-08-13,79.0,80.7,78.0,79.5,79.4,8119090.0,6434.05
2013-08-12,78.35,80.9,76.3,78.0,78.65,7797796.0,6177.6
2013-08-08,75.6,77.95,73.6,76.25,76.25,5237200.0,3990.77
2013-08-07,71.4,75.8,70.5,75.0,75.0,5931097.0,4361.62
2013-08-06,74.55,74.8,69.9,71.3,71.35,4786848.0,3420.35
2013-08-05,73.1,75.8,71.65,75.8,75.45,3191452.0,2370.7
2013-08-02,75.5,76.3,70.75,72.3,72.2,5163285.0,3744.59
2013-08-01,76.3,77.45,74.1,75.05,75.15,3622749.0,2748.24
2013-07-31,72.35,76.2,70.3,76.2,75.45,3983810.0,2916.44
2013-07-30,72.5,74.2,70.7,73.0,72.7,3723262.0,2691.01
2013-07-29,76.5,77.0,72.5,74.35,73.95,8952965.0,6652.84
2013-07-26,82.7,82.7,73.85,77.35,75.9,7799849.0,6027.07
2013-07-25,82.1,82.65,79.7,80.2,80.3,3485100.0,2808.3
2013-07-24,83.7,84.45,80.25,81.95,81.95,3114503.0,2551.58
2013-07-23,84.45,85.6,83.45,84.6,84.6,2481409.0,2099.72
2013-07-22,83.0,84.25,82.25,83.05,83.2,4446703.0,3694.84
2013-07-19,85.0,86.6,81.35,82.8,82.75,7364339.0,6175.25
2013-07-18,87.5,88.2,84.2,85.35,85.2,7476176.0,6378.45
2013-07-17,88.85,89.3,85.05,86.8,86.75,3581091.0,3115.81
2013-07-16,89.9,90.6,86.9,88.6,88.25,4158298.0,3677.79
2013-07-15,88.0,91.9,87.65,91.4,91.2,2484607.0,2243.11
2013-07-12,87.7,88.85,86.2,88.4,88.55,2569431.0,2257.43
2013-07-11,84.6,88.1,84.35,87.65,87.65,4463600.0,3884.72
2013-07-10,84.4,85.35,82.85,83.3,83.75,2858201.0,2395.15
2013-07-09,82.6,84.75,82.45,84.35,84.15,1815656.0,1519.68
2013-07-08,82.2,83.95,81.9,82.9,82.55,2619025.0,2169.32
2013-07-05,84.3,85.7,82.25,84.5,83.95,2006978.0,1687.93
2013-07-04,84.45,84.8,81.9,83.1,83.25,3176833.0,2639.15
2013-07-03,87.0,87.3,83.85,84.3,84.35,4130671.0,3507.76
2013-07-02,86.5,89.8,86.3,88.4,88.35,6272124.0,5539.69
2013-07-01,84.35,87.35,83.75,86.7,86.95,4762531.0,4092.75
