Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,756.5,758.15,740.1,740.95,743.2,3317924.0,24759.81
2016-06-16,752.0,756.35,742.7,751.2,754.6,2717995.0,20356.23
2016-06-15,756.9,758.35,750.0,750.0,751.6,1417625.0,10691.52
2016-06-14,748.0,755.0,746.55,754.0,753.7,2789220.0,20936.3
2016-06-13,738.5,748.0,733.15,746.1,746.45,2918950.0,21676.79
2016-06-10,745.85,747.0,738.4,743.0,741.4,2785032.0,20689.15
2016-06-09,738.0,745.25,731.5,741.9,742.7,3948805.0,29199.63
2016-06-08,744.0,744.95,734.4,738.3,738.0,3384926.0,24986.75
2016-06-07,728.0,741.9,710.15,740.0,738.8,7369626.0,53896.61
2016-06-06,748.9,750.0,721.85,723.0,724.4,6330743.0,46465.13
2016-06-03,751.9,751.9,735.05,736.6,737.35,5944789.0,44137.66
2016-06-02,755.1,758.5,744.55,746.05,746.75,4900285.0,36620.14
2016-06-01,767.05,771.4,752.45,755.1,754.55,4921709.0,37438.21
2016-05-31,792.0,799.0,756.0,762.0,762.75,15706495.0,120858.88
2016-05-30,831.0,842.0,808.25,815.7,812.1,4888391.0,39964.52
2016-05-27,795.0,828.0,790.1,828.0,824.95,3675225.0,29981.33
2016-05-26,781.1,788.0,774.05,783.5,779.35,1900809.0,14791.24
2016-05-25,778.3,789.9,771.2,783.0,785.45,1556315.0,12141.33
2016-05-24,786.0,787.0,771.0,772.1,772.3,2249441.0,17431.08
2016-05-23,793.0,793.7,779.3,785.0,784.55,2403975.0,18837.58
2016-05-20,797.9,797.9,790.0,792.0,791.35,2460489.0,19511.65
2016-05-19,797.0,797.7,790.0,793.05,792.5,3114189.0,24668.23
2016-05-18,798.95,799.05,791.0,796.1,795.3,2244494.0,17832.46
2016-05-17,801.0,802.6,796.5,802.0,799.9,2505291.0,20044.37
2016-05-16,799.9,802.0,791.7,798.0,797.85,2035038.0,16192.16
2016-05-13,805.35,805.35,792.5,795.5,795.05,2454738.0,19523.09
2016-05-12,795.1,805.7,795.1,804.2,803.55,1962391.0,15722.41
2016-05-11,799.0,806.0,792.0,796.0,796.3,2268518.0,18137.96
2016-05-10,806.0,811.0,800.3,802.2,802.15,2156929.0,17379.66
2016-05-09,805.0,811.8,796.0,805.25,805.3,2556690.0,20564.94
2016-05-06,809.95,815.0,802.25,804.95,804.4,1464262.0,11830.39
2016-05-05,825.55,828.0,806.5,810.95,810.45,3065087.0,25033.0
2016-05-04,799.0,806.4,787.05,803.75,804.2,2523074.0,20169.61
2016-05-03,808.2,813.6,780.0,797.3,798.25,5809209.0,46416.59
2016-05-02,813.75,816.15,804.5,812.05,811.8,1083227.0,8784.93
2016-04-29,805.0,813.3,802.0,812.5,811.3,2339763.0,18931.2
2016-04-28,819.0,819.0,800.0,803.4,801.95,4828596.0,38951.91
2016-04-27,814.0,816.1,809.2,814.0,813.95,1364080.0,11097.02
2016-04-26,805.0,817.6,797.0,814.0,814.4,4083983.0,33041.55
2016-04-25,820.0,821.15,802.0,808.5,808.85,3644370.0,29468.29
2016-04-22,827.0,828.45,818.15,820.65,820.2,2527855.0,20800.53
2016-04-21,831.65,837.9,826.8,830.45,832.9,1381380.0,11494.48
2016-04-20,836.1,836.1,825.2,828.0,828.55,2134965.0,17729.82
2016-04-18,833.15,841.15,827.3,835.0,837.8,2257502.0,18875.22
2016-04-13,826.1,835.9,823.0,831.75,833.05,2310970.0,19176.06
2016-04-12,819.7,827.05,816.35,821.05,823.6,1942717.0,15990.67
2016-04-11,823.0,826.0,809.2,817.1,817.3,2757166.0,22529.81
2016-04-08,807.05,817.45,807.05,812.0,811.75,1088142.0,8844.78
2016-04-07,810.0,822.9,805.1,809.0,811.7,2221164.0,18106.2
2016-04-06,804.5,811.1,798.05,808.15,809.55,1809628.0,14567.03
2016-04-05,816.0,816.45,799.5,800.2,800.8,2570634.0,20658.18
2016-04-04,817.2,821.0,811.1,814.0,815.05,1239310.0,10103.75
2016-04-01,821.0,824.0,809.4,815.0,815.1,1654746.0,13479.84
2016-03-31,811.9,829.65,811.9,826.1,820.0,5230705.0,42985.46
2016-03-30,811.9,815.55,801.05,810.0,811.7,3020735.0,24466.39
2016-03-29,809.25,811.85,770.0,793.15,794.35,7468509.0,58932.06
2016-03-28,846.0,846.0,803.0,810.85,809.25,4596334.0,37571.59
2016-03-23,844.7,852.0,834.6,842.5,846.2,2331768.0,19698.15
2016-03-22,835.05,847.0,831.9,844.2,844.6,2105722.0,17746.58
2016-03-21,820.55,838.05,816.8,835.95,836.45,3177198.0,26283.11
2016-03-18,825.05,825.9,798.4,816.45,816.0,5270631.0,42666.5
2016-03-17,842.0,843.9,821.8,824.15,827.25,2605930.0,21584.75
2016-03-16,845.5,847.45,821.65,834.0,835.75,2521867.0,20955.36
2016-03-15,861.5,861.5,840.6,841.75,843.15,2357014.0,19985.92
2016-03-14,869.0,876.55,858.6,860.35,862.2,2139517.0,18506.11
2016-03-11,854.9,870.0,843.6,869.0,868.2,2329088.0,19966.76
2016-03-10,864.45,868.0,846.5,864.0,865.05,2042250.0,17476.31
2016-03-09,860.0,863.7,836.9,861.85,860.9,3139226.0,26647.6
2016-03-08,859.8,871.0,851.25,859.0,858.6,2297582.0,19804.34
2016-03-04,872.0,874.5,852.6,857.1,856.8,1525260.0,13099.42
2016-03-03,859.9,873.85,852.6,867.6,870.9,2447143.0,21151.71
2016-03-02,876.0,877.1,850.0,851.4,851.85,3184958.0,27497.64
2016-03-01,861.7,873.0,851.3,869.0,868.4,2354037.0,20394.72
2016-02-29,880.8,880.8,833.7,855.8,853.9,3546392.0,30538.08
2016-02-26,885.0,890.0,869.1,872.45,871.9,2409042.0,21166.45
2016-02-25,857.45,880.0,855.55,877.0,875.35,3898475.0,33910.24
2016-02-24,866.35,870.0,849.6,853.65,854.55,1716644.0,14714.42
2016-02-23,884.7,898.45,866.25,870.0,871.1,2470030.0,21846.77
2016-02-22,871.95,885.8,868.0,883.35,882.45,2302969.0,20258.33
2016-02-19,870.4,870.4,857.0,865.45,864.2,1561649.0,13488.31
2016-02-18,869.7,876.5,858.1,869.55,870.45,2342525.0,20328.04
2016-02-17,831.95,859.35,828.0,858.0,855.8,1975343.0,16620.61
2016-02-16,850.6,857.15,820.2,828.75,827.8,1957372.0,16343.97
2016-02-15,855.0,867.0,845.1,848.7,850.2,3592947.0,30841.42
2016-02-12,845.0,884.7,802.45,842.4,847.35,5260215.0,44420.72
2016-02-11,851.0,858.9,827.0,835.0,830.4,2067334.0,17460.66
2016-02-10,851.05,865.75,838.2,849.0,855.75,3530848.0,30250.57
2016-02-09,830.0,860.9,828.1,857.0,854.05,2340243.0,19919.55
2016-02-08,855.0,864.8,830.0,834.7,835.65,1198192.0,10162.89
2016-02-05,839.0,860.0,836.55,858.4,857.55,2250196.0,19115.86
2016-02-04,840.0,847.8,818.15,840.8,835.6,2287218.0,19099.8
2016-02-03,836.8,855.0,829.3,831.0,834.9,2630864.0,22188.31
2016-02-02,879.85,883.35,831.1,837.45,835.15,2676955.0,22832.0
2016-02-01,880.8,888.3,861.9,872.75,872.3,3252050.0,28424.02
2016-01-29,843.0,878.0,839.1,878.0,872.95,4709689.0,40626.85
2016-01-28,817.0,836.8,817.0,833.85,834.15,4368190.0,36312.54
2016-01-27,817.0,823.25,809.3,819.3,821.15,3609838.0,29554.31
2016-01-25,795.0,814.9,794.45,807.9,807.25,2905098.0,23456.31
2016-01-22,779.0,794.0,773.3,789.25,789.2,1970106.0,15476.58
2016-01-21,800.0,803.4,764.0,772.15,773.15,3264178.0,25536.07
2016-01-20,785.5,805.0,775.6,794.8,792.6,4222563.0,33431.16
2016-01-19,786.0,796.8,781.25,793.9,793.9,2169752.0,17157.83
2016-01-18,787.0,797.5,775.0,784.6,784.95,4202772.0,33093.32
2016-01-15,797.75,799.0,780.2,790.9,787.1,2370237.0,18688.51
2016-01-14,789.8,796.4,785.7,792.5,791.85,3233849.0,25587.41
2016-01-13,795.0,804.65,781.5,799.75,796.6,3447651.0,27411.11
2016-01-12,784.0,794.0,784.0,788.0,788.15,1787888.0,14101.05
2016-01-11,789.5,804.5,779.1,784.0,782.25,3424538.0,27023.03
2016-01-08,795.0,805.8,786.0,792.2,794.15,2315237.0,18419.19
2016-01-07,788.0,799.0,778.65,786.7,783.8,2082334.0,16357.07
2016-01-06,805.0,805.8,790.75,791.45,791.95,2168214.0,17253.07
2016-01-05,807.0,807.0,792.05,800.75,800.5,1632394.0,13066.76
2016-01-04,813.9,821.3,795.1,797.8,799.1,2388588.0,19205.84
2016-01-01,810.05,817.9,806.2,813.75,815.55,986728.0,8025.32
2015-12-31,812.0,825.0,804.1,819.1,820.15,2590518.0,21136.83
2015-12-30,814.0,826.0,806.45,810.1,810.15,1919186.0,15548.94
2015-12-29,815.0,819.9,805.5,811.3,811.35,2702847.0,21994.28
2015-12-28,791.65,815.0,791.65,813.75,811.6,4287383.0,34508.19
2015-12-24,797.0,798.4,786.4,790.4,790.85,2053955.0,16278.7
2015-12-23,771.0,793.5,770.0,792.75,790.4,6651886.0,52331.14
2015-12-22,756.2,768.9,756.2,764.55,763.7,3734881.0,28498.0
2015-12-21,738.0,756.8,731.0,756.2,754.2,12310649.0,91555.54
2015-12-18,799.6,809.0,787.2,788.35,790.15,4125199.0,32854.59
2015-12-17,791.05,805.0,788.0,799.0,802.25,3491346.0,27783.7
2015-12-16,780.0,785.5,775.8,784.55,784.1,2864795.0,22397.97
2015-12-15,775.0,781.45,769.2,772.4,773.75,3549320.0,27557.26
2015-12-14,758.85,773.0,753.65,768.55,768.6,2629235.0,20153.3
2015-12-11,759.65,766.0,748.5,756.0,757.8,2852880.0,21565.7
2015-12-10,769.85,769.85,733.3,754.75,756.8,4496091.0,33662.79
2015-12-09,772.5,775.4,750.15,760.9,759.15,4935349.0,37432.09
2015-12-08,776.0,779.85,767.5,771.0,770.9,3655120.0,28261.0
2015-12-07,765.3,781.5,762.05,777.5,777.35,7139702.0,55366.88
2015-12-04,722.5,773.9,721.5,755.0,755.4,24605807.0,185677.65
2015-12-03,729.85,732.4,724.0,725.8,726.9,3079014.0,22439.72
2015-12-02,739.0,739.0,725.0,730.0,731.8,5136352.0,37607.64
2015-12-01,732.0,733.8,727.0,729.05,729.25,3183165.0,23235.33
2015-11-30,732.5,737.5,727.35,729.5,729.65,8738130.0,63772.53
2015-11-27,742.0,742.35,731.0,736.1,739.85,4475863.0,32994.95
2015-11-26,716.85,740.0,716.5,737.0,735.9,8438968.0,61848.91
2015-11-24,717.0,719.55,704.0,705.5,706.2,9846509.0,69904.17
2015-11-23,726.0,728.9,713.5,716.0,717.1,5781403.0,41521.87
2015-11-20,739.8,741.0,723.9,726.1,725.85,5345428.0,39068.98
2015-11-19,758.0,761.0,738.4,743.5,742.5,4059404.0,30328.45
2015-11-18,755.0,761.3,748.5,754.0,753.75,2521801.0,19002.79
2015-11-17,746.0,755.55,743.95,755.0,753.35,3853257.0,28947.74
2015-11-16,743.0,747.5,732.55,738.55,738.65,3357919.0,24810.25
2015-11-13,745.1,752.4,736.0,741.0,740.6,4665553.0,34685.09
2015-11-11,738.6,748.1,737.0,746.0,746.6,838885.0,6242.62
2015-11-10,753.1,764.2,724.05,735.0,731.95,7024856.0,51868.02
2015-11-09,761.0,771.85,744.95,760.0,756.95,7903526.0,60100.08
2015-11-06,816.05,822.35,800.55,801.9,803.4,3763950.0,30389.69
2015-11-05,848.0,849.9,809.0,811.7,815.95,4038115.0,33443.63
2015-11-04,867.0,874.5,850.0,850.6,852.5,2275409.0,19631.34
2015-11-03,870.0,877.8,862.8,866.6,868.55,1547053.0,13466.36
2015-11-02,875.05,878.15,857.55,866.2,865.35,1982404.0,17167.11
2015-10-30,880.2,893.0,876.7,887.9,889.55,2387217.0,21217.32
2015-10-29,902.0,902.0,875.55,880.0,878.9,3272915.0,28912.32
2015-10-28,903.0,907.5,895.05,899.0,901.55,1939812.0,17492.3
2015-10-27,888.0,912.45,885.0,911.0,908.65,2896574.0,26153.9
2015-10-26,890.0,894.1,886.1,888.8,888.8,1770689.0,15745.67
2015-10-23,901.95,903.85,883.05,886.5,884.6,1916780.0,17089.37
2015-10-21,901.9,902.25,886.5,889.0,889.0,1272841.0,11350.2
2015-10-20,911.0,913.1,899.7,900.05,902.55,1880891.0,17031.93
2015-10-19,895.0,911.0,886.55,904.0,905.95,2000070.0,18099.97
2015-10-16,888.0,892.0,881.0,890.5,889.45,1209569.0,10718.87
2015-10-15,889.95,892.5,880.05,887.05,888.0,2180779.0,19332.94
2015-10-14,884.1,894.0,881.6,884.8,883.7,1468468.0,13023.54
2015-10-13,894.0,896.75,874.0,880.75,881.6,1526300.0,13466.77
2015-10-12,910.0,914.95,883.2,890.95,892.0,2057784.0,18523.13
2015-10-09,922.5,922.8,901.2,905.0,906.2,1963120.0,17850.81
