Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,309.15,313.9,309.15,311.5,312.15,3534877.0,11038.24
2016-06-16,307.25,307.25,301.1,305.0,305.85,2278584.0,6918.26
2016-06-15,307.9,310.25,305.05,307.5,308.0,1621821.0,4994.67
2016-06-14,302.5,306.8,301.15,305.25,304.95,2585356.0,7869.78
2016-06-13,308.0,308.6,297.4,301.6,301.75,4371937.0,13153.4
2016-06-10,321.3,321.9,310.6,314.15,312.65,3125984.0,9868.91
2016-06-09,322.15,325.4,321.8,323.35,323.3,1193910.0,3863.32
2016-06-08,321.4,324.45,320.2,322.9,322.95,1824450.0,5879.8
2016-06-07,322.0,323.6,318.0,319.5,319.6,3156909.0,10107.94
2016-06-06,319.0,322.0,311.25,318.0,318.05,4114002.0,13034.4
2016-06-03,312.9,323.9,312.9,316.8,317.05,4222654.0,13441.31
2016-06-02,307.25,314.5,305.1,310.75,311.7,2392412.0,7461.79
2016-06-01,318.0,318.0,308.0,308.15,309.15,2368671.0,7383.34
2016-05-31,300.0,317.8,298.7,313.0,314.5,16105059.0,49811.12
2016-05-30,272.95,282.35,272.95,281.6,281.45,6293847.0,17561.64
2016-05-27,272.35,273.25,269.0,271.1,271.7,2637422.0,7145.19
2016-05-26,273.0,273.7,268.25,270.45,269.6,2369211.0,6410.96
2016-05-25,264.0,271.2,264.0,269.1,270.55,1455056.0,3906.53
2016-05-24,260.0,263.6,258.8,261.6,261.35,1440860.0,3772.64
2016-05-23,265.7,266.35,259.1,260.1,259.9,1332245.0,3505.28
2016-05-20,266.3,268.45,262.0,263.8,263.1,2076504.0,5513.1
2016-05-19,270.0,273.5,264.3,264.55,266.1,2096870.0,5662.79
2016-05-18,268.8,270.3,265.8,268.3,268.65,1253146.0,3354.88
2016-05-17,277.7,277.7,271.0,271.7,271.7,2150249.0,5883.57
2016-05-16,277.25,279.75,272.1,274.65,275.55,1601418.0,4407.36
2016-05-13,276.95,280.95,274.65,276.75,276.95,1707115.0,4737.14
2016-05-12,275.65,279.25,274.5,277.55,277.65,1155366.0,3208.76
2016-05-11,277.0,281.9,271.45,273.7,273.85,2112122.0,5836.2
2016-05-10,290.7,290.7,280.0,281.5,281.0,1362651.0,3842.03
2016-05-09,289.7,291.0,285.25,289.4,289.3,1066084.0,3077.11
2016-05-06,281.8,288.0,278.45,286.0,286.8,1042991.0,2951.81
2016-05-05,283.8,287.05,280.05,282.6,283.05,1209444.0,3438.95
2016-05-04,299.35,299.35,280.05,281.65,281.35,1530918.0,4389.82
2016-05-03,299.35,311.9,298.2,300.0,300.35,2811881.0,8603.25
2016-05-02,297.0,297.55,291.65,295.0,295.35,1247168.0,3679.77
2016-04-29,301.75,305.25,294.85,297.95,297.8,1598500.0,4781.65
2016-04-28,305.9,307.2,300.2,300.8,301.85,1501711.0,4552.96
2016-04-27,306.9,309.75,303.15,304.9,304.3,798597.0,2445.57
2016-04-26,295.7,307.3,293.25,305.35,306.5,2437405.0,7375.08
2016-04-25,303.0,304.3,295.35,296.95,296.15,1978752.0,5886.17
2016-04-22,300.0,305.0,298.8,303.65,303.55,808944.0,2451.08
2016-04-21,303.5,307.7,296.85,299.75,300.75,1572054.0,4769.56
2016-04-20,301.6,305.85,298.7,302.5,301.9,1489032.0,4506.26
2016-04-18,299.0,302.3,296.7,300.3,300.85,1060041.0,3181.4
2016-04-13,298.45,300.7,294.55,300.15,299.95,3362057.0,10019.16
2016-04-12,290.0,295.0,289.2,293.65,294.15,2589842.0,7596.46
2016-04-11,276.2,289.05,275.7,288.15,287.05,1995547.0,5647.51
2016-04-08,276.85,280.75,275.85,276.85,277.0,1264658.0,3518.49
2016-04-07,277.9,281.9,269.05,276.9,276.35,2801263.0,7755.9
2016-04-06,273.65,277.5,271.8,276.9,276.6,1578537.0,4345.93
2016-04-05,284.0,284.0,269.8,271.25,271.25,2883464.0,7943.96
2016-04-04,288.8,289.45,281.8,285.5,285.6,2518938.0,7190.14
2016-04-01,289.7,289.7,281.2,286.2,286.05,1989344.0,5666.5
2016-03-31,287.0,304.0,282.6,293.8,288.35,9149583.0,26431.96
2016-03-30,282.0,287.5,280.8,286.9,284.85,2032833.0,5768.61
2016-03-29,273.0,279.95,271.5,277.0,276.85,2533882.0,7011.88
2016-03-28,284.45,285.45,269.75,272.05,272.05,3183411.0,8808.09
2016-03-23,278.9,283.0,276.7,280.8,281.8,1589429.0,4444.81
2016-03-22,273.7,280.65,271.5,277.15,278.6,2800727.0,7726.4
2016-03-21,266.15,275.0,264.3,272.35,274.05,2325717.0,6288.14
2016-03-18,264.0,267.8,262.5,266.15,266.55,2358580.0,6252.28
2016-03-17,264.95,266.9,261.35,261.35,263.1,1115624.0,2956.04
2016-03-16,265.0,265.0,258.25,261.9,261.2,1038087.0,2704.38
2016-03-15,265.7,266.5,262.6,265.5,264.85,1526162.0,4033.16
2016-03-14,258.25,265.55,257.5,265.0,263.55,2290574.0,6005.25
2016-03-11,251.7,255.85,247.0,255.0,254.85,1641082.0,4135.02
2016-03-10,253.7,254.5,247.8,249.65,250.2,1696917.0,4253.6
2016-03-09,247.85,253.5,244.15,250.55,250.3,2083383.0,5201.74
2016-03-08,247.0,256.5,247.0,249.55,249.95,2079878.0,5234.16
2016-03-04,249.0,250.85,245.7,247.6,247.85,2536924.0,6307.84
2016-03-03,242.55,249.3,241.15,246.75,247.1,2569598.0,6343.56
2016-03-02,248.7,248.8,236.65,237.55,237.85,2875914.0,7008.54
2016-03-01,234.3,243.45,234.3,240.85,240.45,2685092.0,6445.04
2016-02-29,232.85,236.45,224.3,235.05,234.05,1987197.0,4624.51
2016-02-26,236.1,238.3,230.0,232.95,233.4,2023464.0,4739.18
2016-02-25,241.6,244.2,231.6,234.4,232.85,4077610.0,9598.69
2016-02-24,245.9,248.45,240.1,240.75,241.2,1753397.0,4277.25
2016-02-23,256.2,259.7,245.25,245.6,246.75,3997573.0,10024.21
2016-02-22,246.7,247.7,238.1,243.15,242.1,819900.0,1982.15
2016-02-19,237.9,245.95,235.5,245.0,244.75,1493012.0,3613.83
2016-02-18,241.8,242.75,232.6,237.5,239.2,1651723.0,3959.66
2016-02-17,230.0,240.0,226.25,240.0,239.15,1625782.0,3819.15
2016-02-16,241.0,243.15,227.3,229.5,229.25,1941721.0,4589.5
2016-02-15,230.8,239.5,227.0,238.1,237.85,1869821.0,4408.51
2016-02-12,214.7,230.5,212.55,225.0,226.15,3129794.0,6998.02
2016-02-11,224.0,227.8,210.1,210.55,214.8,1565637.0,3417.36
2016-02-10,229.7,229.7,215.5,222.55,223.95,3800378.0,8448.61
2016-02-09,237.8,242.15,229.1,229.5,230.6,3495905.0,8224.59
2016-02-08,248.0,248.95,240.1,240.7,241.15,827940.0,2022.17
2016-02-05,243.9,251.8,243.9,247.75,248.75,1793182.0,4460.57
2016-02-04,244.5,246.3,239.5,242.5,242.95,2205619.0,5355.82
