Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,76.0,76.15,72.3,73.6,73.7,6058409.0,4479.88
2016-06-16,76.45,76.95,74.45,76.4,76.3,3581801.0,2720.7
2016-06-15,76.35,77.0,75.6,76.45,76.55,3143905.0,2400.95
2016-06-14,75.95,76.15,74.55,75.6,75.65,3686745.0,2772.77
2016-06-13,77.0,77.4,75.1,75.6,75.65,8139327.0,6190.26
2016-06-10,75.75,76.65,75.4,76.1,76.2,2779257.0,2114.4
2016-06-09,76.2,77.2,75.2,75.9,75.65,6019577.0,4592.86
2016-06-08,73.85,75.9,73.15,75.8,75.45,4076787.0,3046.4
2016-06-07,74.5,74.7,73.0,73.35,73.5,5048835.0,3733.17
2016-06-06,74.0,75.0,72.95,74.35,74.2,2596711.0,1924.45
2016-06-03,72.35,74.45,72.35,74.2,73.9,4785183.0,3531.09
2016-06-02,72.85,73.55,71.9,72.2,72.25,4488291.0,3258.42
2016-06-01,74.95,74.95,72.45,72.85,72.75,4052173.0,2980.56
2016-05-31,75.0,75.3,73.3,73.75,73.75,6855752.0,5063.31
2016-05-30,72.9,76.0,72.3,75.45,75.15,4012385.0,2985.16
2016-05-27,73.65,74.8,72.4,72.55,72.6,4308396.0,3166.05
2016-05-26,73.5,74.0,72.3,73.75,73.65,5051648.0,3703.97
2016-05-25,72.15,73.4,71.8,73.1,73.15,3625265.0,2634.45
2016-05-24,72.2,72.75,71.25,71.9,71.7,7098409.0,5097.8
2016-05-23,71.2,71.4,70.25,70.6,70.65,4459879.0,3157.5
2016-05-20,68.65,70.15,68.45,69.75,69.4,3274768.0,2275.04
2016-05-19,70.0,70.35,68.0,68.35,68.4,2676759.0,1861.11
2016-05-18,69.5,70.45,69.15,70.25,70.0,2552016.0,1783.25
2016-05-17,70.5,70.65,69.5,70.05,70.0,3257541.0,2279.99
2016-05-16,70.5,70.9,69.35,70.1,70.25,4503427.0,3159.84
2016-05-13,70.6,71.1,69.6,70.7,70.35,3286426.0,2309.68
2016-05-12,71.15,72.05,70.5,71.0,70.85,2876247.0,2051.02
2016-05-11,71.75,72.3,70.85,71.1,71.0,2852221.0,2036.96
2016-05-10,73.4,73.5,71.8,72.45,72.45,2270352.0,1647.1
2016-05-09,72.5,74.0,72.25,73.4,73.45,4298244.0,3152.18
2016-05-06,70.3,72.5,69.9,72.3,72.2,3358906.0,2393.15
2016-05-05,70.4,71.25,69.9,70.5,70.3,2260946.0,1596.38
2016-05-04,70.6,72.0,70.1,70.55,70.4,3527824.0,2505.56
2016-05-03,71.35,73.5,70.65,71.1,71.1,9645821.0,6978.42
2016-05-02,70.45,71.0,69.5,70.4,70.15,3813866.0,2683.21
2016-04-29,69.1,71.0,68.3,70.35,70.5,4697803.0,3284.38
2016-04-28,70.95,71.05,68.85,68.9,69.25,4533595.0,3159.86
2016-04-27,72.1,72.3,70.25,70.7,70.75,3189399.0,2263.01
2016-04-26,69.55,72.2,69.3,72.0,72.0,4028690.0,2861.7
2016-04-25,70.1,70.45,68.75,69.7,69.55,1890213.0,1311.45
2016-04-22,69.9,70.9,69.75,69.95,69.95,2624221.0,1841.05
2016-04-21,71.0,71.45,68.8,69.5,69.7,2708771.0,1894.9
2016-04-20,69.6,71.5,69.5,70.6,70.55,4163252.0,2940.72
2016-04-18,69.5,70.3,68.7,69.5,69.6,3167747.0,2197.68
2016-04-13,68.5,70.25,68.3,69.95,70.0,6604092.0,4592.62
2016-04-12,67.7,69.15,67.5,67.7,67.85,6464234.0,4422.74
2016-04-11,65.7,67.9,65.5,67.9,67.7,6184956.0,4128.45
2016-04-08,65.7,66.15,64.1,65.65,65.8,9017859.0,5867.76
2016-04-07,67.95,70.1,60.55,63.75,63.9,53852649.0,34600.04
2016-04-06,67.3,67.65,66.0,66.65,66.5,3777207.0,2524.94
2016-04-05,68.15,68.15,66.5,67.3,67.0,6724126.0,4516.3
2016-04-04,65.85,69.75,65.7,68.2,68.3,9789614.0,6646.25
2016-04-01,64.95,65.5,63.65,65.3,65.2,4168582.0,2693.03
2016-03-31,63.4,65.1,63.1,64.95,64.65,16079185.0,10388.97
2016-03-30,61.7,63.25,61.15,63.0,62.65,6428062.0,4012.92
2016-03-29,61.25,62.4,60.4,61.25,61.4,2455934.0,1511.42
2016-03-28,63.05,63.05,60.75,60.85,60.95,3602398.0,2214.05
2016-03-23,63.05,63.4,62.35,62.55,62.65,7172438.0,4502.1
2016-03-22,59.3,61.95,59.15,61.75,61.8,9339334.0,5703.6
2016-03-21,58.5,59.35,58.4,59.1,59.15,1715057.0,1010.79
2016-03-18,58.6,58.8,58.0,58.5,58.5,3214536.0,1877.0
2016-03-17,59.1,59.35,58.25,58.35,58.45,3314559.0,1942.79
2016-03-16,58.9,59.1,58.1,58.7,58.85,3192053.0,1874.83
2016-03-15,59.2,59.45,58.65,58.9,58.75,3150180.0,1858.26
2016-03-14,59.2,59.65,59.05,59.05,59.2,1546387.0,916.72
2016-03-11,58.9,59.4,58.55,58.9,59.0,2138542.0,1261.45
2016-03-10,59.15,59.55,58.75,58.85,58.9,2834684.0,1675.75
2016-03-09,57.4,59.05,57.4,58.6,58.65,5840040.0,3422.75
2016-03-08,59.25,59.8,58.35,58.85,58.75,4639963.0,2745.64
2016-03-04,59.8,59.9,58.8,59.3,59.25,4978583.0,2947.91
2016-03-03,59.3,59.9,58.5,59.7,59.5,3763947.0,2225.69
2016-03-02,59.5,59.8,58.55,59.0,58.9,4236895.0,2509.06
2016-03-01,57.65,58.8,57.15,58.75,58.4,2593429.0,1511.57
2016-02-29,58.0,58.35,56.25,57.6,57.3,3685533.0,2121.39
2016-02-26,57.7,58.0,57.0,57.5,57.55,1469491.0,846.1
2016-02-25,58.1,58.95,56.6,57.0,57.05,5151016.0,2981.74
2016-02-24,57.9,58.6,57.55,58.0,57.8,1459265.0,846.93
2016-02-23,59.0,59.05,57.8,57.8,58.0,1930159.0,1127.88
2016-02-22,59.45,59.45,58.4,58.6,58.6,1875698.0,1102.21
2016-02-19,59.15,59.85,58.3,58.6,58.8,4420717.0,2611.27
2016-02-18,59.2,59.7,58.35,59.2,59.2,3013798.0,1778.45
2016-02-17,58.9,59.45,57.0,58.8,58.7,5755969.0,3367.29
2016-02-16,60.8,61.9,58.05,58.8,58.55,6203807.0,3710.08
2016-02-15,57.2,60.25,57.15,59.9,59.55,11819297.0,7012.99
2016-02-12,56.55,57.9,55.0,56.5,56.7,3828563.0,2160.01
2016-02-11,59.0,59.5,55.6,56.3,56.3,3390846.0,1953.93
2016-02-10,59.55,59.8,57.65,59.3,59.2,2181050.0,1281.4
2016-02-09,58.5,60.0,58.3,59.85,59.7,2166595.0,1285.04
2016-02-08,60.25,60.8,58.65,58.9,58.95,4217105.0,2513.46
2016-02-05,59.75,60.5,59.45,60.25,60.25,4254914.0,2557.2
2016-02-04,57.45,59.85,57.45,59.15,59.05,3734608.0,2202.07
2016-02-03,58.5,58.5,56.5,57.25,57.05,3077309.0,1764.1
2016-02-02,60.75,60.85,58.4,58.7,58.75,4705494.0,2820.13
2016-02-01,61.0,61.0,60.1,60.45,60.6,3874248.0,2343.88
2016-01-29,60.2,61.35,59.8,60.05,60.1,4490327.0,2712.85
2016-01-28,61.3,61.7,59.75,59.95,60.0,5165366.0,3119.53
2016-01-27,62.4,62.4,61.0,61.35,61.3,2950538.0,1817.12
2016-01-25,62.55,62.55,61.05,61.4,61.35,2573219.0,1592.21
2016-01-22,62.4,62.5,61.5,61.8,61.75,2793950.0,1732.06
2016-01-21,62.1,62.75,60.1,61.15,61.15,4223902.0,2585.77
2016-01-20,63.2,63.7,60.4,61.6,61.75,3483973.0,2159.35
2016-01-19,62.2,64.95,62.0,64.0,64.25,3722032.0,2386.15
2016-01-18,61.45,63.45,61.1,61.75,61.65,2870369.0,1792.38
2016-01-15,65.0,65.5,61.3,61.6,61.75,2254377.0,1426.11
2016-01-14,65.1,65.85,63.5,64.8,64.75,2720635.0,1764.59
2016-01-13,67.5,68.0,64.4,65.8,65.7,3728023.0,2458.65
2016-01-12,67.65,68.25,66.45,67.1,67.0,2857305.0,1921.45
2016-01-11,67.95,67.95,66.2,67.3,67.15,3288875.0,2204.66
2016-01-08,67.0,69.3,66.35,68.4,68.7,2913346.0,1977.54
2016-01-07,67.95,68.4,65.8,66.3,66.35,2616771.0,1759.17
2016-01-06,69.3,69.75,68.0,68.7,68.8,3274557.0,2256.28
2016-01-05,68.55,70.7,68.45,69.3,69.35,3266085.0,2270.51
2016-01-04,68.9,69.9,67.5,68.4,68.25,2644953.0,1814.68
2016-01-01,68.1,69.45,67.8,68.85,68.95,1973896.0,1354.45
2015-12-31,67.9,69.0,67.6,67.85,67.9,3580051.0,2443.89
2015-12-30,68.45,68.45,67.45,67.85,67.75,2193301.0,1487.51
2015-12-29,67.7,67.9,66.8,67.05,67.1,1868048.0,1257.14
2015-12-28,67.0,68.35,67.0,67.3,67.5,3739245.0,2536.72
2015-12-24,66.0,66.8,65.45,66.55,66.4,1359015.0,899.21
2015-12-23,65.65,66.15,65.3,65.5,65.75,1163831.0,766.3
2015-12-22,65.05,66.4,64.75,65.25,65.25,2654585.0,1740.85
2015-12-21,65.0,65.5,64.4,64.95,65.0,2932353.0,1906.19
2015-12-18,64.75,66.0,64.5,64.9,65.0,3813660.0,2485.24
2015-12-17,62.95,64.95,62.3,64.75,64.75,3638996.0,2324.79
2015-12-16,61.95,63.1,61.7,61.8,62.0,2509005.0,1566.75
2015-12-15,61.5,62.05,61.1,61.3,61.45,1989111.0,1221.93
2015-12-14,62.0,62.55,61.1,61.9,61.6,1926459.0,1190.69
2015-12-11,62.4,63.15,61.0,61.8,61.85,2013081.0,1249.77
2015-12-10,62.3,62.9,62.0,62.55,62.6,1552855.0,970.63
2015-12-09,63.75,63.75,61.7,62.15,62.0,1717959.0,1072.16
2015-12-08,62.9,64.3,62.75,63.25,63.55,2207354.0,1403.53
2015-12-07,64.9,64.95,64.0,64.1,64.15,1516182.0,975.65
2015-12-04,64.9,66.0,64.0,64.05,64.2,2544924.0,1648.77
2015-12-03,66.0,66.8,65.25,65.3,65.65,1727696.0,1143.17
2015-12-02,66.8,66.95,65.85,66.1,66.3,1407703.0,933.67
2015-12-01,68.0,68.0,66.35,66.4,66.6,3104617.0,2084.26
2015-11-30,66.5,67.9,66.45,67.2,66.8,6754131.0,4523.73
2015-11-27,66.8,67.35,65.9,66.3,66.25,1778931.0,1182.52
2015-11-26,66.7,67.05,66.15,66.35,66.3,4945512.0,3288.1
2015-11-24,66.9,67.3,66.3,66.7,66.55,1807371.0,1209.56
2015-11-23,67.0,67.1,66.5,67.0,66.95,1691812.0,1131.06
2015-11-20,66.35,67.5,66.3,66.7,66.65,1435324.0,960.86
2015-11-19,66.05,66.95,66.05,66.75,66.75,1319920.0,879.22
2015-11-18,67.55,68.25,65.65,65.85,65.85,2070946.0,1387.76
2015-11-17,67.5,68.2,66.95,67.4,67.4,1783141.0,1204.58
2015-11-16,68.15,68.55,66.65,67.35,67.3,4186093.0,2815.35
2015-11-13,68.45,68.85,67.55,68.2,68.3,1967314.0,1344.8
2015-11-11,69.0,69.3,68.05,69.0,68.45,466299.0,319.27
2015-11-10,69.25,69.8,67.35,68.0,67.8,4596144.0,3151.59
2015-11-09,67.0,69.55,66.05,68.15,68.1,9032436.0,6163.33
2015-11-06,69.4,69.5,66.6,67.55,67.55,2400308.0,1623.24
2015-11-05,69.1,69.5,68.15,68.4,68.5,1836314.0,1264.44
2015-11-04,69.4,69.5,68.45,68.6,68.6,2170065.0,1497.14
2015-11-03,69.5,69.6,68.35,68.8,68.85,1841334.0,1269.81
2015-11-02,68.7,69.15,68.1,68.95,68.75,1629516.0,1117.5
2015-10-30,69.75,71.5,68.65,68.7,68.85,7852546.0,5487.33
2015-10-29,69.6,70.0,68.5,69.55,69.65,6150955.0,4264.21
2015-10-28,70.8,71.05,69.4,69.55,69.7,2772890.0,1940.25
2015-10-27,70.5,71.5,70.35,70.95,70.95,4220398.0,2992.96
2015-10-26,70.7,71.9,70.15,70.6,70.65,3336007.0,2363.92
2015-10-23,71.1,71.3,70.05,70.8,70.4,2483461.0,1757.12
2015-10-21,71.35,71.35,69.35,70.4,70.6,3607852.0,2534.85
2015-10-20,69.4,72.5,69.35,70.8,70.9,7165327.0,5120.65
2015-10-19,70.0,70.0,68.75,69.5,69.45,1948781.0,1350.22
2015-10-16,70.35,70.6,64.0,69.8,69.65,2399414.0,1671.48
2015-10-15,70.2,71.1,70.0,70.35,70.2,2276032.0,1601.3
2015-10-14,70.0,70.4,69.5,69.95,69.65,1506954.0,1053.57
2015-10-13,70.0,70.35,69.4,70.25,70.15,2212905.0,1551.02
2015-10-12,69.95,71.25,69.55,69.9,69.95,5866783.0,4120.66
2015-10-09,70.45,71.05,69.25,69.8,69.7,2545925.0,1784.78
