Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,333.0,333.5,323.8,325.2,325.45,5702881.0,18623.61
2016-06-16,329.5,333.5,324.1,329.5,330.5,6490905.0,21366.71
2016-06-15,326.1,331.5,323.8,331.05,330.25,4134184.0,13544.31
2016-06-14,325.0,327.45,321.3,325.2,324.95,4008566.0,13008.0
2016-06-13,328.3,329.95,321.0,322.65,323.1,6576686.0,21304.17
2016-06-10,342.0,344.5,333.5,333.7,334.4,5506426.0,18666.17
2016-06-09,340.0,346.7,340.0,344.0,342.05,5935910.0,20395.11
2016-06-08,343.25,346.45,338.5,341.5,341.5,4466650.0,15283.62
2016-06-07,339.55,343.85,337.05,343.55,342.6,3898620.0,13297.86
2016-06-06,335.0,340.7,332.15,338.6,337.85,4969784.0,16747.66
2016-06-03,344.0,348.3,336.4,337.85,338.55,8832388.0,30214.19
2016-06-02,332.0,341.9,330.35,341.9,340.65,5572983.0,18781.74
2016-06-01,335.9,339.6,329.4,332.3,332.15,6483031.0,21731.2
2016-05-31,324.5,337.5,320.25,334.05,334.35,10042011.0,33218.25
2016-05-30,332.05,334.6,321.45,321.9,322.35,6618099.0,21583.35
2016-05-27,326.0,332.0,324.55,331.05,329.6,4404479.0,14444.57
2016-05-26,320.0,329.35,320.0,327.0,325.2,12892426.0,41806.99
2016-05-25,320.0,326.5,318.15,324.35,324.6,5523886.0,17808.0
2016-05-24,313.45,318.45,311.25,318.0,317.7,5022884.0,15824.41
2016-05-23,324.7,325.75,312.5,314.1,313.55,6397200.0,20313.5
2016-05-20,326.2,327.1,321.1,323.0,322.65,4611092.0,14927.88
2016-05-19,326.5,337.4,325.0,325.4,326.25,6510727.0,21617.32
2016-05-18,325.7,330.2,323.15,330.0,329.05,3759529.0,12289.57
2016-05-17,328.8,331.15,324.4,326.2,327.15,4879761.0,15986.59
2016-05-16,323.05,327.25,319.4,326.5,326.4,3930807.0,12728.11
2016-05-13,327.0,329.35,321.2,321.6,322.65,5602557.0,18167.17
2016-05-12,331.25,332.2,326.6,331.0,330.6,4706634.0,15509.14
2016-05-11,319.9,332.0,319.15,329.8,329.8,5687705.0,18689.63
2016-05-10,330.9,337.25,325.15,328.1,328.05,10750089.0,35535.92
2016-05-09,330.0,334.95,327.2,329.1,328.7,4658395.0,15396.92
2016-05-06,330.0,331.5,325.1,329.6,329.3,5362816.0,17623.5
2016-05-05,329.0,334.8,324.15,333.0,331.8,8335949.0,27451.52
2016-05-04,346.0,347.25,327.4,329.5,328.75,7957557.0,26631.71
2016-05-03,348.75,355.65,347.0,348.8,348.9,6374681.0,22386.17
2016-05-02,349.0,351.0,344.4,346.8,346.95,4181306.0,14550.43
2016-04-29,347.7,353.9,342.7,352.45,351.1,7804551.0,27249.98
2016-04-28,357.0,362.0,346.15,347.65,347.6,10079174.0,35643.19
2016-04-27,358.9,362.4,354.15,356.6,356.75,6027540.0,21545.75
2016-04-26,347.15,360.6,347.1,357.8,358.6,8345302.0,29667.57
2016-04-25,352.5,353.7,344.55,349.05,347.45,6159623.0,21396.86
2016-04-22,358.0,363.75,352.3,353.8,353.65,12095871.0,43320.16
2016-04-21,358.8,364.05,353.1,354.0,354.55,10350647.0,36965.77
2016-04-20,337.95,359.3,337.7,358.0,357.45,18382196.0,64761.36
2016-04-18,331.9,337.25,327.65,336.3,335.55,7192987.0,23979.08
2016-04-13,327.5,336.2,326.0,332.55,332.85,10284415.0,34112.51
2016-04-12,323.9,330.9,318.0,324.75,324.5,11110285.0,36207.34
2016-04-11,322.0,333.3,320.05,330.2,331.15,9014830.0,29509.62
2016-04-08,323.05,324.8,319.05,322.7,322.1,6080953.0,19589.87
2016-04-07,329.9,332.75,322.1,324.6,323.7,8609454.0,28179.92
2016-04-06,315.0,332.0,313.55,328.35,328.55,14591057.0,47479.29
2016-04-05,316.95,319.4,308.3,312.05,312.3,5723253.0,17965.68
2016-04-04,315.8,323.1,314.7,320.85,320.35,5167920.0,16565.99
2016-04-01,317.65,319.85,313.35,316.7,317.75,5570019.0,17622.9
2016-03-31,324.9,324.9,314.4,319.05,319.7,13349925.0,42718.92
2016-03-30,309.45,325.75,305.3,323.5,324.3,12438899.0,39476.33
2016-03-29,300.0,307.75,300.0,304.25,303.85,5937162.0,18088.24
2016-03-28,318.4,318.4,297.4,299.95,299.15,9069782.0,27716.03
2016-03-23,311.8,317.9,310.55,317.0,317.2,6377772.0,20023.05
2016-03-22,303.1,311.8,301.35,311.8,309.8,6579069.0,20127.69
2016-03-21,302.0,305.95,300.65,304.2,303.55,5651710.0,17159.72
2016-03-18,299.7,302.75,296.95,302.35,302.2,7314488.0,21966.57
2016-03-17,304.5,305.65,294.9,295.75,295.9,8005526.0,24115.48
2016-03-16,300.0,302.75,294.2,299.95,299.5,7039372.0,20999.71
2016-03-15,297.0,302.0,294.1,300.0,300.45,6978051.0,20854.07
2016-03-14,295.95,300.25,295.25,296.2,296.7,4445317.0,13206.18
2016-03-11,296.0,298.2,290.35,294.6,294.05,7633668.0,22453.64
2016-03-10,296.3,301.25,293.3,296.0,296.7,8556968.0,25457.2
2016-03-09,283.5,296.5,281.3,296.45,295.4,10158431.0,29228.75
2016-03-08,287.8,296.7,287.0,291.4,291.8,9281598.0,27224.31
2016-03-04,289.0,291.2,284.5,290.0,288.55,9170166.0,26394.36
2016-03-03,273.0,289.0,272.1,287.95,287.05,17533077.0,49247.46
2016-03-02,260.0,269.5,259.5,269.0,267.55,7645620.0,20301.99
2016-03-01,250.0,258.15,246.55,257.5,257.05,7111226.0,17967.87
2016-02-29,246.9,263.65,245.1,247.55,249.1,9850435.0,25066.4
2016-02-26,249.5,251.7,243.15,248.4,248.45,5336837.0,13204.11
2016-02-25,247.1,249.85,244.6,249.5,248.15,5588168.0,13823.22
2016-02-24,250.6,253.75,246.95,247.15,247.9,4743823.0,11903.34
2016-02-23,255.8,261.6,252.1,252.4,253.55,8452358.0,21720.13
2016-02-22,253.6,257.5,251.7,255.55,255.25,4810335.0,12255.35
2016-02-19,248.5,254.45,246.85,253.25,253.25,6770618.0,17028.19
2016-02-18,255.0,256.5,243.2,250.5,250.85,9459329.0,23766.03
2016-02-17,245.0,252.9,238.0,252.35,251.25,8295421.0,20283.11
2016-02-16,249.6,251.6,243.15,245.4,244.85,9146831.0,22542.46
2016-02-15,222.0,248.0,222.0,247.0,246.7,13602332.0,32813.04
2016-02-12,226.0,229.35,211.15,216.4,217.5,9373751.0,20356.35
2016-02-11,235.95,237.3,220.85,225.5,224.5,6151670.0,14071.58
2016-02-10,234.85,237.75,227.1,237.0,235.7,7616029.0,17694.62
2016-02-09,230.9,237.3,230.1,236.8,235.5,7562851.0,17714.97
