Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,2559.0,2610.0,2559.0,2600.0,2602.6,939494.0,24333.37
2016-06-16,2545.55,2564.7,2516.45,2557.0,2558.3,572535.0,14541.14
2016-06-15,2530.0,2564.9,2522.0,2558.5,2556.85,635422.0,16144.92
2016-06-14,2558.95,2558.95,2518.25,2540.0,2534.85,488785.0,12373.44
2016-06-13,2540.0,2553.35,2518.0,2545.25,2547.0,514989.0,13071.71
2016-06-10,2566.0,2603.25,2553.2,2554.0,2555.75,698416.0,17960.98
2016-06-09,2622.4,2622.4,2555.2,2581.9,2577.25,781069.0,20160.43
2016-06-08,2617.25,2628.55,2605.5,2615.0,2613.1,469133.0,12271.42
2016-06-07,2614.0,2639.0,2613.0,2631.6,2631.15,601097.0,15800.55
2016-06-06,2620.5,2639.0,2603.2,2610.0,2612.5,661013.0,17309.2
2016-06-03,2651.4,2658.0,2620.5,2628.0,2629.55,777461.0,20461.79
2016-06-02,2600.0,2654.3,2600.0,2654.0,2650.15,704378.0,18566.99
2016-06-01,2571.2,2645.0,2571.0,2633.9,2633.55,955971.0,25094.71
2016-05-31,2640.0,2647.0,2562.0,2567.5,2569.4,1861304.0,48047.09
2016-05-30,2583.0,2641.95,2582.0,2636.05,2636.4,674732.0,17661.12
2016-05-27,2553.15,2579.85,2550.6,2577.0,2572.65,552338.0,14178.15
2016-05-26,2530.0,2564.9,2505.1,2560.0,2548.7,971624.0,24652.03
2016-05-25,2481.0,2532.95,2481.0,2520.95,2526.45,774339.0,19467.84
2016-05-24,2484.0,2488.25,2459.6,2468.6,2467.7,669579.0,16522.76
2016-05-23,2544.0,2545.9,2480.2,2483.0,2491.45,766508.0,19240.37
2016-05-20,2542.3,2565.8,2522.8,2529.9,2529.3,615459.0,15650.58
2016-05-19,2555.0,2560.0,2526.1,2555.0,2556.95,519396.0,13236.92
2016-05-18,2565.85,2565.85,2526.05,2553.0,2551.1,750370.0,19084.12
2016-05-17,2564.2,2591.25,2552.0,2570.0,2570.2,878349.0,22598.58
2016-05-16,2538.0,2564.8,2522.5,2552.75,2551.15,555763.0,14135.23
2016-05-13,2565.0,2566.0,2510.15,2525.0,2523.4,810865.0,20517.19
2016-05-12,2520.55,2569.9,2520.55,2566.0,2566.2,756541.0,19325.91
2016-05-11,2500.0,2525.6,2490.0,2524.8,2518.3,799358.0,20096.48
2016-05-10,2515.0,2533.95,2496.0,2522.9,2522.9,579267.0,14572.24
2016-05-09,2473.4,2518.0,2456.4,2514.6,2512.55,910638.0,22758.85
2016-05-06,2465.0,2484.3,2431.0,2479.0,2473.4,442799.0,10877.79
2016-05-05,2478.0,2489.95,2463.55,2469.3,2470.3,623283.0,15410.49
2016-05-04,2473.9,2494.05,2457.0,2478.0,2478.0,682446.0,16872.77
2016-05-03,2525.0,2530.0,2472.0,2473.9,2478.1,1076559.0,26872.84
