Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,533.1,542.0,532.3,534.2,535.25,946013.0,5078.5
2016-06-16,537.05,543.35,530.5,532.0,533.1,1181394.0,6304.09
2016-06-15,535.0,542.0,530.0,542.0,540.9,648970.0,3476.78
2016-06-14,531.05,537.4,528.5,534.8,533.3,736886.0,3917.1
2016-06-13,534.2,536.4,528.55,533.4,534.1,852440.0,4539.91
2016-06-10,535.7,540.45,530.75,537.85,537.55,565211.0,3035.25
2016-06-09,537.9,537.9,528.3,533.05,534.45,1085142.0,5768.01
2016-06-08,540.0,540.0,533.0,534.7,535.65,739380.0,3962.18
2016-06-07,544.9,544.9,533.45,536.9,536.3,1763517.0,9490.17
2016-06-06,550.8,551.9,534.25,539.95,539.6,1614098.0,8750.82
2016-06-03,551.45,557.55,546.15,550.2,551.7,1706048.0,9418.87
2016-06-02,537.0,552.5,537.0,547.15,546.15,1862166.0,10183.26
2016-06-01,541.0,543.2,537.3,539.25,540.0,1093756.0,5903.81
2016-05-31,544.1,548.0,536.65,542.0,540.35,2896981.0,15639.07
2016-05-30,535.8,564.0,535.0,543.0,543.55,2901801.0,16006.9
2016-05-27,539.0,541.0,533.6,535.0,535.9,1572528.0,8445.13
2016-05-26,530.0,547.0,520.25,541.0,542.3,3270866.0,17459.54
2016-05-25,499.1,532.0,494.5,530.3,528.5,10804773.0,56083.17
2016-05-24,476.0,485.7,464.6,479.7,480.25,2610091.0,12374.12
2016-05-23,478.1,481.0,472.8,475.05,476.45,1069529.0,5097.94
2016-05-20,482.3,489.45,474.85,477.0,475.85,741237.0,3567.13
2016-05-19,484.2,487.5,481.15,484.0,484.0,1292336.0,6257.37
2016-05-18,481.05,486.25,480.0,484.5,484.75,1371699.0,6633.1
2016-05-17,489.0,493.9,481.8,482.5,483.8,868879.0,4227.5
2016-05-16,479.0,494.9,477.85,487.9,486.95,1732776.0,8466.89
2016-05-13,482.0,483.5,476.2,479.35,479.8,1078921.0,5181.38
2016-05-12,471.5,484.4,471.5,481.3,481.2,1123199.0,5404.55
2016-05-11,477.9,483.6,471.5,474.1,473.9,1749723.0,8351.54
2016-05-10,479.45,485.6,475.65,484.0,482.7,2296911.0,11054.48
2016-05-09,475.1,480.65,474.0,478.85,478.6,827632.0,3953.44
2016-05-06,475.2,479.0,470.4,472.4,473.05,948747.0,4486.96
2016-05-05,466.8,482.0,465.0,481.0,479.35,1484568.0,7050.58
2016-05-04,464.0,471.1,459.7,464.5,466.95,1379336.0,6403.7
2016-05-03,477.2,483.4,465.0,465.7,467.2,1721645.0,8161.12
2016-05-02,485.0,485.0,475.6,477.45,477.2,1076011.0,5141.96
2016-04-29,477.0,489.0,476.0,484.5,486.15,2295767.0,11113.28
2016-04-28,480.0,483.8,468.2,479.35,480.15,4152895.0,19853.82
2016-04-27,477.0,484.1,473.4,480.0,479.25,955123.0,4588.63
2016-04-26,472.2,477.0,465.7,477.0,475.5,1123091.0,5308.97
2016-04-25,481.8,484.7,469.1,471.95,472.0,784214.0,3722.87
2016-04-22,477.05,487.75,474.6,481.0,479.9,2058353.0,9958.69
2016-04-21,484.0,486.5,474.1,475.0,476.35,1179377.0,5673.66
2016-04-20,480.0,488.5,476.0,482.5,483.55,1450742.0,7024.31
2016-04-18,475.0,482.0,472.25,476.0,476.7,1780726.0,8479.28
2016-04-13,469.5,472.6,465.9,470.5,471.4,1062026.0,4986.0
2016-04-12,469.75,472.7,460.1,464.5,464.45,1901106.0,8836.95
2016-04-11,455.85,471.4,451.0,470.45,469.6,1008816.0,4653.48
2016-04-08,444.4,457.8,444.0,455.8,455.85,2043759.0,9242.5
2016-04-07,454.8,459.0,442.9,444.5,444.45,1891494.0,8532.56
2016-04-06,463.5,465.35,448.4,452.25,453.0,2671558.0,12095.33
2016-04-05,472.5,473.0,460.1,462.7,462.25,1430387.0,6662.77
2016-04-04,468.0,474.0,466.2,471.0,470.55,1708093.0,8041.8
2016-04-01,476.0,476.05,460.0,462.05,463.1,2394963.0,11161.67
2016-03-31,475.0,483.0,473.2,475.2,474.95,4630177.0,22066.02
2016-03-30,471.0,478.8,465.75,475.1,472.85,3203825.0,15031.91
2016-03-29,475.1,479.85,464.0,466.55,467.6,2044000.0,9635.29
2016-03-28,482.0,485.25,464.0,478.0,474.7,3609846.0,17003.91
2016-03-23,484.0,484.65,474.65,479.05,479.9,1458923.0,6994.14
2016-03-22,490.1,492.75,480.2,482.1,484.2,2064995.0,10012.53
2016-03-21,492.45,498.4,486.0,491.75,490.1,1653354.0,8105.95
2016-03-18,488.0,496.0,483.15,493.5,492.45,3064899.0,15084.49
2016-03-17,471.0,490.0,471.0,486.35,486.75,2474194.0,11957.28
2016-03-16,457.0,469.15,456.5,466.4,465.8,1223337.0,5643.78
2016-03-15,472.6,475.25,459.0,460.4,460.3,996244.0,4630.55
2016-03-14,460.0,472.3,458.0,470.5,470.2,5115313.0,24001.18
2016-03-11,467.95,470.0,455.6,459.0,458.05,1025718.0,4713.22
2016-03-10,469.85,473.2,464.2,464.7,466.15,3266594.0,15347.19
2016-03-09,443.9,467.5,442.1,463.35,464.15,4030260.0,18644.04
2016-03-08,455.0,459.55,445.0,445.8,448.85,2050957.0,9222.74
2016-03-04,460.0,462.0,449.95,450.05,451.25,2756908.0,12602.38
2016-03-03,459.7,464.0,452.2,461.0,461.75,2371409.0,10873.18
2016-03-02,438.45,460.75,434.05,453.9,455.55,2339747.0,10598.59
2016-03-01,417.0,435.0,416.0,430.25,432.25,1570024.0,6767.01
2016-02-29,417.5,424.0,407.4,415.85,415.55,1555018.0,6467.66
2016-02-26,419.25,424.95,411.3,416.0,417.75,1912583.0,7992.27
2016-02-25,421.9,423.8,411.0,416.5,416.3,2406282.0,9989.35
2016-02-24,425.0,428.0,418.35,422.0,422.05,822293.0,3482.12
2016-02-23,431.7,432.4,424.0,425.0,428.6,1074713.0,4595.91
2016-02-22,440.55,441.9,426.55,431.0,431.7,1155619.0,4981.24
2016-02-19,428.6,442.55,426.55,439.7,440.5,1644603.0,7157.34
2016-02-18,434.95,435.9,422.9,429.05,429.4,1262032.0,5425.85
2016-02-17,422.35,431.5,415.15,429.8,429.55,1169666.0,4940.77
2016-02-16,434.95,436.4,419.65,422.05,422.85,979478.0,4192.96
2016-02-15,432.15,439.1,428.1,430.0,430.3,1888109.0,8138.85
2016-02-12,438.0,439.15,425.25,429.5,430.0,1443312.0,6230.24
2016-02-11,440.4,443.1,429.0,433.35,431.95,1731120.0,7514.57
2016-02-10,447.9,447.9,436.75,438.1,440.4,2686031.0,11866.52
2016-02-09,465.0,467.85,446.45,447.95,448.25,2352111.0,10605.29
2016-02-08,471.5,482.0,468.2,468.2,470.65,598666.0,2847.56
2016-02-05,471.9,476.3,468.1,476.1,475.1,1196754.0,5669.35
2016-02-04,478.9,478.9,465.1,470.55,469.45,1465102.0,6875.07
2016-02-03,471.0,476.8,465.5,474.5,472.2,2019903.0,9504.09
2016-02-02,496.0,499.35,472.1,473.85,474.45,5733789.0,27626.25
2016-02-01,504.95,518.4,496.15,496.75,497.6,2717866.0,13739.05
2016-01-29,500.0,505.65,492.95,501.0,501.4,1583928.0,7893.55
2016-01-28,505.0,509.25,495.9,502.0,500.05,2091098.0,10492.78
2016-01-27,514.0,515.6,501.0,505.25,503.05,2171390.0,10998.48
2016-01-25,517.0,523.75,513.5,514.65,514.55,689789.0,3571.61
2016-01-22,513.0,516.75,503.7,516.0,514.25,894565.0,4562.3
2016-01-21,508.0,516.3,506.55,507.05,507.35,1873696.0,9577.24
2016-01-20,507.25,512.8,503.6,511.0,507.0,2002842.0,10142.84
2016-01-19,518.0,521.6,510.1,513.0,512.5,978429.0,5012.59
2016-01-18,516.0,526.95,514.2,516.7,517.4,1035936.0,5377.26
2016-01-15,519.0,529.95,511.85,523.0,520.55,1612782.0,8421.82
2016-01-14,497.0,516.0,494.05,515.0,514.0,2022474.0,10326.66
2016-01-13,508.0,512.25,496.75,505.0,504.45,1431164.0,7199.81
2016-01-12,507.95,509.3,498.0,506.1,507.4,1836753.0,9254.52
2016-01-11,517.0,517.0,505.85,506.9,507.3,1791903.0,9168.18
2016-01-08,516.0,526.25,512.75,524.0,522.15,1426135.0,7427.32
2016-01-07,521.1,522.45,504.0,513.65,510.8,2014798.0,10346.72
2016-01-06,522.0,527.0,520.8,525.0,525.1,1456740.0,7638.85
2016-01-05,516.95,523.3,516.6,520.65,521.9,1707124.0,8888.58
2016-01-04,520.05,521.3,505.0,513.55,516.4,2684305.0,13802.95
2016-01-01,524.9,524.9,518.5,520.7,520.05,312042.0,1626.28
2015-12-31,523.3,526.0,520.35,522.75,521.65,421683.0,2205.5
2015-12-30,519.5,528.0,519.25,524.0,525.15,1227498.0,6447.47
2015-12-29,520.95,522.0,518.0,518.35,518.95,570433.0,2963.92
2015-12-28,516.05,520.5,512.4,518.3,518.8,1083432.0,5612.84
2015-12-24,520.0,521.75,516.0,516.5,516.95,453150.0,2349.02
2015-12-23,525.0,525.05,516.6,518.95,518.05,697224.0,3624.04
2015-12-22,524.0,526.8,518.9,519.85,519.55,666767.0,3482.37
2015-12-21,519.4,524.4,514.05,521.8,521.85,874232.0,4547.91
2015-12-18,525.7,528.0,521.5,522.0,523.25,1534964.0,8040.52
2015-12-17,525.5,532.15,520.6,529.95,530.0,2067366.0,10875.55
2015-12-16,522.55,531.0,520.1,523.0,523.35,1399927.0,7359.06
2015-12-15,548.0,548.0,516.6,521.35,519.95,2697637.0,14226.33
2015-12-14,527.0,545.0,527.0,543.0,543.65,773988.0,4195.65
2015-12-11,540.0,543.9,535.1,536.0,536.95,926348.0,4989.33
2015-12-10,530.4,540.5,523.8,538.3,538.75,702931.0,3736.99
2015-12-09,531.0,537.5,525.1,528.0,527.35,1223560.0,6510.54
2015-12-08,544.95,546.0,528.6,529.0,530.7,1061492.0,5714.42
2015-12-07,536.0,546.5,535.15,545.0,544.65,788606.0,4266.09
2015-12-04,539.95,544.6,534.0,536.3,536.35,938866.0,5036.53
2015-12-03,539.6,544.5,536.0,542.9,542.6,852540.0,4620.5
2015-12-02,543.0,545.6,537.15,540.15,540.0,715680.0,3870.74
2015-12-01,533.0,543.1,533.0,542.9,542.15,1079295.0,5828.67
2015-11-30,534.9,541.2,530.0,531.75,533.45,2080681.0,11112.28
2015-11-27,529.9,536.85,528.5,533.0,534.3,772320.0,4114.1
2015-11-26,538.0,544.0,527.05,530.7,529.6,3051131.0,16238.86
2015-11-24,535.1,543.75,532.45,536.2,537.55,985303.0,5304.63
2015-11-23,536.0,544.75,535.1,540.0,539.0,839938.0,4534.51
2015-11-20,534.95,540.0,531.0,532.4,534.9,1126241.0,6043.75
2015-11-19,521.5,535.8,520.0,535.05,534.4,1214934.0,6439.12
2015-11-18,523.5,530.4,515.0,517.1,516.7,892774.0,4662.01
2015-11-17,516.05,527.75,516.05,521.1,523.5,2175347.0,11369.71
2015-11-16,518.0,518.55,508.0,517.0,515.95,1347660.0,6917.57
2015-11-13,520.0,525.55,518.0,518.7,520.05,860928.0,4495.83
2015-11-11,529.9,529.9,524.2,524.8,525.55,101167.0,532.59
2015-11-10,532.4,532.95,523.55,525.7,524.95,860680.0,4538.62
2015-11-09,524.0,534.85,519.05,531.45,532.4,2136740.0,11236.02
2015-11-06,537.0,537.35,526.15,533.45,533.45,1218451.0,6490.53
2015-11-05,545.5,546.95,532.95,533.3,534.95,1057337.0,5696.32
2015-11-04,568.0,568.5,540.1,542.9,542.9,3424936.0,18973.52
2015-11-03,558.3,563.0,548.5,558.8,556.75,1884815.0,10481.93
2015-11-02,541.0,557.5,532.45,557.4,556.05,1862983.0,10170.97
