Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,3314.0,3323.9,3276.75,3286.75,3303.05,143919.0,4750.23
2016-06-16,3343.3,3353.0,3261.0,3288.2,3281.85,320268.0,10528.13
2016-06-15,3327.0,3374.0,3306.2,3361.1,3363.75,187858.0,6271.08
2016-06-14,3401.45,3408.0,3311.1,3318.95,3321.9,115351.0,3859.65
2016-06-13,3365.0,3405.9,3328.2,3392.0,3397.9,192857.0,6482.46
2016-06-10,3365.0,3395.75,3327.75,3390.0,3384.65,247285.0,8348.45
2016-06-09,3380.0,3400.0,3365.0,3377.0,3379.7,342046.0,11556.61
2016-06-08,3348.7,3392.0,3345.0,3372.0,3371.35,296075.0,9966.29
2016-06-07,3230.0,3341.7,3230.0,3336.5,3334.95,410209.0,13599.73
2016-06-06,3189.5,3244.0,3189.5,3229.0,3227.3,153326.0,4927.16
2016-06-03,3235.0,3254.65,3183.3,3189.5,3189.25,169178.0,5450.04
2016-06-02,3230.0,3244.8,3206.5,3225.05,3232.95,100251.0,3235.02
2016-06-01,3226.7,3259.75,3207.85,3235.0,3228.25,124069.0,4010.71
2016-05-31,3222.0,3249.6,3206.75,3240.0,3226.7,237511.0,7666.67
2016-05-30,3257.1,3257.1,3192.05,3209.65,3212.2,177145.0,5685.73
2016-05-27,3216.0,3255.0,3216.0,3242.0,3248.3,234528.0,7593.29
2016-05-26,3209.45,3229.0,3195.1,3220.0,3213.65,319159.0,10267.36
2016-05-25,3195.1,3212.05,3181.25,3208.0,3209.45,289001.0,9257.07
2016-05-24,3120.1,3181.45,3110.3,3179.95,3174.45,121407.0,3834.76
2016-05-23,3136.4,3156.6,3110.1,3130.0,3122.4,127994.0,4010.28
2016-05-20,3189.25,3203.05,3121.05,3130.0,3134.0,126001.0,3967.29
2016-05-19,3218.0,3223.45,3176.0,3190.0,3189.5,132005.0,4222.68
2016-05-18,3268.0,3268.0,3210.25,3220.0,3223.6,219110.0,7072.08
2016-05-17,3180.25,3269.5,3180.25,3251.0,3252.75,329146.0,10655.11
2016-05-16,3160.15,3180.0,3145.1,3168.0,3171.7,137464.0,4345.94
2016-05-13,3201.0,3223.1,3135.0,3145.0,3151.65,157308.0,4979.43
2016-05-12,3199.0,3232.9,3196.45,3216.4,3227.6,173469.0,5585.5
2016-05-11,3151.0,3223.65,3116.35,3193.2,3199.1,242607.0,7744.05
2016-05-10,3161.9,3187.45,3136.95,3183.15,3165.75,179063.0,5663.95
2016-05-09,3100.0,3177.95,3100.0,3150.0,3165.75,305142.0,9634.4
2016-05-06,3120.0,3131.95,3062.05,3104.0,3099.9,237698.0,7352.7
2016-05-05,3199.7,3199.7,3108.0,3118.0,3119.0,281986.0,8852.84
2016-05-04,3172.0,3205.0,3172.0,3175.1,3183.65,127389.0,4056.28
2016-05-03,3195.0,3245.3,3182.2,3214.7,3215.0,328289.0,10560.81
2016-05-02,3170.6,3197.0,3137.3,3166.15,3176.1,151083.0,4791.46
2016-04-29,3185.0,3197.0,3150.0,3156.55,3161.45,223901.0,7104.17
2016-04-28,3203.9,3228.15,3152.45,3168.0,3169.25,352944.0,11234.02
2016-04-27,3251.1,3269.25,3185.35,3198.0,3191.8,349837.0,11233.58
2016-04-26,3293.3,3298.45,3251.25,3261.5,3266.05,292028.0,9560.5
2016-04-25,3288.0,3327.6,3256.85,3288.0,3276.2,710273.0,23352.4
2016-04-22,3250.1,3319.8,3202.8,3275.0,3271.1,302304.0,9841.56
2016-04-21,3385.0,3411.1,3244.0,3244.0,3264.0,186815.0,6190.7
2016-04-20,3420.0,3454.9,3353.25,3378.0,3366.55,257450.0,8774.99
2016-04-18,3276.9,3417.2,3235.0,3406.0,3405.65,511243.0,17104.22
2016-04-13,3194.5,3314.9,3190.2,3258.3,3273.7,593207.0,19510.38
2016-04-12,3140.0,3198.7,3140.0,3165.0,3166.4,274896.0,8734.77
2016-04-11,3159.0,3190.0,3140.4,3150.0,3152.2,258469.0,8164.85
2016-04-08,3150.0,3200.0,3130.05,3165.0,3158.85,310290.0,9851.44
2016-04-07,3200.0,3228.0,3126.05,3150.0,3137.45,186699.0,5939.23
2016-04-06,3123.7,3200.0,3092.5,3195.0,3188.6,327031.0,10393.72
2016-04-05,3151.85,3174.95,3097.0,3100.0,3100.4,226138.0,7064.0
2016-04-04,3229.7,3229.7,3159.5,3163.75,3170.85,131242.0,4180.86
2016-04-01,3249.0,3260.0,3190.0,3204.0,3203.7,274734.0,8848.42
2016-03-31,3221.8,3254.9,3182.1,3234.65,3228.75,699027.0,22552.03
2016-03-30,3179.9,3223.8,3165.0,3202.9,3184.1,403804.0,12942.02
2016-03-29,3174.0,3194.85,3116.1,3135.0,3136.25,277583.0,8722.64
2016-03-28,3205.0,3231.2,3155.05,3174.5,3176.95,494567.0,15853.04
2016-03-23,3216.9,3265.0,3186.95,3190.05,3198.45,352003.0,11304.74
2016-03-22,3235.0,3239.0,3185.1,3207.0,3210.4,658718.0,21103.39
2016-03-21,3111.05,3244.6,3111.05,3226.0,3229.5,624652.0,20075.49
2016-03-18,3049.0,3117.7,3045.0,3106.35,3110.65,474484.0,14659.53
2016-03-17,2990.1,3047.05,2980.8,3031.0,3029.0,475504.0,14375.18
2016-03-16,2995.1,2999.6,2955.0,2980.0,2968.25,257333.0,7670.8
2016-03-15,3001.75,3008.6,2985.0,2987.0,2989.6,381974.0,11451.31
2016-03-14,3006.3,3024.95,2982.7,3009.5,3008.3,287658.0,8652.58
2016-03-11,2995.0,3009.0,2971.55,2993.0,2994.45,306081.0,9179.97
2016-03-10,3011.7,3020.0,2983.0,2990.05,2997.75,474446.0,14226.81
2016-03-09,2958.9,3000.95,2950.05,2994.0,2991.6,482513.0,14406.86
2016-03-08,2919.0,2955.0,2909.3,2950.0,2950.0,365340.0,10760.68
2016-03-04,2949.0,2963.8,2895.3,2915.35,2906.9,184854.0,5395.07
2016-03-03,3000.0,3010.0,2936.1,2947.0,2944.25,376438.0,11165.25
2016-03-02,2920.0,3003.0,2900.55,2971.0,2973.0,481863.0,14292.4
2016-03-01,2780.0,2913.0,2772.95,2883.0,2885.3,357466.0,10164.64
2016-02-29,2810.0,2840.0,2690.05,2773.0,2768.6,521499.0,14498.18
2016-02-26,2804.0,2835.0,2750.0,2770.0,2770.95,483142.0,13493.92
2016-02-25,2805.0,2841.1,2765.6,2790.0,2779.1,185621.0,5190.76
2016-02-24,2815.7,2842.4,2781.4,2809.0,2797.35,201881.0,5673.02
2016-02-23,2929.9,2936.45,2808.75,2811.6,2816.35,233126.0,6654.06
2016-02-22,2849.0,2930.0,2847.0,2917.0,2923.1,291684.0,8485.66
2016-02-19,2809.0,2850.0,2775.0,2844.15,2844.7,225185.0,6314.27
2016-02-18,2799.0,2827.0,2771.15,2795.0,2795.1,211883.0,5929.81
2016-02-17,2805.0,2805.0,2740.1,2765.4,2776.55,110858.0,3072.66
2016-02-16,2830.0,2838.95,2780.35,2781.65,2787.6,250725.0,7022.84
2016-02-15,2775.9,2864.9,2774.9,2800.55,2802.35,182856.0,5181.19
2016-02-12,2734.7,2793.0,2680.0,2773.65,2767.75,704831.0,19484.83
2016-02-11,2808.0,2829.0,2690.35,2704.7,2717.9,314257.0,8763.74
2016-02-10,2778.0,2821.6,2758.0,2818.0,2797.9,192610.0,5341.31
2016-02-09,2804.0,2847.45,2755.4,2777.0,2766.25,239790.0,6690.13
2016-02-08,2849.95,2875.6,2803.3,2804.95,2821.55,109649.0,3127.25
2016-02-05,2785.0,2849.95,2781.25,2840.05,2842.75,127269.0,3591.41
2016-02-04,2775.2,2812.3,2755.25,2775.0,2769.55,103058.0,2870.28
2016-02-03,2755.0,2806.05,2750.2,2759.75,2769.05,135537.0,3766.75
2016-02-02,2820.0,2856.0,2780.35,2790.0,2802.7,201113.0,5671.68
2016-02-01,2860.0,2860.55,2802.0,2809.4,2819.3,240216.0,6802.62
2016-01-29,2751.0,2852.3,2737.8,2834.1,2840.1,325766.0,9110.31
2016-01-28,2764.5,2771.95,2718.45,2750.0,2744.7,477032.0,13082.66
2016-01-27,2767.0,2784.9,2740.0,2745.35,2751.55,289692.0,8002.19
2016-01-25,2756.9,2770.0,2726.0,2752.4,2750.45,157504.0,4331.67
2016-01-22,2680.0,2740.0,2680.0,2720.65,2713.4,164618.0,4470.37
2016-01-21,2670.0,2714.0,2647.1,2696.0,2695.05,420642.0,11301.04
2016-01-20,2610.0,2695.0,2580.0,2615.0,2617.65,770115.0,20075.2
2016-01-19,2645.0,2655.0,2615.9,2642.0,2638.7,246472.0,6503.45
2016-01-18,2639.0,2650.0,2579.0,2650.0,2641.1,239244.0,6280.44
2016-01-15,2634.95,2643.7,2581.0,2624.05,2618.2,215896.0,5643.54
2016-01-14,2631.0,2658.85,2605.0,2629.2,2626.8,494491.0,12972.18
2016-01-13,2695.0,2709.05,2608.8,2689.0,2684.35,442587.0,11821.7
2016-01-12,2731.15,2731.95,2658.3,2670.0,2670.05,256890.0,6863.96
2016-01-11,2680.0,2738.0,2652.0,2728.0,2726.8,180863.0,4904.96
2016-01-08,2677.0,2715.5,2636.2,2705.0,2705.2,202636.0,5433.26
2016-01-07,2700.0,2714.05,2651.35,2674.0,2667.7,498597.0,13314.87
2016-01-06,2733.0,2750.0,2721.5,2730.0,2735.3,448118.0,12255.22
2016-01-05,2768.0,2775.0,2715.0,2730.0,2733.05,333346.0,9112.39
2016-01-04,2810.1,2828.85,2730.0,2750.0,2749.15,461333.0,12715.12
2016-01-01,2774.0,2827.15,2768.0,2822.0,2824.0,85696.0,2408.11
2015-12-31,2780.0,2795.0,2768.25,2774.6,2780.55,285722.0,7938.38
2015-12-30,2820.0,2824.0,2780.0,2781.0,2784.5,155334.0,4344.21
2015-12-29,2816.5,2829.5,2800.6,2818.0,2818.4,154010.0,4335.58
2015-12-28,2824.45,2824.45,2805.0,2813.0,2811.7,158647.0,4461.8
2015-12-24,2821.7,2828.0,2808.05,2808.3,2813.25,95329.0,2687.39
2015-12-23,2805.35,2828.5,2801.2,2810.15,2818.85,114380.0,3224.31
2015-12-22,2806.0,2819.0,2787.6,2795.0,2798.8,199791.0,5611.07
2015-12-21,2810.0,2821.3,2782.75,2799.9,2805.15,182077.0,5099.22
2015-12-18,2894.9,2894.9,2807.05,2814.0,2815.1,373478.0,10579.98
2015-12-17,2877.0,2905.15,2846.05,2890.5,2897.85,244667.0,7046.62
2015-12-16,2885.8,2891.9,2825.0,2852.0,2847.8,241543.0,6906.32
2015-12-15,2833.55,2879.7,2833.55,2870.0,2863.3,501580.0,14316.67
2015-12-14,2778.1,2844.0,2775.0,2835.95,2830.6,175618.0,4966.42
2015-12-11,2820.0,2851.45,2765.0,2785.5,2783.4,263043.0,7368.86
2015-12-10,2789.0,2825.8,2741.15,2808.0,2813.15,161685.0,4508.89
2015-12-09,2861.0,2861.0,2781.0,2785.0,2783.9,199233.0,5577.11
2015-12-08,2864.65,2881.8,2830.0,2838.0,2861.1,211418.0,6063.62
2015-12-07,2872.25,2897.0,2856.2,2868.0,2864.65,213764.0,6158.73
2015-12-04,2854.1,2890.75,2830.3,2860.35,2867.1,215755.0,6176.51
2015-12-03,2840.0,2895.8,2839.0,2852.0,2859.35,277414.0,7993.34
2015-12-02,2866.0,2883.4,2836.5,2844.2,2848.6,231696.0,6635.49
2015-12-01,2810.1,2876.3,2810.1,2863.6,2864.15,217414.0,6219.42
2015-11-30,2830.95,2830.95,2776.1,2805.75,2801.05,322894.0,9035.72
2015-11-27,2815.0,2847.0,2803.0,2831.0,2830.95,207921.0,5879.59
2015-11-26,2805.0,2815.0,2740.3,2804.0,2803.0,222476.0,6224.38
2015-11-24,2801.0,2841.2,2771.3,2778.0,2778.45,173826.0,4874.98
2015-11-23,2787.65,2810.0,2761.35,2800.0,2800.1,120791.0,3379.75
2015-11-20,2754.0,2794.95,2721.25,2776.75,2776.45,217513.0,6041.18
2015-11-19,2749.0,2768.0,2728.0,2751.3,2754.2,289475.0,7958.89
2015-11-18,2739.0,2755.45,2714.15,2732.6,2734.95,157690.0,4313.75
2015-11-17,2750.0,2767.7,2711.2,2727.25,2739.3,300451.0,8220.04
2015-11-16,2681.0,2770.0,2650.0,2741.0,2735.45,214825.0,5841.21
2015-11-13,2704.9,2721.6,2661.2,2686.0,2680.7,393530.0,10555.84
2015-11-11,2733.4,2733.4,2700.0,2715.0,2714.7,13790.0,374.61
2015-11-10,2755.15,2770.0,2699.95,2703.9,2702.8,316784.0,8608.57
2015-11-09,2760.0,2777.0,2725.0,2765.0,2755.4,226367.0,6230.97
2015-11-06,2841.55,3044.9,2775.0,2798.9,2793.35,385170.0,10834.75
2015-11-05,2891.8,2905.7,2826.1,2835.6,2834.9,340136.0,9666.41
2015-11-04,2935.1,2950.0,2884.0,2885.25,2891.8,254107.0,7412.89
2015-11-03,2934.0,2959.0,2918.9,2923.05,2925.5,175363.0,5153.24
2015-11-02,2905.9,2933.65,2860.25,2921.0,2927.7,245874.0,7164.95
2015-10-30,2945.0,2945.05,2856.05,2906.0,2886.1,154924.0,4499.01
2015-10-29,2894.8,2944.0,2877.6,2916.0,2914.8,499582.0,14572.74
2015-10-28,2902.0,2909.0,2869.0,2897.95,2891.85,343643.0,9905.05
2015-10-27,2839.0,2915.95,2836.15,2905.0,2909.65,267745.0,7707.53
2015-10-26,2904.05,2923.2,2829.0,2841.7,2845.1,206701.0,5934.76
2015-10-23,2910.2,2929.75,2888.0,2897.3,2901.0,342684.0,9971.66
2015-10-21,2919.9,2942.85,2883.0,2895.0,2896.75,191100.0,5569.25
2015-10-20,2944.7,2950.0,2894.0,2921.0,2919.1,239027.0,6972.03
2015-10-19,2975.0,2996.0,2883.25,2900.25,2898.9,628088.0,18475.24
2015-10-16,2964.0,2975.0,2902.0,2947.05,2954.65,162664.0,4786.09
2015-10-15,2925.0,2971.05,2907.1,2957.35,2946.7,203797.0,6002.72
2015-10-14,2906.75,2935.0,2890.75,2916.0,2906.6,135500.0,3940.13
2015-10-13,2844.0,2918.4,2840.0,2900.0,2907.0,252692.0,7317.19
2015-10-12,2840.0,2870.0,2812.15,2846.0,2844.75,95846.0,2734.69
2015-10-09,2830.0,2879.05,2801.8,2820.0,2818.75,256063.0,7268.54
2015-10-08,2754.9,2828.2,2748.2,2816.0,2817.65,238149.0,6667.5
2015-10-07,2756.0,2790.0,2735.1,2745.4,2753.5,445272.0,12253.25
2015-10-06,2831.9,2832.75,2753.15,2768.5,2767.8,374824.0,10406.71
2015-10-05,2791.8,2830.0,2781.2,2818.0,2816.45,556333.0,15660.9
2015-10-01,2670.0,2779.5,2669.0,2776.0,2773.45,677149.0,18615.11
2015-09-30,2724.7,2741.55,2652.3,2679.9,2673.4,755747.0,20329.89
2015-09-29,2700.0,2762.0,2622.05,2695.95,2710.45,386494.0,10367.16
2015-09-28,2790.0,2790.05,2711.25,2717.8,2717.8,404543.0,11080.31
2015-09-24,2783.0,2828.0,2726.95,2826.7,2811.1,287716.0,8006.16
2015-09-23,2789.55,2805.0,2757.5,2781.0,2783.0,485984.0,13541.14
2015-09-22,2925.0,2936.25,2790.0,2799.9,2808.5,304134.0,8664.88
2015-09-21,2924.9,2926.9,2873.05,2903.0,2906.2,203198.0,5903.17
2015-09-18,2945.0,3018.95,2921.0,2921.0,2937.95,486571.0,14526.45
2015-09-16,2926.55,2969.0,2911.15,2912.0,2933.9,299661.0,8823.39
2015-09-15,2964.0,2964.0,2902.9,2920.0,2923.5,146660.0,4292.1
2015-09-14,2948.0,2963.55,2920.1,2948.0,2949.0,126730.0,3735.06
2015-09-11,2993.85,2997.85,2923.7,2933.0,2942.2,120249.0,3568.95
