Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,110.15,112.5,109.3,109.85,109.8,2138272.0,2383.15
2016-06-16,112.95,112.95,106.55,109.0,108.35,1653925.0,1797.6
2016-06-15,118.3,118.55,112.5,113.15,113.2,1756394.0,2003.52
2016-06-14,114.0,119.9,114.0,118.15,117.5,1110848.0,1306.29
2016-06-13,113.0,115.5,111.45,113.3,113.65,875032.0,995.27
2016-06-10,108.7,113.75,108.45,112.7,112.4,1657739.0,1853.36
2016-06-09,106.6,109.9,106.4,107.35,107.45,924328.0,999.2
2016-06-08,108.5,108.5,104.75,105.0,105.65,492347.0,521.69
2016-06-07,106.7,109.4,106.7,107.15,108.0,527004.0,570.29
2016-06-06,108.4,108.8,106.0,107.05,107.25,332197.0,355.81
2016-06-03,107.4,109.0,105.5,108.0,108.0,826373.0,885.45
2016-06-02,106.0,107.5,103.5,107.0,107.0,503195.0,535.87
2016-06-01,105.2,107.9,105.1,105.85,105.85,1413040.0,1501.61
2016-05-31,100.6,104.95,98.6,104.1,104.25,1499227.0,1526.0
2016-05-30,100.5,101.5,100.0,100.05,100.15,165876.0,166.7
2016-05-27,100.1,101.9,100.0,100.0,100.05,248602.0,249.52
2016-05-26,101.0,102.0,100.0,100.25,100.55,261770.0,264.62
2016-05-25,100.8,103.0,100.3,101.6,101.35,395333.0,401.36
2016-05-24,100.4,101.0,99.0,100.4,100.3,565454.0,566.57
2016-05-23,100.4,102.3,99.0,100.0,99.95,1451450.0,1452.36
2016-05-20,100.05,100.65,99.0,99.95,99.85,1435427.0,1432.99
2016-05-19,100.8,103.2,99.6,99.7,100.05,1392980.0,1407.61
2016-05-18,97.7,104.5,97.0,100.35,100.4,2640515.0,2680.49
2016-05-17,96.1,99.0,95.0,97.5,98.05,378152.0,366.42
2016-05-16,96.5,97.65,94.7,95.0,95.1,567002.0,540.28
2016-05-13,97.7,99.55,96.5,96.5,96.8,340563.0,332.07
2016-05-12,95.75,99.7,95.75,99.05,98.35,522750.0,509.65
2016-05-11,92.5,96.9,92.3,96.9,96.05,1122042.0,1062.35
2016-05-10,94.4,94.4,92.8,93.3,93.6,1128329.0,1056.58
2016-05-09,93.0,95.4,93.0,94.0,93.55,387293.0,364.8
2016-05-06,92.0,93.0,90.75,92.05,92.15,436816.0,401.89
2016-05-05,95.55,97.0,91.75,92.0,92.65,496333.0,465.99
2016-05-04,98.25,99.0,94.4,95.0,95.1,730136.0,708.18
2016-05-03,99.4,101.0,98.05,98.5,98.9,526563.0,525.24
2016-05-02,100.5,101.7,98.0,100.25,99.55,1118876.0,1115.17
2016-04-29,98.1,100.5,97.4,99.6,99.95,1254598.0,1243.78
2016-04-28,100.0,101.8,98.05,98.1,98.7,768902.0,767.91
2016-04-27,99.3,100.9,97.5,100.0,100.25,898280.0,893.58
2016-04-26,99.0,101.4,95.15,99.25,100.0,1880090.0,1866.12
2016-04-25,99.8,104.75,98.25,98.8,99.15,5650658.0,5735.51
2016-04-22,99.4,100.35,97.5,99.0,99.35,1281592.0,1269.2
2016-04-21,99.7,100.5,98.5,99.3,99.6,1540055.0,1531.73
2016-04-20,97.7,100.5,97.5,99.3,98.85,3761825.0,3727.96
2016-04-18,91.25,96.0,90.05,95.3,95.35,1177693.0,1108.14
2016-04-13,89.0,93.4,88.3,90.45,90.8,1853887.0,1674.0
2016-04-12,91.65,91.65,87.8,88.25,88.05,1071175.0,948.99
2016-04-11,92.9,94.15,89.05,90.75,91.15,669415.0,613.55
2016-04-08,89.1,95.0,88.2,92.45,92.25,1240028.0,1151.22
2016-04-07,91.0,91.0,88.1,89.6,89.6,532881.0,477.36
2016-04-06,93.0,94.95,87.55,90.0,89.9,1832357.0,1628.64
2016-04-05,96.5,97.85,92.1,92.5,93.2,521642.0,493.57
2016-04-04,98.7,99.85,95.0,95.55,96.05,351774.0,340.66
2016-04-01,99.7,100.0,97.8,98.0,98.65,244762.0,241.3
2016-03-31,100.05,101.0,98.1,99.0,98.95,440892.0,437.61
2016-03-30,95.95,101.45,95.65,100.25,100.05,1009601.0,993.43
2016-03-29,100.9,100.9,94.0,95.05,95.0,1695484.0,1623.67
2016-03-28,107.8,107.8,99.0,100.4,100.3,1645048.0,1669.71
2016-03-23,98.1,111.4,97.0,107.0,108.2,2334421.0,2462.99
2016-03-22,97.5,98.8,95.05,97.2,97.6,362664.0,351.17
2016-03-21,94.0,98.0,92.0,97.75,97.65,734310.0,706.38
2016-03-18,941.05,964.0,920.0,932.4,939.7,605566.0,5719.95
2016-03-17,944.05,979.0,932.0,935.0,937.8,146156.0,1393.29
2016-03-16,959.5,966.65,930.0,937.0,939.1,265173.0,2498.87
2016-03-15,996.7,996.7,956.0,963.0,961.05,315971.0,3063.73
2016-03-14,981.0,1008.0,977.8,994.0,993.8,363479.0,3614.23
2016-03-11,908.0,975.0,893.85,973.55,973.4,532338.0,5030.35
2016-03-10,888.0,902.0,877.55,899.0,899.3,183047.0,1634.14
2016-03-09,858.95,889.0,851.1,884.7,879.3,127521.0,1107.35
2016-03-08,860.0,861.05,838.05,860.0,850.7,110690.0,941.27
2016-03-04,858.15,858.15,845.95,851.1,849.5,75440.0,641.07
2016-03-03,870.8,870.8,840.1,845.4,845.05,142832.0,1218.01
2016-03-02,862.6,867.95,855.15,857.0,860.15,61166.0,526.77
2016-03-01,814.0,858.75,814.0,849.0,849.85,184871.0,1558.12
2016-02-29,840.05,841.5,797.85,819.95,811.85,75953.0,616.72
2016-02-26,850.0,854.9,777.5,842.55,833.8,112363.0,911.13
2016-02-25,880.0,880.0,827.65,837.15,838.9,47453.0,405.71
2016-02-24,883.9,883.9,865.0,879.0,872.65,29324.0,255.66
2016-02-23,866.0,880.0,864.9,868.05,871.75,83508.0,727.93
2016-02-22,867.5,878.0,861.0,871.7,871.15,129829.0,1126.2
2016-02-19,879.9,881.4,860.0,861.1,867.35,58525.0,510.5
2016-02-18,875.0,884.0,861.1,870.0,870.0,53587.0,468.3
2016-02-17,873.0,891.45,842.05,872.95,869.45,151934.0,1330.43
2016-02-16,860.0,875.0,845.0,874.0,868.45,38102.0,328.48
2016-02-15,850.0,872.15,850.0,856.5,860.3,73600.0,635.96
2016-02-12,878.0,883.0,802.0,844.0,845.55,58904.0,492.84
2016-02-11,900.0,903.95,835.05,872.0,858.9,121973.0,1084.49
2016-02-10,897.0,905.0,887.0,898.1,900.15,287900.0,2579.55
2016-02-09,892.9,914.45,856.0,901.0,904.2,71047.0,638.53
2016-02-08,906.25,915.05,890.95,893.15,896.25,46862.0,422.96
2016-02-05,885.7,914.5,855.1,914.0,903.45,287854.0,2575.19
2016-02-04,888.0,899.75,877.0,880.0,882.7,156523.0,1401.27
2016-02-03,855.9,890.0,845.95,888.1,885.35,235079.0,2056.78
2016-02-02,849.0,897.0,844.1,858.0,862.75,666252.0,5777.73
2016-02-01,838.0,850.0,831.0,840.5,844.25,96691.0,813.38
2016-01-29,844.95,852.5,822.2,832.0,830.75,90817.0,759.84
2016-01-28,832.0,874.0,820.15,836.0,834.45,116536.0,993.9
2016-01-27,830.0,851.0,819.0,839.95,841.55,213227.0,1792.27
2016-01-25,822.95,858.3,822.2,825.9,831.15,161415.0,1358.9
2016-01-22,825.0,832.9,812.5,817.0,816.2,169747.0,1396.06
2016-01-21,780.0,834.45,778.5,820.0,825.35,165489.0,1336.57
2016-01-20,743.8,785.0,715.05,785.0,773.45,222802.0,1660.2
