Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,36.55,37.0,36.4,36.45,36.45,17864.0,6.54
2016-06-16,36.6,37.1,36.1,36.6,36.6,13231.0,4.83
2016-06-15,37.85,37.85,36.05,37.0,37.0,15506.0,5.71
2016-06-14,35.6,37.0,35.6,36.4,36.65,15763.0,5.77
2016-06-13,36.9,37.0,35.9,36.2,36.05,10242.0,3.7
2016-06-10,36.5,37.3,36.35,36.85,36.75,19180.0,7.05
2016-06-09,35.65,36.7,35.35,36.7,36.5,44067.0,15.87
2016-06-08,35.8,36.5,35.15,35.85,35.95,20890.0,7.46
2016-06-07,35.8,36.2,35.1,35.7,36.05,12562.0,4.5
2016-06-06,36.3,36.5,34.9,35.7,35.7,27819.0,9.99
2016-06-03,36.0,36.7,35.65,36.4,36.1,33401.0,12.1
2016-06-02,35.85,36.5,35.65,35.85,35.85,13144.0,4.76
2016-06-01,36.75,36.75,35.3,35.55,35.95,13929.0,5.01
2016-05-31,37.0,37.4,35.5,35.8,35.7,17604.0,6.36
2016-05-30,38.0,38.0,37.0,37.0,37.05,5845.0,2.18
2016-05-27,37.7,37.8,37.1,37.6,37.4,4858.0,1.81
2016-05-26,38.1,39.8,37.0,37.4,37.75,19929.0,7.59
2016-05-25,38.9,38.9,35.35,36.5,36.15,12030.0,4.42
2016-05-24,36.3,37.4,36.0,36.55,36.9,9613.0,3.52
2016-05-23,36.8,37.5,36.15,36.5,36.55,5200.0,1.91
2016-05-20,38.5,40.0,36.5,36.8,36.9,20896.0,7.93
2016-05-19,36.25,40.5,36.25,38.7,38.55,58473.0,22.92
2016-05-18,36.2,37.4,36.0,37.1,37.1,14800.0,5.47
2016-05-17,36.0,36.65,36.0,36.0,36.2,6820.0,2.47
2016-05-16,36.5,37.4,35.2,35.8,36.05,8386.0,3.03
2016-05-13,36.75,37.65,36.0,36.0,36.4,25455.0,9.45
2016-05-12,37.0,38.6,36.25,36.75,36.7,55174.0,20.26
2016-05-11,38.4,39.4,36.25,37.0,37.0,27743.0,10.54
2016-05-10,35.0,38.35,35.0,37.1,37.6,49645.0,18.4
2016-05-09,33.6,36.0,33.5,35.9,35.3,17749.0,6.27
2016-05-06,33.3,34.4,33.3,34.05,34.25,9544.0,3.24
2016-05-05,34.5,35.0,33.7,34.2,34.25,15964.0,5.47
2016-05-04,33.75,35.8,33.75,34.5,34.5,5092.0,1.76
2016-05-03,35.55,36.25,34.5,34.6,34.75,11910.0,4.19
2016-05-02,35.2,36.2,35.0,36.2,35.8,4916.0,1.74
2016-04-29,35.45,36.5,34.9,35.45,35.65,9504.0,3.35
2016-04-28,35.85,36.7,35.0,35.85,35.5,9432.0,3.36
2016-04-27,36.05,37.8,35.65,35.8,35.8,5385.0,1.93
