Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,551.3,554.0,549.0,550.2,552.05,1615089.0,8919.8
2016-06-16,545.7,551.0,541.55,549.95,549.9,690373.0,3780.36
2016-06-15,545.8,547.75,542.3,547.0,547.05,424356.0,2314.46
2016-06-14,541.2,544.0,540.0,543.8,543.1,1050459.0,5690.82
2016-06-13,540.6,544.7,538.85,538.95,541.2,652571.0,3541.93
2016-06-10,544.5,547.15,543.0,545.0,545.35,1192347.0,6498.49
2016-06-09,547.1,547.1,542.2,546.0,544.8,1768142.0,9629.95
2016-06-08,541.0,545.05,540.0,545.0,544.6,1524222.0,8277.52
2016-06-07,540.0,541.15,537.2,540.15,539.85,1933849.0,10440.08
2016-06-06,541.0,541.9,533.4,536.0,535.1,1932039.0,10364.14
2016-06-03,541.5,543.5,539.0,541.3,540.8,1329106.0,7197.02
2016-06-02,556.0,558.95,534.45,540.5,540.4,2580517.0,14017.95
2016-06-01,545.6,555.8,545.6,554.6,554.5,1022436.0,5648.42
2016-05-31,551.0,552.0,543.35,545.5,545.45,2070089.0,11302.06
2016-05-30,547.2,552.5,544.45,551.5,550.15,1069996.0,5873.18
2016-05-27,543.15,551.0,543.0,545.35,545.4,1211378.0,6638.57
2016-05-26,546.1,548.8,543.0,547.0,544.95,1234981.0,6732.24
2016-05-25,540.0,546.95,539.0,545.1,546.1,1245202.0,6761.07
2016-05-24,539.85,540.4,535.55,537.0,537.65,991164.0,5329.1
2016-05-23,544.0,544.45,538.3,539.05,539.85,914192.0,4949.74
2016-05-20,543.4,547.95,542.5,543.0,543.4,882471.0,4808.62
2016-05-19,540.0,543.95,537.25,542.8,542.95,1253487.0,6795.61
2016-05-18,538.9,540.85,535.0,538.4,539.55,1428962.0,7669.64
2016-05-17,542.0,542.4,538.05,540.8,540.15,1276727.0,6904.87
2016-05-16,540.7,543.5,536.2,541.9,540.8,1167312.0,6302.32
2016-05-13,542.7,542.7,537.0,540.0,539.65,849097.0,4575.33
2016-05-12,538.0,543.25,535.7,542.5,542.3,999034.0,5399.68
2016-05-11,534.4,539.45,533.1,538.45,537.8,723648.0,3881.96
2016-05-10,538.75,542.1,534.45,539.0,538.65,977159.0,5263.6
2016-05-09,532.95,540.1,531.5,539.75,539.0,1004280.0,5389.17
2016-05-06,546.7,546.7,531.6,531.95,533.1,1288204.0,6901.25
2016-05-05,539.0,545.3,537.0,544.5,543.1,1092135.0,5903.65
2016-05-04,542.5,543.4,537.0,541.0,540.0,1311959.0,7081.49
2016-05-03,549.0,549.75,539.05,543.1,543.85,1726951.0,9409.31
2016-05-02,551.0,552.95,545.3,548.05,548.5,993077.0,5445.33
2016-04-29,555.0,556.8,548.35,552.5,554.35,1280679.0,7091.34
2016-04-28,559.5,564.0,551.0,553.5,553.1,2719843.0,15110.73
2016-04-27,552.25,561.25,552.25,559.6,560.0,898146.0,5020.72
2016-04-26,552.4,558.0,550.2,555.1,554.45,1810782.0,10028.69
2016-04-25,558.1,561.75,551.1,552.65,552.45,1715874.0,9524.17
2016-04-22,560.0,562.65,555.1,557.35,557.95,2154879.0,12027.98
2016-04-21,570.0,575.65,556.85,557.3,558.85,5808173.0,32764.39
2016-04-20,598.0,607.0,589.6,602.35,601.25,4693918.0,28107.75
2016-04-18,589.0,594.5,580.2,589.6,588.6,2457249.0,14412.62
2016-04-13,583.0,591.9,580.55,584.8,584.9,2001562.0,11686.99
2016-04-12,565.3,571.75,561.1,569.55,569.55,842604.0,4764.74
2016-04-11,549.0,568.6,542.2,567.0,565.75,1115536.0,6185.12
2016-04-08,548.0,551.4,546.5,550.4,549.55,940527.0,5162.89
2016-04-07,558.0,560.0,550.35,551.0,551.8,608719.0,3379.19
2016-04-06,560.0,562.0,552.75,558.1,558.2,1089149.0,6056.4
2016-04-05,566.25,566.6,557.25,557.6,559.0,824142.0,4620.67
2016-04-04,566.9,571.1,563.15,565.0,566.25,697336.0,3954.41
2016-04-01,567.0,572.5,557.2,561.5,562.15,1379141.0,7800.27
2016-03-31,561.85,570.0,557.2,567.05,564.25,3875911.0,21844.94
2016-03-30,552.7,563.65,551.25,563.4,561.95,1478150.0,8238.09
2016-03-29,557.0,559.0,548.0,550.85,553.15,1503438.0,8290.83
2016-03-28,558.55,563.6,549.3,557.7,556.15,1457996.0,8076.59
2016-03-23,550.1,559.2,545.8,557.9,555.75,1442509.0,7948.67
2016-03-22,556.5,556.6,551.1,552.3,552.85,1482267.0,8202.3
2016-03-21,554.4,562.4,541.8,559.4,556.45,1104727.0,6067.79
2016-03-18,540.55,553.8,540.5,552.0,551.25,2533610.0,13899.28
2016-03-17,541.6,543.95,535.6,538.65,539.2,1844902.0,9954.98
2016-03-16,535.1,540.5,530.05,539.6,538.45,1888434.0,10091.78
2016-03-15,541.5,543.0,528.4,535.1,533.2,1947163.0,10353.94
2016-03-14,543.0,543.0,536.5,539.5,540.85,1041114.0,5621.35
2016-03-11,535.8,539.8,535.7,539.5,539.0,1118101.0,6009.21
2016-03-10,539.05,539.9,532.7,536.15,535.85,1212160.0,6490.64
2016-03-09,542.0,542.0,533.25,537.8,538.15,1986973.0,10657.48
