Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,88.0,88.0,80.1,81.0,80.75,40545.0,33.05
2016-06-16,78.6,84.8,77.95,83.2,84.35,54154.0,44.61
2016-06-15,78.15,79.5,78.1,78.6,78.8,10457.0,8.24
2016-06-14,78.85,79.4,78.1,79.0,78.65,22607.0,17.79
2016-06-13,78.0,80.0,77.55,78.8,78.65,24772.0,19.46
2016-06-10,77.55,78.5,77.15,78.0,77.85,16169.0,12.56
2016-06-09,79.75,79.75,77.05,77.35,77.95,29639.0,23.16
2016-06-08,77.85,79.4,77.2,77.7,77.95,15245.0,11.88
2016-06-07,78.5,78.8,76.05,77.2,77.2,20778.0,16.08
2016-06-06,81.0,81.0,76.05,76.05,76.35,14940.0,11.52
2016-06-03,76.05,84.2,75.05,77.3,77.9,80562.0,62.72
2016-06-02,79.0,79.0,75.7,78.85,77.75,9471.0,7.28
2016-06-01,76.5,77.0,75.7,75.85,75.95,18624.0,14.17
2016-05-31,76.55,77.0,75.35,76.5,76.3,21519.0,16.39
2016-05-30,73.05,78.5,73.05,76.0,76.1,17944.0,13.64
2016-05-27,77.2,78.0,75.95,76.05,76.0,21010.0,16.02
2016-05-26,78.6,79.7,75.5,75.6,76.0,39830.0,31.03
2016-05-25,77.05,79.0,76.45,78.5,78.45,47384.0,36.94
2016-05-24,74.6,78.05,74.1,75.45,75.25,30260.0,23.05
2016-05-23,74.35,75.95,73.4,75.6,75.2,58956.0,43.97
2016-05-20,78.0,78.4,74.2,74.2,75.4,79898.0,61.03
2016-05-19,79.9,79.9,77.0,77.1,77.2,38219.0,29.65
2016-05-18,78.2,79.9,77.0,79.0,78.6,73901.0,57.62
2016-05-17,80.55,82.4,78.45,78.5,78.8,70026.0,55.73
2016-05-16,85.5,85.5,80.3,81.15,81.55,125241.0,102.65
2016-05-13,82.0,87.7,80.0,84.25,85.75,421336.0,353.85
2016-05-12,77.5,82.15,77.0,79.8,79.75,256566.0,204.18
2016-05-11,76.65,80.5,72.6,77.7,77.85,290505.0,225.49
2016-05-10,79.0,82.9,72.0,77.0,76.9,682363.0,524.91
2016-05-09,68.7,72.0,67.85,72.0,72.0,205380.0,144.22
2016-05-06,48.4,60.0,48.4,60.0,60.0,60103.0,34.81
2016-05-05,50.9,52.5,49.0,50.0,50.0,7644.0,3.83
2016-05-04,51.0,51.9,50.0,51.0,50.9,5042.0,2.54
2016-05-03,51.5,53.4,51.2,51.45,51.75,6099.0,3.17
2016-05-02,53.95,53.95,51.65,51.7,52.05,4105.0,2.14
2016-04-29,53.0,53.95,51.4,53.4,53.35,5669.0,3.01
2016-04-28,54.45,55.0,52.5,52.55,53.45,12849.0,6.96
2016-04-27,54.5,56.3,53.15,54.8,54.9,4189.0,2.3
2016-04-26,55.0,56.5,54.3,54.7,55.35,16215.0,9.0
2016-04-25,54.0,56.4,51.7,56.2,55.8,39024.0,21.52
2016-04-22,53.0,54.05,51.85,54.0,53.5,22030.0,11.75
2016-04-21,52.7,54.5,51.4,53.2,53.65,17060.0,9.15
2016-04-20,52.8,54.0,52.3,53.2,53.05,17224.0,9.15
2016-04-18,53.75,53.75,50.1,51.0,51.2,8514.0,4.41
2016-04-13,52.9,54.9,51.65,51.65,52.15,41356.0,21.92
2016-04-12,52.0,55.8,51.95,52.5,52.15,66135.0,35.5
2016-04-11,50.6,54.5,47.15,52.5,52.5,53156.0,27.8
2016-04-08,49.1,50.7,48.2,49.0,49.05,9385.0,4.67
2016-04-07,48.2,51.0,47.9,49.1,49.15,27784.0,13.78
2016-04-06,45.5,49.9,43.1,48.0,47.65,17211.0,8.05
2016-04-05,45.5,46.35,44.6,44.85,45.45,11366.0,5.2
2016-04-04,46.25,49.6,45.15,45.25,45.6,16614.0,7.71
2016-04-01,45.55,47.0,45.0,45.75,46.65,7997.0,3.69
2016-03-31,46.8,48.15,45.4,45.5,45.6,6250.0,2.94
2016-03-30,45.0,48.75,43.25,46.5,46.85,23346.0,10.85
2016-03-29,43.1,45.05,42.0,43.8,43.55,10031.0,4.37
2016-03-28,48.75,50.0,44.3,45.5,44.9,29313.0,13.7
2016-03-23,47.85,48.7,47.0,47.05,47.4,12626.0,6.03
2016-03-22,51.75,54.55,47.0,47.3,48.85,119113.0,61.81
2016-03-21,42.5,50.0,42.3,50.0,49.8,185389.0,91.18
2016-03-18,42.5,43.5,41.05,42.5,41.7,9173.0,3.87
2016-03-17,43.15,45.0,40.35,43.0,43.0,19227.0,8.14
2016-03-16,44.2,44.65,43.7,44.65,44.65,3875.0,1.71
2016-03-15,45.2,45.2,44.1,44.5,44.8,3640.0,1.62
2016-03-14,45.45,45.45,43.6,45.0,44.8,11527.0,5.12
2016-03-11,44.1,45.5,44.1,45.0,44.95,7861.0,3.52
2016-03-10,44.9,46.45,44.0,45.4,44.15,6731.0,3.01
2016-03-09,43.1,46.0,42.1,45.0,45.1,14648.0,6.53
2016-03-08,44.0,45.1,43.55,44.9,44.85,30137.0,13.38
2016-03-04,43.5,43.95,42.0,43.8,43.25,16369.0,7.02
2016-03-03,41.05,43.75,41.0,41.8,41.85,26598.0,11.33
2016-03-02,38.0,40.8,37.5,40.8,40.8,17838.0,6.95
2016-03-01,36.4,38.65,36.4,37.05,37.1,8733.0,3.24
2016-02-29,37.45,38.4,36.5,37.8,37.5,3371.0,1.28
2016-02-26,36.2,37.9,36.2,37.7,37.65,7930.0,2.94
2016-02-25,36.9,38.0,36.1,36.9,36.85,4397.0,1.62
2016-02-24,35.6,36.8,35.2,35.4,35.5,5123.0,1.83
2016-02-23,37.05,37.25,36.4,37.15,36.65,4325.0,1.59
2016-02-22,39.0,39.0,36.75,37.8,37.95,5686.0,2.16
2016-02-19,37.0,38.2,36.1,37.7,37.65,9866.0,3.68
2016-02-18,36.05,37.9,36.05,36.05,36.25,1802.0,0.66
2016-02-17,34.8,36.8,34.6,36.5,36.45,2709.0,0.96
2016-02-16,37.0,37.5,35.25,35.25,35.5,8758.0,3.18
2016-02-15,38.0,38.7,35.7,36.5,36.55,11993.0,4.5
2016-02-12,37.2,37.2,34.6,36.1,36.1,32509.0,11.75
2016-02-11,38.75,41.0,37.1,38.6,37.5,35953.0,13.72
2016-02-10,40.5,41.9,40.1,40.35,40.35,4516.0,1.84
2016-02-09,43.9,45.0,40.95,41.25,41.95,2883.0,1.21
2016-02-08,43.8,44.0,40.75,42.9,42.25,7837.0,3.4
2016-02-05,41.4,43.8,40.3,42.5,42.4,2437.0,1.02
2016-02-04,42.7,42.7,39.5,40.8,40.25,18491.0,7.48
2016-02-03,42.7,42.7,40.85,40.85,40.85,20879.0,8.58
2016-02-02,44.25,45.2,42.85,42.85,42.95,7330.0,3.22
2016-02-01,46.5,46.5,44.05,44.7,44.8,6922.0,3.1
2016-01-29,44.0,45.0,43.4,44.2,44.3,7233.0,3.21
2016-01-28,45.0,45.9,43.7,44.5,44.4,31367.0,14.05
2016-01-27,47.9,47.9,45.5,45.5,45.85,3891.0,1.8
2016-01-25,47.0,48.0,46.3,46.3,46.45,7057.0,3.32
2016-01-22,46.5,48.0,46.3,47.0,47.0,8954.0,4.22
2016-01-21,45.15,47.8,45.15,47.0,46.25,8042.0,3.75
2016-01-20,44.4,47.0,43.25,46.0,45.6,26420.0,11.94
2016-01-19,41.75,45.05,41.75,45.05,45.05,12035.0,5.35
2016-01-18,47.6,49.5,42.85,42.85,42.95,38181.0,16.82
2016-01-15,51.8,51.8,47.0,47.0,47.6,24535.0,12.05
2016-01-14,51.65,53.4,48.2,49.75,49.9,63830.0,32.02
2016-01-13,57.2,58.7,51.1,53.5,53.55,54948.0,29.39
2016-01-12,57.35,58.9,54.7,57.0,56.25,34951.0,19.73
2016-01-11,57.25,58.4,55.5,57.2,57.45,21391.0,12.24
2016-01-08,56.75,59.75,56.2,57.3,57.4,25703.0,14.92
2016-01-07,57.6,59.65,56.3,56.9,56.75,59868.0,34.79
2016-01-06,61.0,63.0,59.55,61.5,62.15,67539.0,41.31
2016-01-05,59.9,61.55,59.5,61.5,61.15,45052.0,27.37
2016-01-04,60.25,62.0,58.5,59.3,59.1,98476.0,59.69
2016-01-01,57.45,61.5,57.45,60.25,60.3,82321.0,49.47
2015-12-31,58.05,59.45,56.95,57.75,57.45,51771.0,30.1
2015-12-30,60.6,60.6,57.9,58.0,58.3,37849.0,22.38
2015-12-29,62.2,63.35,58.8,59.25,59.55,121902.0,74.24
2015-12-28,61.1,63.5,58.25,62.1,62.45,238281.0,146.21
2015-12-24,57.85,60.3,54.35,59.3,59.15,338285.0,195.22
