Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,47.2,47.2,45.9,46.65,46.35,39249.0,18.36
2016-06-16,48.0,48.55,45.55,46.55,46.4,63938.0,29.59
2016-06-15,49.9,50.3,47.1,47.45,47.5,125199.0,60.26
2016-06-14,50.4,50.95,48.9,49.3,49.35,187816.0,93.62
2016-06-13,48.35,50.25,46.15,49.4,49.2,495480.0,241.12
2016-06-10,43.6,47.2,43.25,47.2,47.2,273132.0,125.89
2016-06-09,41.65,43.3,41.1,42.85,42.95,224630.0,95.2
2016-06-08,40.85,42.4,40.35,41.3,41.05,284442.0,117.18
2016-06-07,38.1,41.5,37.5,40.35,40.15,331713.0,133.37
2016-06-06,39.1,39.8,37.4,37.6,37.75,128302.0,49.1
2016-06-03,39.2,41.9,36.7,38.95,38.8,466386.0,188.08
2016-06-02,43.5,43.9,38.1,39.25,39.0,554309.0,224.79
2016-06-01,47.25,48.35,42.65,43.3,44.2,275635.0,126.42
2016-05-31,51.4,51.4,46.4,46.9,46.9,181668.0,87.51
2016-05-30,52.25,52.45,48.1,50.1,49.9,403893.0,204.91
2016-05-27,58.9,59.85,57.55,58.05,58.1,82357.0,48.33
2016-05-26,58.8,58.8,57.2,58.15,57.95,30332.0,17.63
2016-05-25,59.0,60.3,56.35,57.4,57.25,114509.0,66.54
2016-05-24,61.4,62.0,58.85,59.0,59.1,63131.0,37.83
2016-05-23,58.35,61.45,58.3,59.6,59.6,51100.0,30.55
2016-05-20,58.8,59.4,57.8,58.05,58.1,100511.0,58.47
2016-05-19,59.35,59.85,58.1,58.45,58.35,39157.0,23.04
2016-05-18,59.25,60.7,58.5,58.7,59.0,89145.0,52.82
2016-05-17,61.3,61.7,58.75,58.75,59.0,52055.0,31.33
2016-05-16,60.5,61.4,60.3,60.65,60.85,44344.0,26.96
2016-05-13,58.0,61.75,57.65,60.4,60.55,203517.0,123.25
2016-05-12,63.3,64.25,57.0,59.25,57.85,335167.0,200.9
2016-05-11,66.0,66.5,61.9,62.75,62.65,381317.0,244.21
2016-05-10,68.85,70.0,67.1,67.25,67.35,295505.0,203.15
2016-05-09,67.9,71.9,67.9,69.0,68.9,332632.0,232.58
2016-05-06,68.0,69.0,66.0,67.35,67.25,66275.0,44.94
2016-05-05,70.6,72.0,67.9,68.0,68.35,125392.0,87.65
2016-05-04,74.25,74.85,70.1,70.15,70.95,105517.0,76.24
2016-05-03,77.45,78.7,74.05,74.25,74.3,96320.0,73.19
2016-05-02,77.7,77.7,75.25,75.45,75.45,42096.0,32.1
2016-04-29,78.35,78.35,76.0,76.9,76.8,51380.0,39.68
2016-04-28,80.6,80.6,77.6,78.05,77.95,70051.0,55.47
2016-04-27,79.5,80.15,78.6,79.2,78.95,40981.0,32.66
2016-04-26,77.5,80.0,77.0,79.5,79.45,58557.0,46.11
2016-04-25,79.65,79.7,77.6,77.65,77.85,35847.0,28.1
2016-04-22,79.65,80.0,77.55,79.1,78.9,51329.0,40.57
2016-04-21,80.45,80.85,79.15,79.6,79.65,40193.0,32.12
2016-04-20,81.2,81.45,79.5,79.9,79.85,50739.0,40.78
2016-04-18,80.45,83.0,79.5,80.4,80.5,127695.0,103.89
2016-04-13,80.05,81.45,79.15,79.35,79.75,81616.0,65.67
2016-04-12,79.95,81.45,79.2,79.8,79.65,88518.0,70.87
2016-04-11,79.95,80.0,78.65,79.1,79.45,83462.0,66.34
2016-04-08,78.3,80.0,78.15,78.75,79.25,50099.0,39.81
2016-04-07,79.95,79.95,78.0,78.25,78.5,51080.0,40.31
2016-04-06,78.5,80.5,77.0,78.7,78.85,37302.0,29.43
2016-04-05,79.9,79.95,78.0,78.5,78.2,28676.0,22.65
2016-04-04,80.6,81.75,79.6,79.8,80.15,31354.0,25.12
2016-04-01,79.6,81.0,78.95,80.0,79.7,43240.0,34.46
2016-03-31,79.55,81.35,78.3,79.25,79.95,62519.0,49.87
2016-03-30,81.0,82.0,79.1,79.8,79.55,81308.0,65.2
2016-03-29,83.3,84.9,79.5,79.55,79.8,117015.0,94.95
2016-03-28,78.0,85.5,78.0,83.5,82.75,607835.0,505.01
2016-03-23,77.95,79.4,76.9,78.4,78.35,108112.0,84.57
2016-03-22,75.0,81.3,75.0,77.65,77.75,192078.0,150.36
2016-03-21,72.15,77.7,72.0,75.3,75.0,363193.0,271.31
2016-03-18,73.7,74.75,72.2,72.4,72.9,72200.0,52.94
2016-03-17,75.6,76.45,74.0,74.1,74.25,37121.0,27.88
2016-03-16,77.9,78.5,74.1,74.55,75.0,55083.0,41.79
2016-03-15,77.8,79.0,77.05,78.0,77.9,51486.0,40.15
2016-03-14,80.05,80.1,77.75,78.2,78.7,47423.0,37.34
2016-03-11,78.2,81.0,78.15,78.15,78.65,40648.0,32.31
2016-03-10,82.05,82.05,79.15,79.2,79.55,49927.0,40.06
2016-03-09,80.0,82.15,78.15,81.0,80.6,54834.0,43.89
2016-03-08,82.0,82.5,77.6,79.1,80.2,87227.0,70.31
2016-03-04,76.75,84.35,75.45,81.5,81.3,281182.0,230.35
2016-03-03,76.8,77.9,74.35,76.5,76.65,94255.0,71.76
2016-03-02,71.9,76.9,71.35,76.75,75.8,223766.0,166.13
2016-03-01,67.05,71.8,67.05,70.0,70.45,47391.0,33.43
2016-02-29,72.0,72.9,67.5,67.55,67.8,45739.0,31.61
2016-02-26,74.9,75.9,70.15,71.1,71.6,118584.0,87.33
2016-02-25,69.4,76.7,69.35,72.9,73.25,415597.0,309.76
2016-02-24,69.85,70.9,68.5,69.9,69.75,16942.0,11.8
2016-02-23,74.0,74.0,68.55,69.9,69.75,41040.0,29.07
